Wavelength[nm],T,,,R% at AOI 45 deg
2600,97.61038,,,2.38962
2599,97.62961,,,2.37039
2598,97.64888,,,2.35112
2597,97.66818,,,2.33182
2596,97.68753,,,2.31247
2595,97.70693,,,2.29307
2594,97.72638,,,2.27362
2593,97.7459,,,2.2541
2592,97.76547,,,2.23453
2591,97.78511,,,2.21489
2590,97.8048,,,2.1952
2589,97.82459,,,2.17541
2588,97.84444,,,2.15556
2587,97.86434,,,2.13566
2586,97.88429,,,2.11571
2585,97.90427,,,2.09573
2584,97.92428,,,2.07572
2583,97.94431,,,2.05569
2582,97.96435,,,2.03565
2581,97.98439,,,2.01561
2580,98.00442,,,1.99558
2579,98.02443,,,1.97557
2578,98.0444,,,1.9556
2577,98.06432,,,1.93568
2576,98.08416,,,1.91584
2575,98.10392,,,1.89608
2574,98.12358,,,1.87642
2573,98.14312,,,1.85688
2572,98.16252,,,1.83748
2571,98.18177,,,1.81823
2570,98.20085,,,1.79915
2569,98.21978,,,1.78022
2568,98.23851,,,1.76149
2567,98.257,,,1.743
2566,98.27526,,,1.72474
2565,98.29325,,,1.70675
2564,98.31096,,,1.68904
2563,98.32838,,,1.67162
2562,98.34548,,,1.65452
2561,98.36225,,,1.63775
2560,98.37868,,,1.62132
2559,98.39471,,,1.60529
2558,98.41036,,,1.58964
2557,98.42563,,,1.57437
2556,98.44049,,,1.55951
2555,98.45494,,,1.54506
2554,98.46897,,,1.53103
2553,98.48256,,,1.51744
2552,98.49571,,,1.50429
2551,98.50841,,,1.49159
2550,98.52064,,,1.47936
2549,98.53241,,,1.46759
2548,98.54371,,,1.45629
2547,98.55454,,,1.44546
2546,98.56489,,,1.43511
2545,98.57476,,,1.42524
2544,98.58416,,,1.41584
2543,98.59308,,,1.40692
2542,98.60152,,,1.39848
2541,98.60949,,,1.39051
2540,98.617,,,1.383
2539,98.62407,,,1.37593
2538,98.63068,,,1.36932
2537,98.63684,,,1.36316
2536,98.64257,,,1.35743
2535,98.64787,,,1.35213
2534,98.65276,,,1.34724
2533,98.65725,,,1.34275
2532,98.66135,,,1.33865
2531,98.66508,,,1.33492
2530,98.66845,,,1.33155
2529,98.67148,,,1.32852
2528,98.67418,,,1.32582
2527,98.67658,,,1.32342
2526,98.67868,,,1.32132
2525,98.68052,,,1.31948
2524,98.68211,,,1.31789
2523,98.68347,,,1.31653
2522,98.68462,,,1.31538
2521,98.68558,,,1.31442
2520,98.68637,,,1.31363
2519,98.69,,,1.31E+00
2518,98.68752,,,1.31248
2517,98.68792,,,1.31208
2516,98.68822,,,1.31178
2515,98.68846,,,1.31154
2514,98.69,,,1.31E+00
2513,98.68879,,,1.31121
2512,98.68893,,,1.31107
2511,98.68907,,,1.31093
2510,98.68923,,,1.31077
2509,98.68943,,,1.31057
2508,98.68969,,,1.31031
2507,98.69,,,1.31E+00
2506,98.69,,,1.31E+00
2505,98.69093,,,1.30907
2504,98.69154,,,1.30846
2503,98.69227,,,1.30773
2502,98.69314,,,1.30686
2501,98.69414,,,1.30586
2500,98.69529,,,1.30471
2499,98.69659,,,1.30341
2498,98.69804,,,1.30196
2497,98.69966,,,1.30034
2496,98.70145,,,1.29855
2495,98.70341,,,1.29659
2494,98.70554,,,1.29446
2493,98.70784,,,1.29216
2492,98.7103,,,1.2897
2491,98.71294,,,1.28706
2490,98.71573,,,1.28427
2489,98.71869,,,1.28131
2488,98.72181,,,1.27819
2487,98.72506,,,1.27494
2486,98.72845,,,1.27155
2485,98.73197,,,1.26803
2484,98.73561,,,1.26439
2483,98.73935,,,1.26065
2482,98.74319,,,1.25681
2481,98.74711,,,1.25289
2480,98.75109,,,1.24891
2479,98.75513,,,1.24487
2478,98.75921,,,1.24079
2477,98.76331,,,1.23669
2476,98.76743,,,1.23257
2475,98.77153,,,1.22847
2474,98.77562,,,1.22438
2473,98.77967,,,1.22033
2472,98.78367,,,1.21633
2471,98.7876,,,1.2124
2470,98.79144,,,1.20856
2469,98.79518,,,1.20482
2468,98.7988,,,1.2012
2467,98.80229,,,1.19771
2466,98.80562,,,1.19438
2465,98.80879,,,1.19121
2464,98.81178,,,1.18822
2463,98.81457,,,1.18543
2462,98.81716,,,1.18284
2461,98.81953,,,1.18047
2460,98.82166,,,1.17834
2459,98.82356,,,1.17644
2458,98.82521,,,1.17479
2457,98.8266,,,1.1734
2456,98.82772,,,1.17228
2455,98.82857,,,1.17143
2454,98.82914,,,1.17086
2453,98.82942,,,1.17058
2452,98.82942,,,1.17058
2451,98.82913,,,1.17087
2450,98.82856,,,1.17144
2449,98.82769,,,1.17231
2448,98.82654,,,1.17346
2447,98.8251,,,1.1749
2446,98.82339,,,1.17661
2445,98.8214,,,1.1786
2444,98.81915,,,1.18085
2443,98.81663,,,1.18337
2442,98.81387,,,1.18613
2441,98.81086,,,1.18914
2440,98.80763,,,1.19237
2439,98.80415,,,1.19585
2438,98.80047,,,1.19953
2437,98.79659,,,1.20341
2436,98.79254,,,1.20746
2435,98.78832,,,1.21168
2434,98.78396,,,1.21604
2433,98.77946,,,1.22054
2432,98.77485,,,1.22515
2431,98.77015,,,1.22985
2430,98.76537,,,1.23463
2429,98.76054,,,1.23946
2428,98.75567,,,1.24433
2427,98.75078,,,1.24922
2426,98.74589,,,1.25411
2425,98.74101,,,1.25899
2424,98.73617,,,1.26383
2423,98.73138,,,1.26862
2422,98.72666,,,1.27334
2421,98.72202,,,1.27798
2420,98.7175,,,1.2825
2419,98.71309,,,1.28691
2418,98.70882,,,1.29118
2417,98.7047,,,1.2953
2416,98.70075,,,1.29925
2415,98.69699,,,1.30301
2414,98.69341,,,1.30659
2413,98.69004,,,1.30996
2412,98.68688,,,1.31312
2411,98.68395,,,1.31605
2410,98.68125,,,1.31875
2409,98.67879,,,1.32121
2408,98.67657,,,1.32343
2407,98.6746,,,1.3254
2406,98.67288,,,1.32712
2405,98.67142,,,1.32858
2404,98.67023,,,1.32977
2403,98.66928,,,1.33072
2402,98.6686,,,1.3314
2401,98.66817,,,1.33183
2400,98.66799,,,1.33201
2399,98.66806,,,1.33194
2398,98.66837,,,1.33163
2397,98.66891,,,1.33109
2396,98.66967,,,1.33033
2395,98.67064,,,1.32936
2394,98.67181,,,1.32819
2393,98.67317,,,1.32683
2392,98.67471,,,1.32529
2391,98.6764,,,1.3236
2390,98.67823,,,1.32177
2389,98.6802,,,1.3198
2388,98.68227,,,1.31773
2387,98.68445,,,1.31555
2386,98.6867,,,1.3133
2385,98.68902,,,1.31098
2384,98.69138,,,1.30862
2383,98.69376,,,1.30624
2382,98.69616,,,1.30384
2381,98.69854,,,1.30146
2380,98.70089,,,1.29911
2379,98.7032,,,1.2968
2378,98.70544,,,1.29456
2377,98.70759,,,1.29241
2376,98.70965,,,1.29035
2375,98.71158,,,1.28842
2374,98.71339,,,1.28661
2373,98.71505,,,1.28495
2372,98.71655,,,1.28345
2371,98.71787,,,1.28213
2370,98.71901,,,1.28099
2369,98.71996,,,1.28004
2368,98.72069,,,1.27931
2367,98.72122,,,1.27878
2366,98.72151,,,1.27849
2365,98.72158,,,1.27842
2364,98.72141,,,1.27859
2363,98.72099,,,1.27901
2362,98.72034,,,1.27966
2361,98.71944,,,1.28056
2360,98.71829,,,1.28171
2359,98.7169,,,1.2831
2358,98.71526,,,1.28474
2357,98.71339,,,1.28661
2356,98.71129,,,1.28871
2355,98.70897,,,1.29103
2354,98.70643,,,1.29357
2353,98.70369,,,1.29631
2352,98.70075,,,1.29925
2351,98.69762,,,1.30238
