Wavelength[nm],Transmission,,R% at AOI 45 deg
2600,98.89108,,1.10892
2599,98.89889,,1.10111
2598,98.90658,,1.09342
2597,98.91417,,1.08583
2596,98.92164,,1.07836
2595,98.929,,1.071
2594,98.93626,,1.06374
2593,98.9434,,1.0566
2592,98.95044,,1.04956
2591,98.95737,,1.04263
2590,98.9642,,1.0358
2589,98.97094,,1.02906
2588,98.97758,,1.02242
2587,98.98411,,1.01589
2586,98.99054,,1.00946
2585,98.99688,,1.00312
2584,99.00311,,0.99689
2583,99.00924,,0.99076
2582,99.01528,,0.98472
2581,99.02122,,0.97878
2580,99.02707,,0.97293
2579,99.03282,,0.96718
2578,99.03847,,0.96153
2577,99.04404,,0.95596
2576,99.04951,,0.95049
2575,99.05489,,0.94511
2574,99.06019,,0.93981
2573,99.0654,,0.9346
2572,99.07052,,0.92948
2571,99.07556,,0.92444
2570,99.08051,,0.91949
2569,99.0854,,0.9146
2568,99.0902,,0.9098
2567,99.09492,,0.90508
2566,99.09956,,0.90044
2565,99.10413,,0.89587
2564,99.10861,,0.89139
2563,99.11302,,0.88698
2562,99.11735,,0.88265
2561,99.12161,,0.87839
2560,99.1258,,0.8742
2559,99.12991,,0.87009
2558,99.13394,,0.86606
2557,99.1379,,0.8621
2556,99.1418,,0.8582
2555,99.14563,,0.85437
2554,99.14939,,0.85061
2553,99.15309,,0.84691
2552,99.15673,,0.84327
2551,99.1603,,0.8397
2550,99.16381,,0.83619
2549,99.16726,,0.83274
2548,99.17065,,0.82935
2547,99.17398,,0.82602
2546,99.17725,,0.82275
2545,99.18047,,0.81953
2544,99.18363,,0.81637
2543,99.18673,,0.81327
2542,99.18979,,0.81021
2541,99.19279,,0.80721
2540,99.19574,,0.80426
2539,99.19865,,0.80135
2538,99.20151,,0.79849
2537,99.20432,,0.79568
2536,99.20708,,0.79292
2535,99.2098,,0.7902
2534,99.21247,,0.78753
2533,99.2151,,0.7849
2532,99.21768,,0.78232
2531,99.22022,,0.77978
2530,99.22272,,0.77728
2529,99.22518,,0.77482
2528,99.2276,,0.7724
2527,99.22998,,0.77002
2526,99.23232,,0.76768
2525,99.23463,,0.76537
2524,99.23689,,0.76311
2523,99.23913,,0.76087
2522,99.24133,,0.75867
2521,99.24349,,0.75651
2520,99.24562,,0.75438
2519,99.248,,7.52E-01
2518,99.24978,,0.75022
2517,99.25182,,0.74818
2516,99.25382,,0.74618
2515,99.25579,,0.74421
2514,99.258,,7.42E-01
2513,99.25966,,0.74034
2512,99.26155,,0.73845
2511,99.26341,,0.73659
2510,99.26525,,0.73475
2509,99.26706,,0.73294
2508,99.26886,,0.73114
2507,99.271,,7.29E-01
2506,99.272,,7.28E-01
2505,99.27409,,0.72591
2504,99.27579,,0.72421
2503,99.27747,,0.72253
2502,99.27912,,0.72088
2501,99.28076,,0.71924
2500,99.28238,,0.71762
2499,99.28397,,0.71603
2498,99.28554,,0.71446
2497,99.2871,,0.7129
2496,99.28863,,0.71137
2495,99.29015,,0.70985
2494,99.29166,,0.70834
2493,99.29314,,0.70686
2492,99.29461,,0.70539
2491,99.29607,,0.70393
2490,99.29751,,0.70249
2489,99.29893,,0.70107
2488,99.30035,,0.69965
2487,99.30174,,0.69826
2486,99.30313,,0.69687
2485,99.3045,,0.6955
2484,99.30585,,0.69415
2483,99.3072,,0.6928
2482,99.30853,,0.69147
2481,99.30985,,0.69015
2480,99.31115,,0.68885
2479,99.31244,,0.68756
2478,99.31372,,0.68628
2477,99.31498,,0.68502
2476,99.31624,,0.68376
2475,99.31748,,0.68252
2474,99.31871,,0.68129
2473,99.31993,,0.68007
2472,99.32114,,0.67886
2471,99.32234,,0.67766
2470,99.32353,,0.67647
2469,99.32471,,0.67529
2468,99.32589,,0.67411
2467,99.32705,,0.67295
2466,99.32821,,0.67179
2465,99.32935,,0.67065
2464,99.33049,,0.66951
2463,99.33161,,0.66839
2462,99.33272,,0.66728
2461,99.33383,,0.66617
2460,99.33492,,0.66508
2459,99.336,,0.664
2458,99.33707,,0.66293
2457,99.33812,,0.66188
2456,99.33917,,0.66083
2455,99.34021,,0.65979
2454,99.34123,,0.65877
2453,99.34225,,0.65775
2452,99.34325,,0.65675
2451,99.34425,,0.65575
2450,99.34523,,0.65477
2449,99.3462,,0.6538
2448,99.34715,,0.65285
2447,99.3481,,0.6519
2446,99.34903,,0.65097
2445,99.34995,,0.65005
2444,99.35086,,0.64914
2443,99.35176,,0.64824
2442,99.35264,,0.64736
2441,99.35352,,0.64648
2440,99.35438,,0.64562
2439,99.35523,,0.64477
2438,99.35608,,0.64392
2437,99.35691,,0.64309
2436,99.35772,,0.64228
2435,99.35852,,0.64148
2434,99.35931,,0.64069
2433,99.36009,,0.63991
2432,99.36085,,0.63915
2431,99.36159,,0.63841
2430,99.36233,,0.63767
2429,99.36304,,0.63696
2428,99.36374,,0.63626
2427,99.36443,,0.63557
2426,99.3651,,0.6349
2425,99.36576,,0.63424
2424,99.3664,,0.6336
2423,99.36702,,0.63298
2422,99.36763,,0.63237
2421,99.36823,,0.63177
2420,99.3688,,0.6312
2419,99.36936,,0.63064
2418,99.36991,,0.63009
2417,99.37044,,0.62956
2416,99.37095,,0.62905
2415,99.37144,,0.62856
2414,99.37192,,0.62808
2413,99.37238,,0.62762
2412,99.37283,,0.62717
2411,99.37325,,0.62675
2410,99.37366,,0.62634
2409,99.37405,,0.62595
2408,99.37442,,0.62558
2407,99.37478,,0.62522
2406,99.37511,,0.62489
2405,99.37543,,0.62457
2404,99.37573,,0.62427
2403,99.37601,,0.62399
2402,99.37628,,0.62372
2401,99.37652,,0.62348
2400,99.37675,,0.62325
2399,99.37695,,0.62305
2398,99.37713,,0.62287
2397,99.3773,,0.6227
2396,99.37744,,0.62256
2395,99.37757,,0.62243
2394,99.37767,,0.62233
2393,99.37776,,0.62224
2392,99.37783,,0.62217
2391,99.37787,,0.62213
2390,99.3779,,0.6221
2389,99.37791,,0.62209
2388,99.37791,,0.62209
2387,99.37788,,0.62212
2386,99.37783,,0.62217
2385,99.37777,,0.62223
2384,99.37768,,0.62232
2383,99.37758,,0.62242
2382,99.37746,,0.62254
2381,99.37732,,0.62268
2380,99.37716,,0.62284
2379,99.37697,,0.62303
2378,99.37677,,0.62323
2377,99.37655,,0.62345
2376,99.37631,,0.62369
2375,99.37606,,0.62394
2374,99.37579,,0.62421
2373,99.37549,,0.62451
2372,99.37519,,0.62481
2371,99.37486,,0.62514
2370,99.37452,,0.62548
2369,99.37416,,0.62584
2368,99.37378,,0.62622
2367,99.37339,,0.62661
2366,99.37299,,0.62701
2365,99.37256,,0.62744
2364,99.37213,,0.62787
2363,99.37167,,0.62833
2362,99.3712,,0.6288
2361,99.37072,,0.62928
2360,99.37022,,0.62978
2359,99.36971,,0.63029
2358,99.36918,,0.63082
2357,99.36863,,0.63137
2356,99.36808,,0.63192
2355,99.36751,,0.63249
2354,99.36693,,0.63307
2353,99.36633,,0.63367
2352,99.36573,,0.63427
2351,99.36511,,0.63489
2350,99.36449,,0.63551
2349,99.36385,,0.63615
2348,99.36319,,0.63681
2347,99.36253,,0.63747
2346,99.36186,,0.63814
2345,99.36118,,0.63882
2344,99.36049,,0.63951
2343,99.3598,,0.6402
2342,99.3591,,0.6409
2341,99.35839,,0.64161
2340,99.35767,,0.64233
2339,99.35694,,0.64306
2338,99.35621,,0.64379
2337,99.35548,,0.64452
2336,99.35474,,0.64526
2335,99.354,,0.646
2334,99.35325,,0.64675
2333,99.3525,,0.6475
2332,99.35175,,0.64825
2331,99.351,,0.649
2330,99.35024,,0.64976
2329,99.34949,,0.65051
2328,99.34873,,0.65127
2327,99.34798,,0.65202
2326,99.34722,,0.65278
2325,99.34647,,0.65353
2324,99.34571,,0.65429
2323,99.34496,,0.65504
2322,99.34422,,0.65578
2321,99.34347,,0.65653
2320,99.34273,,0.65727
2319,99.34199,,0.65801
2318,99.34126,,0.65874
2317,99.34053,,0.65947
2316,99.33981,,0.66019
2315,99.3391,,0.6609
2314,99.33839,,0.66161
2313,99.33769,,0.66231
2312,99.33699,,0.66301
2311,99.33631,,0.66369
2310,99.33563,,0.66437
2309,99.33496,,0.66504
2308,99.3343,,0.6657
2307,99.33366,,0.66634
2306,99.33302,,0.66698
2305,99.3324,,0.6676
2304,99.33178,,0.66822
2303,99.33118,,0.66882
2302,99.33059,,0.66941
2301,99.33002,,0.66998
2300,99.32945,,0.67055
2299,99.3289,,0.6711
2298,99.32837,,0.67163
2297,99.32784,,0.67216
2296,99.32734,,0.67266
