Wavelength[nm],r%,,,T% at AOI 45 deg
2600,2.17934,,,97.82066
2599,2.13609,,,97.86391
2598,2.17136,,,97.82864
2597,2.202,,,97.798
2596,2.15347,,,97.84653
2595,2.07156,,,97.92844
2594,2.05245,,,97.94755
2593,2.09733,,,97.90267
2592,2.11154,,,97.88846
2591,2.04844,,,97.95156
2590,1.97933,,,98.02067
2589,1.98469,,,98.01531
2588,2.0316,,,97.9684
2587,2.02473,,,97.97527
2586,1.95244,,,98.04756
2585,1.90372,,,98.09628
2584,1.93109,,,98.06891
2583,1.97038,,,98.02962
2582,1.94044,,,98.05956
2581,1.86785,,,98.13215
2580,1.84508,,,98.15492
2579,1.88513,,,98.11487
2578,1.9054,,,98.0946
2577,1.8532,,,98.1468
2576,1.78894,,,98.21106
2575,1.79153,,,98.20847
2574,1.83569,,,98.16431
2573,1.83232,,,98.16768
2572,1.76768,,,98.23232
2571,1.72401,,,98.27599
2570,1.75033,,,98.24967
2569,1.78577,,,98.21423
2568,1.75615,,,98.24385
2567,1.69033,,,98.30967
2566,1.67423,,,98.32577
2565,1.71474,,,98.28526
2564,1.7297,,,98.2703
2563,1.67859,,,98.32141
2562,1.62629,,,98.37371
2561,1.63916,,,98.36084
2560,1.67967,,,98.32033
2559,1.66814,,,98.33186
2558,1.60855,,,98.39145
2557,1.58227,,,98.41773
2556,1.61709,,,98.38291
2555,1.64347,,,98.35653
2554,1.60641,,,98.39359
2553,1.55305,,,98.44695
2552,1.55638,,,98.44362
2551,1.59805,,,98.40195
2550,1.5987,,,98.4013
2549,1.54923,,,98.45077
2548,1.52023,,,98.47977
2547,1.55204,,,98.44796
2546,1.58675,,,98.41325
2545,1.56264,,,98.43736
2544,1.51396,,,98.48604
2543,1.51463,,,98.48537
2542,1.55795,,,98.44205
2541,1.56828,,,98.43172
2540,1.5246,,,98.4754
2539,1.49669,,,98.50331
2538,1.52744,,,98.47256
2537,1.56567,,,98.43433
2536,1.54869,,,98.45131
2535,1.50533,,,98.49467
2534,1.50778,,,98.49222
