Wavelength[nm],T% at AOI 45 deg,r%
2600,97.82066,2.17934
2599,97.86391,2.13609
2598,97.82864,2.17136
2597,97.798,2.202
2596,97.84653,2.15347
2595,97.92844,2.07156
2594,97.94755,2.05245
2593,97.90267,2.09733
2592,97.88846,2.11154
2591,97.95156,2.04844
2590,98.02067,1.97933
2589,98.01531,1.98469
2588,97.9684,2.0316
2587,97.97527,2.02473
2586,98.04756,1.95244
2585,98.09628,1.90372
2584,98.06891,1.93109
2583,98.02962,1.97038
2582,98.05956,1.94044
2581,98.13215,1.86785
2580,98.15492,1.84508
2579,98.11487,1.88513
2578,98.0946,1.9054
2577,98.1468,1.8532
2576,98.21106,1.78894
2575,98.20847,1.79153
2574,98.16431,1.83569
2573,98.16768,1.83232
2572,98.23232,1.76768
2571,98.27599,1.72401
2570,98.24967,1.75033
2569,98.21423,1.78577
2568,98.24385,1.75615
2567,98.30967,1.69033
2566,98.32577,1.67423
2565,98.28526,1.71474
2564,98.2703,1.7297
2563,98.32141,1.67859
2562,98.37371,1.62629
2561,98.36084,1.63916
2560,98.32033,1.67967
2559,98.33186,1.66814
2558,98.39145,1.60855
2557,98.41773,1.58227
2556,98.38291,1.61709
2555,98.35653,1.64347
2554,98.39359,1.60641
2553,98.44695,1.55305
2552,98.44362,1.55638
2551,98.40195,1.59805
2550,98.4013,1.5987
2549,98.45077,1.54923
2548,98.47977,1.52023
2547,98.44796,1.55204
2546,98.41325,1.58675
2545,98.43736,1.56264
2544,98.48604,1.51396
2543,98.48537,1.51463
2542,98.44205,1.55795
2541,98.43172,1.56828
2540,98.4754,1.5246
2539,98.50331,1.49669
2538,98.47256,1.52744
2537,98.43433,1.56567
2536,98.45131,1.54869
2535,98.49467,1.50533
2534,98.49222,1.50778
2533,98.44786,1.55214
2532,98.43443,1.56557
2531,98.47276,1.52724
2530,98.49763,1.50237
2529,98.4756,1.5244
2528,98.44827,1.55173
2527,98.4744,1.5256
2526,98.52309,1.47691
2525,98.52596,1.47404
2524,98.49165,1.50835
2523,98.4907,1.5093
2522,98.53707,1.46293
2521,98.56512,1.43488
2520,98.54044,1.45956
2519,9.85E+01,1.5
2518,98.5375,1.4625
2517,98.57669,1.42331
2516,98.56787,1.43213
2515,98.53028,1.46972
2514,9.85E+01,1.5
2513,98.57288,1.42712
2512,98.58721,1.41279
2511,98.55392,1.44608
2510,98.53345,1.46655
2509,98.56288,1.43712
2508,98.59397,1.40603
2507,9.86E+01,1.4
2506,9.85E+01,1.5
2505,98.55052,1.44948
2504,98.58905,1.41095
2503,98.59022,1.40978
2502,98.55327,1.44673
2501,98.54305,1.45695
2500,98.57779,1.42221
2499,98.60621,1.39379
2498,98.58604,1.41396
2497,98.5678,1.4322
2496,98.59835,1.40165
2495,98.63937,1.36063
2494,98.63445,1.36555
2493,98.60754,1.39246
2492,98.62078,1.37922
2491,98.66578,1.33422
2490,98.67847,1.32153
2489,98.64408,1.35592
2488,98.6323,1.3677
2487,98.66512,1.33488
2486,98.68581,1.31419
2485,98.65925,1.34075
2484,98.63379,1.36621
2483,98.65561,1.34439
2482,98.68694,1.31306
2481,98.67323,1.32677
2480,98.64007,1.35993
2479,98.64741,1.35259
2478,98.68294,1.31706
2477,98.68402,1.31598
2476,98.6497,1.3503
2475,98.6422,1.3578
2474,98.67559,1.32441
2473,98.69051,1.30949
2472,98.66092,1.33908
2471,98.64072,1.35928
2470,98.6668,1.3332
2469,98.69253,1.30747
2468,98.67178,1.32822
2467,98.64278,1.35722
2466,98.6586,1.3414
2465,98.69073,1.30927
2464,98.68095,1.31905
2463,98.64754,1.35246
2462,98.65179,1.34821
2461,98.68611,1.31389
2460,98.68778,1.31222
2459,98.65405,1.34595
2458,98.64701,1.35299
2457,98.67972,1.32028
2456,98.69199,1.30801
2455,98.66135,1.33865
2454,98.64444,1.35556
2453,98.67251,1.32749
2452,98.69358,1.30642
2451,98.66863,1.33137
2450,98.64395,1.35605
2449,98.66524,1.33476
2448,98.69284,1.30716
2447,98.67543,1.32457
2446,98.64529,1.35471
2445,98.65835,1.34165
2444,98.69012,1.30988
2443,98.68114,1.31886
2442,98.64805,1.35195
2441,98.65251,1.34749
2440,98.68599,1.31401
2439,98.68533,1.31467
2438,98.65147,1.34853
2437,98.64822,1.35178
2436,98.6815,1.3185
2435,98.68784,1.31216
2434,98.65495,1.34505
2433,98.64509,1.35491
2432,98.67676,1.32324
2431,98.68922,1.31078
2430,98.65837,1.34163
2429,98.64285,1.35715
2428,98.67191,1.32809
2427,98.68969,1.31031
2426,98.66183,1.33817
2425,98.64132,1.35868
2424,98.66713,1.33287
2423,98.68935,1.31065
2422,98.66487,1.33513
2421,98.64043,1.35957
2420,98.66276,1.33724
2419,98.68839,1.31161
2418,98.66738,1.33262
2417,98.63999,1.36001
2416,98.65885,1.34115
2415,98.68702,1.31298
2414,98.66934,1.33066
2413,98.63978,1.36022
2412,98.65546,1.34454
2411,98.68542,1.31458
2410,98.67072,1.32928
2409,98.63966,1.36034
2408,98.65256,1.34744
2407,98.68375,1.31625
2406,98.67155,1.32845
2405,98.63945,1.36055
