Wavelength[nm],Ref,,T% at AOI 45 deg
2600,20.71299,,79.28701
2599,20.35903,,79.64097
2598,19.82919,,80.17081
2597,19.46314,,80.53686
2596,18.90023,,81.09977
2595,18.52334,,81.47666
2594,17.93514,,82.06486
2593,17.5495,,82.4505
2592,16.94326,,83.05674
2591,16.5516,,83.4484
2590,15.93414,,84.06586
2589,15.53834,,84.46166
2588,14.91757,,85.08243
2587,14.51938,,85.48062
2586,13.90361,,86.09639
2585,13.50525,,86.49475
2584,12.90216,,87.09784
2583,12.50483,,87.49517
2582,11.92285,,88.07715
2581,11.52643,,88.47357
2580,10.97474,,89.02526
2579,10.57588,,89.42412
2578,10.06223,,89.93777
2577,9.66022,,90.33978
2576,9.19613,,90.80387
2575,8.7878,,91.2122
2574,8.38201,,91.61799
2573,7.9647,,92.0353
2572,7.62359,,92.37641
2571,7.19665,,92.80335
2570,6.92253,,93.07747
2569,6.48705,,93.51295
2568,6.27794,,93.72206
2567,5.84259,,94.15741
2566,5.68591,,94.31409
2565,5.27061,,94.72939
2564,5.14263,,94.85737
2563,4.77354,,95.22646
2562,4.64533,,95.35467
2561,4.34985,,95.65015
2560,4.194,,95.806
2559,3.9923,,96.0077
2558,3.79763,,96.20237
2557,3.68945,,96.31055
2556,3.45628,,96.54372
2555,3.42842,,96.57158
2554,3.1757,,96.8243
2553,3.19572,,96.80428
2552,2.9594,,97.0406
2551,2.98157,,97.01843
2550,2.80465,,97.19535
2549,2.78699,,97.21301
2548,2.70609,,97.29391
2547,2.61932,,97.38068
2546,2.63695,,97.36305
2545,2.48946,,97.51054
2544,2.57376,,97.42624
2543,2.41053,,97.58947
2542,2.49962,,97.50038
2541,2.38452,,97.61548
2540,2.4136,,97.5864
2539,2.39915,,97.60085
2538,2.33595,,97.66405
2537,2.42149,,97.57851
2536,2.29573,,97.70427
2535,2.41382,,97.58618
2534,2.31125,,97.68875
2533,2.36872,,97.63128
2532,2.3664,,97.6336
2531,2.31561,,97.68439
2530,2.41531,,97.58469
2529,2.29152,,97.70848
2528,2.39857,,97.60143
2527,2.31717,,97.68283
2526,2.336,,97.664
2525,2.37012,,97.62988
2524,2.27821,,97.72179
2523,2.38898,,97.61102
2522,2.278,,97.722
2521,2.34321,,97.65679
