Wavelength[nm],T% at AOI 45 deg,,
2600,79.28701,,
2599,79.64097,,
2598,80.17081,,
2597,80.53686,,
2596,81.09977,,
2595,81.47666,,
2594,82.06486,,
2593,82.4505,,
2592,83.05674,,
2591,83.4484,,
2590,84.06586,,
2589,84.46166,,
2588,85.08243,,
2587,85.48062,,
2586,86.09639,,
2585,86.49475,,
2584,87.09784,,
2583,87.49517,,
2582,88.07715,,
2581,88.47357,,
2580,89.02526,,
2579,89.42412,,
2578,89.93777,,
2577,90.33978,,
2576,90.80387,,
2575,91.2122,,
2574,91.61799,,
2573,92.0353,,
2572,92.37641,,
2571,92.80335,,
2570,93.07747,,
2569,93.51295,,
2568,93.72206,,
2567,94.15741,,
2566,94.31409,,
2565,94.72939,,
2564,94.85737,,
2563,95.22646,,
2562,95.35467,,
2561,95.65015,,
2560,95.806,,
2559,96.0077,,
2558,96.20237,,
2557,96.31055,,
2556,96.54372,,
2555,96.57158,,
2554,96.8243,,
2553,96.80428,,
2552,97.0406,,
2551,97.01843,,
2550,97.19535,,
2549,97.21301,,
2548,97.29391,,
2547,97.38068,,
2546,97.36305,,
2545,97.51054,,
2544,97.42624,,
2543,97.58947,,
2542,97.50038,,
2541,97.61548,,
2540,97.5864,,
2539,97.60085,,
2538,97.66405,,
2537,97.57851,,
2536,97.70427,,
2535,97.58618,,
2534,97.68875,,
2533,97.63128,,
2532,97.6336,,
2531,97.68439,,
2530,97.58469,,
2529,97.70848,,
2528,97.60143,,
2527,97.68283,,
2526,97.664,,
2525,97.62988,,
2524,97.72179,,
2523,97.61102,,
2522,97.722,,
2521,97.65679,,
2520,97.66967,,
2519,9.77E+01,,
2518,97.62247,,
2517,97.73414,,
2516,97.6466,,
2515,97.67834,,
2514,9.77E+01,,
2513,97.62466,,
2512,97.73519,,
2511,97.64738,,
2510,97.68049,,
2509,97.718,,
2508,97.62689,,
2507,9.77E+01,,
2506,9.77E+01,,
2505,97.6713,,
2504,97.73064,,
2503,97.63044,,
2502,97.72799,,
2501,97.68468,,
2500,97.65705,,
2499,97.75533,,
2498,97.66346,,
2497,97.73544,,
2496,97.75741,,
2495,97.68906,,
2494,97.80135,,
2493,97.74535,,
2492,97.74858,,
2491,97.83662,,
2490,97.74741,,
2489,97.81193,,
2488,97.83188,,
2487,97.75207,,
2486,97.8516,,
2485,97.81088,,
2484,97.77763,,
2483,97.87457,,
2482,97.79494,,
2481,97.81316,,
2480,97.88267,,
2479,97.7901,,
2478,97.84894,,
2477,97.88203,,
2476,97.79589,,
2475,97.87956,,
2474,97.87865,,
2473,97.80869,,
2472,97.90349,,
2471,97.87631,,
2470,97.82428,,
2469,97.92074,,
2468,97.8791,,
2467,97.83738,,
2466,97.93248,,
2465,97.88586,,
2464,97.84718,,
2463,97.94071,,
2462,97.89503,,
2461,97.85316,,
2460,97.94521,,
2459,97.90639,,
2458,97.85577,,
2457,97.94521,,
2456,97.91976,,
2455,97.85645,,
2454,97.93948,,
2453,97.93463,,
2452,97.8579,,
2451,97.92702,,
2450,97.94935,,
2449,97.86333,,
2448,97.91048,,
2447,97.9592,,
2446,97.8746,,
2445,97.89114,,
2444,97.96349,,
2443,97.89458,,
2442,97.87267,,
2441,97.95765,,
2440,97.92276,,
2439,97.8629,,
2438,97.93455,,
2437,97.9577,,
2436,97.87741,,
2435,97.89937,,
2434,97.97284,,
2433,97.92113,,
2432,97.87792,,
2431,97.95513,,
2430,97.97268,,
2429,97.89627,,
2428,97.92047,,
2427,97.99618,,
2426,97.95231,,
2425,97.90554,,
2424,97.97844,,
2423,98.01211,,
2422,97.94179,,
2421,97.94454,,
2420,98.02779,,
2419,98.01637,,
2418,97.95175,,
2417,97.99407,,
2416,98.06383,,
2415,98.02246,,
2414,97.97647,,
2413,98.04038,,
2412,98.09071,,
2411,98.03459,,
2410,98.0053,,
2409,98.0769,,
2408,98.11232,,
2407,98.05054,,
2406,98.02916,,
2405,98.10049,,
2404,98.12938,,
2403,98.06624,,
2402,98.04232,,
2401,98.10846,,
2400,98.1396,,
2399,98.07975,,
2398,98.04215,,
2397,98.09418,,
2396,98.13834,,
2395,98.09183,,
2394,98.03299,,
2393,98.05825,,
2392,98.11444,,
2391,98.09515,,
2390,98.02321,,
2389,98.00786,,
2388,98.06008,,
2387,98.07851,,
2386,98.01781,,
2385,97.95975,,
2384,97.9784,,
2383,98.02459,,
2382,98.00683,,
2381,97.93315,,
2380,97.8952,,
2379,97.92773,,
2378,97.96,,
2377,97.92306,,
2376,97.84933,,
2375,97.82223,,
2374,97.85683,,
2373,97.88232,,
2372,97.84239,,
2371,97.77096,,
2370,97.7429,,
2369,97.77385,,
2368,97.80302,,
2367,97.77422,,
