Wavelength[nm],f/6 + AOI 0 deg,
3000,6.52E-04,
2999,6.66E-04,
2998,6.81E-04,
2997,6.98E-04,
2996,7.15E-04,
2995,0.0007335,
2994,0.000753356,
2993,0.00077464,
2992,0.000797076,
2991,0.000821107,
2990,0.000846447,
2989,0.000873373,
2988,0.000901571,
2987,0.000931322,
2986,0.000962277,
2985,0.000994489,
2984,0.00102778,
2983,0.00106194,
2982,0.001096983,
2981,0.0011324,
2980,0.001167885,
2979,0.001202818,
2978,0.001237086,
2977,0.001269697,
2976,0.001300469,
2975,0.001328618,
2974,0.00135363,
2973,0.001374675,
2972,0.001391554,
2971,0.001403137,
2970,0.001409289,
2969,0.001410263,
2968,0.0014054,
2967,0.001394762,
2966,0.001378796,
2965,1.36E-03,
2964,0.001331374,
2963,0.001301368,
2962,0.001267652,
2961,1.23E-03,
2960,1.19E-03,
2959,1.15E-03,
2958,1.11E-03,
2957,1.07E-03,
2956,1.03E-03,
2955,9.89E-04,
2954,9.50E-04,
2953,9.12E-04,
2952,8.75E-04,
2951,8.40E-04,
2950,8.06E-04,
2949,7.74E-04,
2948,7.44E-04,
2947,7.15E-04,
2946,6.89E-04,
2945,6.64E-04,
2944,6.40E-04,
2943,6.18E-04,
2942,5.98E-04,
2941,5.79E-04,
2940,5.61E-04,
2939,5.45E-04,
2938,5.30E-04,
2937,5.16E-04,
2936,5.04E-04,
2935,4.92E-04,
2934,4.81E-04,
2933,4.72E-04,
2932,4.63E-04,
2931,4.56E-04,
2930,4.49E-04,
2929,4.43E-04,
2928,4.38E-04,
2927,4.34E-04,
2926,4.30E-04,
2925,4.27E-04,
2924,4.26E-04,
2923,4.24E-04,
2922,4.24E-04,
2921,4.25E-04,
2920,4.26E-04,
2919,4.28E-04,
2918,4.31E-04,
2917,4.35E-04,
2916,4.39E-04,
2915,4.45E-04,
2914,4.52E-04,
2913,4.59E-04,
2912,4.68E-04,
2911,4.79E-04,
2910,4.90E-04,
2909,5.03E-04,
2908,5.17E-04,
2907,5.33E-04,
2906,5.51E-04,
2905,5.71E-04,
2904,5.94E-04,
2903,6.18E-04,
2902,6.46E-04,
2901,6.76E-04,
2900,7.10E-04,
2899,7.47E-04,
2898,7.89E-04,
2897,8.36E-04,
2896,8.87E-04,
2895,9.44E-04,
2894,1.01E-03,
2893,1.08E-03,
2892,1.15E-03,
2891,1.24E-03,
2890,1.33E-03,
2889,1.43E-03,
2888,1.54E-03,
2887,1.66E-03,
2886,1.78E-03,
2885,1.90E-03,
2884,2.01E-03,
2883,2.12E-03,
2882,2.22E-03,
2881,2.30E-03,
2880,2.35E-03,
2879,2.38E-03,
2878,2.37E-03,
2877,2.34E-03,
2876,2.27E-03,
2875,2.19E-03,
2874,2.08E-03,
2873,1.97E-03,
2872,1.85E-03,
2871,1.72E-03,
2870,1.60E-03,
2869,1.49E-03,
2868,1.38E-03,
2867,1.28E-03,
2866,1.19E-03,
2865,1.11E-03,
2864,1.04E-03,
2863,9.68E-04,
2862,9.07E-04,
2861,8.53E-04,
2860,8.05E-04,
2859,7.62E-04,
2858,7.23E-04,
2857,6.89E-04,
2856,6.59E-04,
2855,6.32E-04,
2854,6.09E-04,
2853,5.88E-04,
2852,5.70E-04,
2851,5.54E-04,
2850,5.41E-04,
2849,5.30E-04,
2848,5.20E-04,
2847,5.13E-04,
2846,5.08E-04,
2845,5.05E-04,
2844,5.03E-04,
2843,5.03E-04,
2842,5.06E-04,
2841,5.10E-04,
2840,5.17E-04,
2839,5.25E-04,
2838,5.37E-04,
2837,5.51E-04,
2836,5.67E-04,
2835,5.88E-04,
2834,6.12E-04,
2833,6.40E-04,
2832,6.74E-04,
2831,7.13E-04,
2830,7.59E-04,
2829,8.14E-04,
2828,8.78E-04,
2827,9.53E-04,
2826,1.04E-03,
2825,1.15E-03,
2824,1.27E-03,
2823,1.42E-03,
2822,1.59E-03,
2821,1.78E-03,
2820,1.99E-03,
2819,2.20E-03,
2818,2.39E-03,
2817,2.54E-03,
2816,2.62E-03,
2815,2.59E-03,
2814,2.46E-03,
2813,2.26E-03,
2812,2.00E-03,
2811,1.73E-03,
2810,1.47E-03,
2809,1.24E-03,
2808,1.04E-03,
2807,8.79E-04,
2806,7.42E-04,
2805,6.30E-04,
2804,5.38E-04,
2803,4.62E-04,
2802,4.00E-04,
2801,3.49E-04,
2800,3.06E-04,
2799,2.70E-04,
2798,2.39E-04,
2797,2.13E-04,
2796,1.91E-04,
2795,1.72E-04,
2794,1.56E-04,
2793,1.42E-04,
2792,1.29E-04,
2791,1.18E-04,
2790,1.09E-04,
2789,1.01E-04,
2788,9.31E-05,
2787,8.65E-05,
2786,8.06E-05,
2785,7.54E-05,
2784,7.07E-05,
2783,6.65E-05,
2782,6.27E-05,
2781,5.92E-05,
2780,5.61E-05,
2779,5.33E-05,
2778,5.08E-05,
2777,4.85E-05,
2776,4.64E-05,
2775,4.45E-05,
2774,4.27E-05,
2773,4.12E-05,
2772,3.97E-05,
2771,3.84E-05,
2770,3.72E-05,
2769,3.62E-05,
2768,3.52E-05,
2767,3.43E-05,
2766,3.36E-05,
2765,3.29E-05,
2764,3.22E-05,
2763,3.17E-05,
2762,3.12E-05,
2761,3.08E-05,
2760,3.05E-05,
2759,3.02E-05,
2758,3.00E-05,
2757,2.98E-05,
2756,2.97E-05,
2755,2.97E-05,
2754,2.97E-05,
2753,2.98E-05,
2752,2.99E-05,
2751,3.01E-05,
2750,3.03E-05,
2749,3.06E-05,
2748,3.10E-05,
2747,3.14E-05,
2746,3.19E-05,
2745,3.24E-05,
2744,3.31E-05,
2743,3.38E-05,
2742,3.45E-05,
2741,3.54E-05,
2740,3.63E-05,
2739,3.74E-05,
2738,3.85E-05,
2737,3.97E-05,
2736,4.09E-05,
2735,4.23E-05,
2734,4.37E-05,
2733,4.52E-05,
2732,4.68E-05,
2731,4.83E-05,
2730,4.99E-05,
2729,5.15E-05,
2728,5.30E-05,
2727,5.45E-05,
2726,5.57E-05,
2725,5.68E-05,
2724,5.77E-05,
2723,5.82E-05,
2722,5.84E-05,
2721,5.83E-05,
2720,5.77E-05,
2719,5.68E-05,
2718,5.55E-05,
