Preliminary design data,,
1551,,
Wavelength (nm),%R,%T
950,0.8254437,0.1744964
951,0.8140308,0.1859024
952,0.8083887,0.1915386
953,0.8128006,0.1871237
954,0.8287988,0.171127
955,0.85329,0.1466412
956,0.8805202,0.1194187
957,0.9056982,9.42E-02
958,0.9265823,7.34E-02
959,0.9429051,5.71E-02
960,0.955306,0.0446602
961,0.9646114,3.54E-02
962,0.9716246,2.83E-02
963,0.9769455,2.30E-02
964,0.981021,1.90E-02
965,0.9841763,1.58E-02
966,0.9866462,1.33E-02
967,0.9886006,0.0113824
968,0.9901631,9.82E-03
969,0.9914242,8.56E-03
970,0.9924512,7.53E-03
971,0.9932942,6.69E-03
972,0.9939911,6.00E-03
973,0.9945709,5.42E-03
974,0.9950558,4.93E-03
975,0.9954633,4.53E-03
976,0.9958067,4.18E-03
977,0.9960968,3.89E-03
978,0.9963421,3.65E-03
979,0.9965492,3.44E-03
980,0.9967236,3.27E-03
981,0.9968696,3.12E-03
982,0.9969907,3.00E-03
983,0.9970895,2.90E-03
984,0.9971684,2.82E-03
985,0.9972288,2.76E-03
986,0.9972721,2.72E-03
987,0.9972993,2.69E-03
988,0.9973109,2.68E-03
989,0.9973072,2.68E-03
990,0.9972881,2.70E-03
991,0.9972535,2.74E-03
992,0.9972026,2.79E-03
993,0.997135,2.86E-03
994,0.9970493,2.94E-03
995,0.9969442,3.05E-03
996,0.9968181,3.17E-03
997,0.9966691,3.32E-03
998,0.9964951,3.50E-03
999,0.9962937,3.70E-03
1000,0.9960626,3.93E-03
1001,0.9957998,4.19E-03
1002,0.9955034,4.49E-03
1003,0.9951724,4.82E-03
1004,0.9948077,5.19E-03
1005,0.9944124,5.58E-03
1006,0.9939931,6.00E-03
1007,0.9935607,6.43E-03
1008,0.9931313,6.86E-03
1009,0.9927254,7.27E-03
1010,0.9923673,7.63E-03
1011,0.9920815,7.91E-03
1012,0.9918889,8.11E-03
1013,0.9918032,8.19E-03
1014,0.9918284,8.17E-03
1015,0.9919592,8.03E-03
1016,0.9921825,7.81E-03
1017,0.9924794,7.51E-03
1018,0.9928269,7.17E-03
1019,0.9932008,6.79E-03
1020,0.9935789,6.42E-03
1021,0.9939442,6.05E-03
1022,0.9942858,5.71E-03
1023,0.994597,5.40E-03
1024,0.9948753,5.12E-03
1025,0.9951198,4.88E-03
1026,0.9953315,4.66E-03
1027,0.9955117,4.48E-03
1028,0.9956622,4.33E-03
1029,0.9957846,0.0042104
1030,0.9958806,4.11E-03
1031,0.9959517,4.04E-03
1032,0.9959989,4.00E-03
1033,0.9960231,3.97E-03
1034,0.996025,3.97E-03
1035,0.996005,3.99E-03
1036,0.9959632,4.03E-03
1037,0.9958996,4.10E-03
1038,0.995814,4.18E-03
1039,0.9957064,4.29E-03
1040,0.9955768,4.42E-03
1041,0.9954253,4.57E-03
1042,0.9952527,4.74E-03
1043,0.9950601,4.94E-03
1044,0.9948502,5.15E-03
1045,0.9946267,5.37E-03
1046,0.9943954,5.60E-03
1047,0.9941643,5.83E-03
1048,0.9939436,6.05E-03
1049,0.9937456,6.25E-03
1050,0.9935837,6.41E-03
1051,0.9934714,6.52E-03
1052,0.9934198,6.58E-03
1053,0.9934359,6.56E-03
1054,0.9935215,6.47E-03
1055,0.993672,6.32E-03
1056,0.9938784,6.12E-03
1057,0.994128,5.87E-03
1058,0.9944069,5.59E-03
1059,0.9947015,5.29E-03
1060,0.9950001,5.00E-03
1061,0.9952922,4.70E-03
1062,0.9955718,4.42E-03
1063,0.9958342,4.16E-03
1064,0.9960765,3.92E-03
1065,0.9962974,3.70E-03
1066,0.9964964,3.50E-03
1067,0.9966741,3.32E-03
1068,0.9968312,3.16E-03
1069,0.9969687,3.03E-03
1070,0.997088,2.91E-03
1071,0.9971899,2.81E-03
1072,0.9972757,2.72E-03
1073,0.9973462,2.65E-03
1074,0.9974024,2.59E-03
1075,0.9974446,2.55E-03
1076,0.9974735,2.52E-03
1077,0.9974893,2.51E-03
1078,0.9974921,2.50E-03
1079,0.9974817,2.51E-03
1080,0.9974579,2.54E-03
1081,0.99742,2.58E-03
1082,0.9973671,2.63E-03
1083,0.9972981,2.70E-03
1084,0.9972116,2.78E-03
1085,0.9971056,2.89E-03
1086,0.9969777,3.02E-03
1087,0.9968252,3.17E-03
1088,0.9966444,3.35E-03
1089,0.9964313,3.56E-03
1090,0.996181,3.81E-03
1091,0.9958881,4.11E-03
1092,0.9955475,4.45E-03
1093,0.9951553,4.84E-03
