Preliminary design data,,
2161,,
Wavelength (nm),%R,%T
940,0.7413391,0.195699
941,0.7295405,0.2104428
942,0.7021614,0.2376757
943,0.6569565,0.2800578
944,0.5908064,0.3409577
945,0.5015799,0.4228875
946,0.3918368,0.5241835
947,0.2731431,0.6349445
948,0.1656133,0.7370825
949,8.80E-02,0.8130721
950,4.56E-02,0.8570191
951,3.01E-02,0.8757415
952,2.86E-02,0.8806234
953,3.15E-02,0.880534
954,3.43E-02,0.8798105
955,3.63E-02,0.8793398
956,3.85E-02,0.8783354
957,4.22E-02,0.8757986
958,0.0478285,0.8713672
959,5.49E-02,0.865526
960,6.24E-02,0.8593438
961,6.88E-02,0.8540223
962,7.31E-02,0.8505117
963,7.49E-02,0.8493121
964,7.41E-02,0.850459
965,7.11E-02,0.853627
966,6.64E-02,0.8582826
967,6.08E-02,0.8638363
968,5.47E-02,0.8697507
969,4.87E-02,0.875594
970,4.31E-02,0.8810413
971,3.82E-02,0.8858479
972,3.43E-02,0.8898208
973,3.14E-02,0.8928123
974,2.97E-02,0.8947359
975,2.91E-02,0.8955994
976,2.96E-02,0.8955271
977,3.08E-02,0.894758
978,3.24E-02,0.893611
979,3.41E-02,0.892422
980,3.55E-02,0.8914754
981,3.64E-02,0.8909482
982,3.68E-02,0.8908828
983,3.68E-02,0.8911955
984,3.65E-02,0.8917188
985,3.62E-02,0.8922632
986,3.60E-02,0.8926814
987,3.60E-02,0.8929151
988,3.61E-02,0.8930114
989,3.63E-02,0.8931016
990,3.62E-02,0.8933546
991,3.59E-02,0.8939147
992,3.51E-02,0.8948504
993,3.39E-02,0.8961215
994,0.032521,0.8975807
995,3.12E-02,0.8990059
996,3.01E-02,0.9001563
997,2.96E-02,0.9008383
998,0.0297065,0.9009606
999,3.04E-02,0.9005632
1000,3.14E-02,0.8998086
1001,3.25E-02,0.8990899
1002,0.0334506,0.8984857
1003,3.41E-02,0.8981658
1004,3.43E-02,0.8982276
1005,3.41E-02,0.8986751
1006,3.36E-02,0.8994175
1007,3.29E-02,0.9002877
1008,3.23E-02,0.901078
1009,3.20E-02,0.9015858
1010,3.22E-02,0.9016587
1011,3.29E-02,0.9012314
1012,3.41E-02,0.9003441
1013,3.56E-02,0.8991377
1014,3.73E-02,0.8978279
1015,3.88E-02,0.8966641
1016,3.99E-02,0.8958849
1017,4.04E-02,0.8956719
1018,4.01E-02,0.8961186
1019,3.92E-02,0.8972133
1020,3.77E-02,0.8988407
1021,0.0358211,0.9008001
1022,3.39E-02,0.9028388
1023,3.21E-02,0.9046949
1024,3.08E-02,0.9061418
1025,3.01E-02,0.9070272
1026,3.01E-02,0.9072983
1027,3.07E-02,0.9070061
1028,0.0316885,0.9062927
1029,3.30E-02,0.9053598
1030,3.42E-02,0.9044302
1031,3.53E-02,0.9037075
1032,0.0359169,0.9033425
1033,3.61E-02,0.9034114
1034,3.58E-02,0.9039083
1035,3.52E-02,0.9047506
1036,3.43E-02,0.905799
1037,3.34E-02,0.9068843
1038,3.26E-02,0.9078395
1039,3.21E-02,0.9085303
1040,3.19E-02,0.9088775
1041,3.22E-02,0.9088696
1042,3.27E-02,0.9085611
1043,0.0334609,0.9080591
1044,3.43E-02,0.9075006
1045,0.0349884,0.9070269
1046,3.55E-02,0.9067566
1047,3.57E-02,0.9067675
1048,3.55E-02,0.9070839
1049,3.51E-02,0.907676
1050,3.45E-02,0.9084678
1051,3.37E-02,0.9093527
1052,3.30E-02,0.9102136
1053,3.24E-02,0.9109459
1054,3.21E-02,0.9114754
1055,3.20E-02,0.9117709
1056,3.21E-02,0.9118493
1057,0.0324056,0.9117688
1058,3.28E-02,0.9116182
1059,3.31E-02,0.9114969
1060,0.0333385,0.9114958
1061,3.34E-02,0.9116799
1062,3.31E-02,0.912075
1063,3.27E-02,0.9126624
1064,3.22E-02,0.913381
1065,3.16E-02,0.9141369
1066,3.10E-02,0.9148191
1067,3.07E-02,0.9153193
1068,3.06E-02,0.9155512
1069,3.09E-02,0.9154667
1070,3.15E-02,0.9150671
1071,0.0324313,0.9144043
1072,3.35E-02,0.9135748
1073,3.46E-02,0.9127055
1074,3.56E-02,0.9119352
1075,3.64E-02,0.911393
1076,3.68E-02,0.9111797
1077,3.68E-02,0.9113512
1078,3.64E-02,0.9119101
1079,3.57E-02,0.9128027
1080,3.46E-02,0.9139247
1081,3.35E-02,0.9151344
1082,0.0324284,0.9162693
1083,3.16E-02,0.9171693
1084,3.12E-02,0.9177014
1085,3.12E-02,0.9177704
1086,3.18E-02,0.9173419
1087,3.29E-02,0.9164446
