Preliminary design data,,
1901,,
Wavelength (nm),%R,%T
600,0.9642592,3.57E-02
601,0.9713455,2.86E-02
602,0.9719337,0.0280098
603,0.9661386,3.38E-02
604,0.9471447,5.28E-02
605,0.8451169,0.1546119
606,0.7477335,0.2519744
607,0.7143296,0.2854128
608,0.8419781,0.1578838
609,0.8930809,0.1068151
610,0.8976139,0.1022617
611,0.8623189,0.1374329
612,0.7601418,0.2391106
613,0.745384,0.2542067
614,0.8675792,0.1322288
615,0.9290214,7.09E-02
616,0.9507262,4.92E-02
617,0.9565566,4.34E-02
618,0.9532323,4.67E-02
619,0.9424926,5.75E-02
620,0.9308241,6.91E-02
621,0.9315783,6.84E-02
622,0.9466072,0.0533205
623,0.959987,3.99E-02
624,0.9654644,3.44E-02
625,0.9653726,3.44E-02
626,0.9616355,3.80E-02
627,0.9599853,3.97E-02
628,0.9623551,3.74E-02
629,0.966271,3.36E-02
630,0.9696808,3.02E-02
631,0.9720929,2.78E-02
632,0.9759129,2.40E-02
633,0.9830791,1.69E-02
634,0.9901024,9.86E-03
635,0.9943719,5.59E-03
636,0.9965584,3.41E-03
637,0.9976638,2.31E-03
638,0.998234,1.74E-03
639,0.9985201,1.45E-03
640,0.9986314,1.34E-03
641,0.998607,1.36E-03
642,0.9984389,1.53E-03
643,0.9980641,1.90E-03
644,0.997317,2.65E-03
645,0.9957712,4.19E-03
646,0.9921905,7.77E-03
647,0.9821849,1.78E-02
648,0.9448262,5.51E-02
649,0.762251,0.2376137
650,0.6384705,0.3613912
651,0.7816572,0.2182452
652,0.7025544,0.297289
653,0.7479923,0.2518995
654,0.6560168,0.3438529
655,0.5086352,0.4911958
656,0.5255976,0.4742243
657,0.6782119,0.3216157
658,0.7322146,0.2675717
659,0.7430369,0.256678
660,0.7632905,0.2363539
661,0.8297558,0.1698812
662,0.8995989,0.1000812
663,0.9418761,5.78E-02
664,0.9642123,0.0355406
665,0.976283,2.35E-02
666,0.9830624,1.68E-02
667,0.9869421,1.29E-02
668,0.9891405,0.0107371
669,0.9902723,9.62E-03
670,0.9906126,9.30E-03
671,0.9902129,9.71E-03
672,0.9889147,1.10E-02
673,0.9862446,1.37E-02
674,0.9810814,1.89E-02
675,0.9707148,2.92E-02
676,0.9480692,5.19E-02
677,0.8936238,0.1062911
678,0.7627206,0.237155
679,0.5589913,0.440831
680,0.4446473,0.5550945
681,0.2439438,0.7555147
682,0.6290624,0.3707931
683,0.7762204,0.2236925
684,0.8653598,0.1345805
685,0.9113511,8.86E-02
686,0.9324358,6.75E-02
687,0.9389107,6.11E-02
688,0.9331793,6.68E-02
689,0.9104705,8.95E-02
690,0.8666152,0.133342
691,0.8835934,0.1163634
692,0.9495236,5.04E-02
693,0.9768158,2.32E-02
694,0.9872739,0.0127032
695,0.9917943,8.18E-03
696,0.99395,6.03E-03
697,0.9949925,4.98E-03
698,0.9953954,4.58E-03
699,0.9953151,4.65E-03
700,0.9947188,5.24E-03
701,0.9933698,6.57E-03
702,0.9906327,9.28E-03
703,0.9850284,1.48E-02
704,0.9740365,2.57E-02
705,0.9590628,4.02E-02
706,0.9641389,3.54E-02
707,0.9762186,2.36E-02
708,0.9830459,1.68E-02
709,0.9862592,1.37E-02
710,0.9873253,1.26E-02
711,0.9867954,1.32E-02
712,0.9845217,1.54E-02
713,0.9795374,2.04E-02
714,0.9692228,3.07E-02
715,0.946654,5.33E-02
716,0.8933205,0.1066242
717,0.7743648,0.2255479
718,0.6306403,0.3692166
719,0.3612979,0.6375429
720,0.6208743,0.3789737
721,0.6158885,0.3840142
722,0.5630645,0.4368314
723,0.5927253,0.407171
724,0.7348095,0.2651144
725,0.8492574,0.1506932
726,0.9084896,9.15E-02
727,0.9368999,6.31E-02
728,0.9509357,4.90E-02
729,0.9577689,4.22E-02
730,0.9605623,3.94E-02
731,0.9609939,3.90E-02
732,0.9604583,0.0395251
733,0.9605986,3.94E-02
734,0.9628577,3.71E-02
735,0.9674069,3.26E-02
736,0.9732682,2.67E-02
737,0.9789811,2.10E-02
738,0.983473,1.65E-02
739,0.9866489,0.0133362
740,0.9888042,1.12E-02
741,0.9902189,9.76E-03
742,0.9910859,8.90E-03
743,0.9915101,8.47E-03
744,0.9915263,8.45E-03
745,0.9910992,8.87E-03
746,0.9900993,9.87E-03
747,0.9882349,1.17E-02
748,0.9848747,1.51E-02
749,0.9785699,2.13E-02
750,0.965517,3.43E-02
751,0.9320419,6.74E-02
752,0.8933015,0.1060391
753,0.891761,0.1079094
754,0.9246863,7.51E-02
755,0.9516196,4.83E-02
756,0.9655738,0.0343576
757,0.9722095,2.77E-02
758,0.974749,2.52E-02
759,0.9743614,2.56E-02
760,0.9709467,2.90E-02
761,0.9630914,0.0368823
762,0.9469453,0.0530271
763,0.9137372,0.0862304
764,0.8529962,0.1469617
765,0.8052797,0.1946705
766,0.8365525,0.1633993
767,0.8510757,0.1488606
768,0.7218239,0.2780437
769,0.811694,0.1882319
770,0.7665985,0.2332705
771,0.5824972,0.4170752
772,0.8744881,0.1254154
773,0.8376724,0.1622299
774,0.6924588,0.3073674
775,0.5593505,0.4403999
776,0.7537321,0.2461257
777,0.8823674,0.1175628
778,0.9318994,6.81E-02
779,0.9527726,4.72E-02
780,0.9621029,3.79E-02
781,0.9655325,3.44E-02
782,0.964786,3.52E-02
783,0.9594955,4.05E-02
784,0.9469213,5.31E-02
785,0.9193992,8.06E-02
786,0.8610299,0.1389344
787,0.7937246,0.2062252
788,0.8343548,0.1655974
789,0.8887163,0.1112396
790,0.9506494,4.93E-02
791,0.9699189,3.01E-02
792,0.9787519,2.12E-02
793,0.983368,1.66E-02
794,0.9858668,1.41E-02
795,0.9870831,1.29E-02
796,0.9872597,1.27E-02
797,0.9859215,1.41E-02
798,0.9783026,2.17E-02
799,0.8725728,0.1273002
800,0.9792315,2.07E-02
801,0.9830306,1.70E-02
802,0.9806871,1.93E-02
803,0.9751623,2.48E-02
804,0.9642089,3.58E-02
805,0.939773,6.02E-02
806,0.8713563,0.1285872
807,0.6620023,0.3378615
808,0.7235045,0.2763771
809,0.9092259,9.07E-02
810,0.9616807,3.83E-02
811,0.9797499,2.02E-02
812,0.9876545,1.23E-02
813,0.9917229,8.26E-03
814,0.9940704,5.91E-03
815,0.9955467,4.44E-03
816,0.9965407,3.44E-03
817,0.9972477,2.73E-03
818,0.997773,2.21E-03
819,0.9981756,1.81E-03
820,0.9984902,1.49E-03
821,0.9987381,1.24E-03
822,0.9989339,1.04E-03
823,0.9990878,8.90E-04
824,0.9992077,7.69E-04
825,0.9993001,6.76E-04
826,0.9993699,6.05E-04
827,0.9994207,5.53E-04
828,0.9994556,5.17E-04
829,0.9994762,4.95E-04
830,0.9994836,4.86E-04
831,0.9994776,4.90E-04
832,0.9994568,5.09E-04
833,0.9994186,5.46E-04
834,0.9993574,6.05E-04
835,0.9992638,6.96E-04
836,0.9991213,8.36E-04
837,0.9988984,1.06E-03
838,0.9985324,1.42E-03
839,0.9978839,2.07E-03
840,0.9965975,3.35E-03
841,0.9935963,6.35E-03
842,0.9848734,1.51E-02
843,0.9635187,3.64E-02
844,0.9748478,2.51E-02
845,0.9898862,1.00E-02
846,0.9948822,5.04E-03
847,0.9964588,3.46E-03
848,0.9968777,3.04E-03
849,0.9983083,1.61E-03
850,0.9987047,1.21E-03
851,0.9989299,9.80E-04
852,0.9990752,8.33E-04
853,0.9991733,7.33E-04
854,0.9992403,6.66E-04
855,0.999285,6.21E-04
856,0.999312,5.96E-04
857,0.9993236,5.86E-04
858,0.9993201,5.92E-04
859,0.9993001,6.15E-04
860,0.9992595,6.58E-04
861,0.9991915,7.30E-04
862,0.9990835,8.41E-04
863,0.9989114,1.02E-03
864,0.9986289,1.30E-03
865,0.9981337,1.80E-03
866,0.9971681,2.77E-03
867,0.9949295,5.01E-03
868,0.9879625,1.20E-02
869,0.9560919,4.38E-02
870,0.958204,4.17E-02
871,0.9886056,0.0113425
872,0.9940253,5.93E-03
873,0.9968766,3.08E-03
874,0.998268,1.69E-03
875,0.9987891,1.17E-03
876,0.9990734,8.86E-04
877,0.9992459,7.14E-04
878,0.9993563,6.05E-04
879,0.9994286,5.33E-04
880,0.9994755,4.87E-04
881,0.9995044,4.58E-04
882,0.9995191,4.44E-04
883,0.9995218,4.42E-04
884,0.9995134,4.50E-04
885,0.9994938,4.70E-04
886,0.9994617,5.02E-04
887,0.999415,5.48E-04
888,0.9993502,6.12E-04
889,0.9992618,7.00E-04
890,0.9991416,8.20E-04
891,0.9989771,9.84E-04
892,0.9987491,1.21E-03
893,0.9984271,1.53E-03
894,0.9979611,2.00E-03
