Preliminary design data,,
1901,,
Wavelength (nm),%R,%T
600,0.7416104,0.258259
601,0.8248595,0.1750278
602,0.8405596,0.1592795
603,0.6364185,0.3623079
604,0.7325912,0.2670156
605,0.8629983,0.1367421
606,0.965009,3.49E-02
607,0.9876697,1.23E-02
608,0.9941961,5.77E-03
609,0.9966254,3.35E-03
610,0.9976826,2.29E-03
611,0.998166,1.81E-03
612,0.9983475,1.63E-03
613,0.998311,1.67E-03
614,0.9980324,1.95E-03
615,0.9973481,2.63E-03
616,0.9957311,4.24E-03
617,0.9912251,8.74E-03
618,0.9728919,2.71E-02
619,0.8033832,0.1964358
620,0.8143241,0.1855327
621,0.941644,5.83E-02
622,0.7342553,0.2650304
623,0.9581593,4.18E-02
624,0.9533945,0.0464967
625,0.928898,7.09E-02
626,0.8694041,0.1303128
627,0.7560911,0.243506
628,0.6200584,0.3796239
629,0.4978161,0.5019423
630,0.4781618,0.5215703
631,0.7829623,0.2168937
632,0.8936609,0.1062444
633,0.9295641,7.04E-02
634,0.9366781,6.32E-02
635,0.9176365,8.23E-02
636,0.8156478,0.1840915
637,0.6106278,0.3880295
638,0.9380401,0.0617874
639,0.9816689,1.83E-02
640,0.9916603,8.30E-03
641,0.9950829,4.89E-03
642,0.9965235,3.45E-03
643,0.9971532,2.83E-03
644,0.9973439,2.64E-03
645,0.9971904,2.79E-03
646,0.9966136,3.37E-03
647,0.995272,4.71E-03
648,0.9920927,7.89E-03
649,0.9831848,1.68E-02
650,0.9527313,0.0472415
651,0.9110538,8.89E-02
652,0.9498253,5.01E-02
653,0.9610145,3.90E-02
654,0.9768496,2.31E-02
655,0.9784454,0.0215296
656,0.9740127,2.60E-02
657,0.9601334,3.98E-02
658,0.9184582,0.0814672
659,0.7645457,0.2352801
660,0.5240341,0.4756724
661,0.7473248,0.2525223
662,0.8153592,0.184443
663,0.6599814,0.3394695
664,0.8384103,0.1614909
665,0.7931994,0.2067129
666,0.6404908,0.3593798
667,0.4678513,0.5319524
668,0.3041655,0.6953625
669,0.7733941,0.2264947
670,0.8695065,0.1304306
671,0.8954555,0.1044904
672,0.8955173,0.1044256
673,0.8727503,0.1271793
674,0.8112509,0.1886476
675,0.6697798,0.3300494
676,0.4763597,0.5233501
677,0.2930723,0.7061785
678,0.6726585,0.3270703
679,0.8287332,0.1711487
680,0.8780004,0.121913
681,0.897222,0.1026987
682,0.9024706,9.74E-02
683,0.8986388,0.1012697
684,0.8871392,0.112753
685,0.8681114,0.1317566
686,0.8416387,0.1581952
687,0.8092369,0.1905513
688,0.7774161,0.2223237
689,0.7622126,0.2375061
690,0.7736473,0.2260986
691,0.796634,0.2031567
692,0.8149129,0.1849115
693,0.8224067,0.1774339
694,0.8163534,0.183484
695,0.7927055,0.2071021
696,0.7441207,0.2556032
697,0.6573265,0.3421523
698,0.6622119,0.3371411
699,0.8094487,0.1902458
700,0.888454,0.1113712
701,0.9302115,6.97E-02
702,0.9525294,4.74E-02
703,0.964792,3.51E-02
704,0.9716578,2.83E-02
705,0.9753719,2.46E-02
706,0.976994,2.30E-02
707,0.9769471,2.30E-02
708,0.9752215,2.47E-02
709,0.9713631,2.86E-02
710,0.964227,3.57E-02
711,0.9512735,4.87E-02
712,0.926707,7.32E-02
713,0.8765845,0.1233114
714,0.7693945,0.2304602
715,0.5844855,0.4153079
716,0.5064382,0.4933178
717,0.5887339,0.4109963
718,0.520153,0.4794699
719,0.4053233,0.5942155
720,0.6971616,0.3025239
721,0.8397678,0.16
722,0.8944581,0.1053592
723,0.9208757,7.90E-02
724,0.9364991,6.34E-02
725,0.9465384,5.34E-02
726,0.9527488,4.72E-02
727,0.9557664,4.42E-02
728,0.9555987,0.0443329
729,0.951455,4.85E-02
730,0.9409066,5.90E-02
731,0.9171101,8.28E-02
732,0.858445,0.1414613
733,0.6935157,0.3063118
734,0.5018138,0.4979087
735,0.7310718,0.2687214
736,0.7576095,0.2420523
737,0.9391744,6.08E-02
738,0.9650642,3.49E-02
739,0.9753801,2.46E-02
740,0.9802734,1.97E-02
741,0.982483,1.75E-02
742,0.9829526,1.70E-02
743,0.9818642,1.81E-02
744,0.978828,2.11E-02
745,0.9725819,2.74E-02
746,0.9597991,4.02E-02
747,0.9309362,6.90E-02
748,0.854985,0.1449471
749,0.6630744,0.3367949
750,0.6132802,0.3865794
751,0.7478898,0.251988
752,0.6325165,0.3671842
753,0.8767305,0.1232125
754,0.9079751,9.20E-02
755,0.9089246,0.0910424
756,0.8892307,0.1107322
757,0.8335596,0.1663885
758,0.6936183,0.3062861
759,0.4715474,0.5282366
760,0.7446514,0.2552434
761,0.8929299,0.1070185
762,0.9434196,5.65E-02
763,0.9642738,0.0356986
764,0.974201,0.0257744
765,0.9792746,2.07E-02
766,0.9817826,1.82E-02
767,0.9826448,1.73E-02
768,0.9821615,1.78E-02
769,0.980229,1.97E-02
770,0.9762929,2.37E-02
771,0.9690048,0.0309571
772,0.9552029,4.47E-02
773,0.9268573,0.0730745
774,0.8612779,0.1386119
775,0.6955619,0.3042218
776,0.3061811,0.6931738
777,0.4664201,0.5331643
778,0.7296461,0.2701884
779,0.8220175,0.1778676
780,0.8598482,0.1400453
781,0.8726507,0.1272278
782,0.8691039,0.1307308
783,0.8495738,0.1501631
784,0.8217062,0.1779013
785,0.8167131,0.1829459
786,0.8177279,0.1820246
787,0.8264387,0.1733638
788,0.850136,0.1497053
789,0.8798079,0.1200683
790,0.9059925,9.39E-02
791,0.9258681,7.41E-02
792,0.9402155,5.97E-02
793,0.9505313,4.94E-02
794,0.9580522,4.19E-02
795,0.9636259,0.0363363
796,0.9677961,3.22E-02
797,0.9709018,2.91E-02
798,0.9731514,2.68E-02
799,0.9746674,2.53E-02
800,0.975511,0.0244626
801,0.9756931,2.43E-02
802,0.9751738,2.48E-02
803,0.9738538,2.61E-02
804,0.9715618,2.84E-02
805,0.9680361,3.19E-02
806,0.9629126,3.71E-02
807,0.9557485,0.0442223
808,0.9461556,5.38E-02
809,0.9341452,6.58E-02
810,0.920651,7.93E-02
811,0.9076682,9.23E-02
812,0.8971803,0.1027761
813,0.889653,0.1102994
814,0.884121,0.1158261
815,0.8789536,0.1209863
816,0.8715454,0.1283838
817,0.858084,0.1418277
818,0.8328763,0.167004
819,0.7845737,0.2152417
820,0.6895748,0.3100892
821,0.6158079,0.3837228
822,0.6841921,0.3154974
823,0.7373275,0.2624581
824,0.7895634,0.2102773
825,0.8369505,0.1629292
826,0.8719901,0.1279164
827,0.8950821,0.1048422
828,0.9090754,9.09E-02
829,0.9162933,8.36E-02
830,0.9179641,8.20E-02
831,0.9142246,8.57E-02
832,0.9040006,0.0959481
833,0.8845068,0.1154396
834,0.8502991,0.1496419
835,0.7932575,0.2066737
836,0.7135077,0.2864093
837,0.6601357,0.3397707
838,0.6987882,0.3011221
839,0.7597544,0.2401592
840,0.7726021,0.2272984
841,0.8580666,0.1418623
842,0.9131932,8.68E-02
843,0.9377246,6.22E-02
844,0.950542,4.94E-02
845,0.9578059,4.21E-02
846,0.9618741,3.81E-02
847,0.9637789,3.62E-02
848,0.9639562,0.0359922
849,0.9624889,3.75E-02
850,0.9591635,4.08E-02
851,0.953409,4.65E-02
852,0.944098,5.58E-02
853,0.9291109,7.08E-02
854,0.9044647,9.55E-02
855,0.8629007,0.1370249
856,0.793973,0.2059403
857,0.6998847,0.3000122
858,0.6429595,0.356928
859,0.6796439,0.3202488
860,0.7158425,0.2840436
861,0.6688731,0.330964
862,0.8068184,0.193084
863,0.8860384,0.1138945
864,0.9172391,8.27E-02
865,0.9327123,6.72E-02
866,0.9411435,5.88E-02
867,0.9455435,5.44E-02
868,0.9471377,5.28E-02
869,0.9463835,5.36E-02
870,0.9432794,5.67E-02
871,0.9374256,6.25E-02
872,0.9279398,7.20E-02
873,0.9132318,8.67E-02
874,0.8906224,0.1093277
875,0.8559784,0.1439666
876,0.8046178,0.195319
877,0.738278,0.2616475
878,0.6823816,0.3175335
879,0.6747921,0.3251178
880,0.6834082,0.3164871
881,0.6732748,0.326588
882,0.8115464,0.1883768
883,0.8852413,0.1147076
