Preliminary design data,,
1901,,
Wavelength (nm),%R,%T
600,0.9693202,3.06E-02
600.2000122,0.9679682,3.20E-02
600.4000244,0.966426,3.35E-02
600.5999756,0.9646706,3.53E-02
600.7999878,0.9626737,0.0372913
601,0.9604035,3.96E-02
601.2000122,0.9578221,4.21E-02
601.4000244,0.9548851,4.51E-02
601.5999756,0.9515413,4.84E-02
601.7999878,0.9477273,5.22E-02
602,0.9433722,5.66E-02
602.2000122,0.9383919,6.16E-02
602.4000244,0.9326888,6.73E-02
602.5999756,0.9261516,7.38E-02
602.7999878,0.9186469,8.13E-02
603,0.9100302,8.99E-02
603.2000122,0.9001395,9.98E-02
603.4000244,0.8888007,0.1111321
603.5999756,0.8758392,0.1240889
603.7999878,0.8610757,0.1388471
604,0.8443679,0.1555493
604.2000122,0.8256185,0.1742926
604.4000244,0.8048063,0.1950982
604.5999756,0.7820209,0.2178767
604.7999878,0.7574571,0.2424333
605,0.7314723,0.2684108
605.2000122,0.7045649,0.2953109
605.4000244,0.6773728,0.3224959
605.5999756,0.6506538,0.349208
605.7999878,0.6251984,0.3746571
606,0.6017959,0.3980536
606.2000122,0.5811047,0.4187393
606.4000244,0.5635706,0.4362679
606.5999756,0.5493732,0.4504596
606.7999878,0.5383934,0.4614329
607,0.5302557,0.4695624
607.2000122,0.5243366,0.4754703
607.4000244,0.5197704,0.4800207
607.5999756,0.5153937,0.4843741
607.7999878,0.5096061,0.4901263
608,0.5002337,0.4994442
608.2000122,0.4848636,0.514731
608.4000244,0.4636634,0.5358135
608.5999756,0.4483208,0.5510321
608.7999878,0.4662209,0.5330915
609,0.5248809,0.4745218
609.2000122,0.5942951,0.405246
609.4000244,0.6530545,0.3466013
609.5999756,0.6992371,0.3004984
609.7999878,0.7364075,0.263382
610,0.7675055,0.2323214
610.2000122,0.7942817,0.2055721
610.4000244,0.8177041,0.1821698
610.5999756,0.838323,0.1615664
610.7999878,0.856509,0.1433928
611,0.8725237,0.1273881
611.2000122,0.8865947,0.1133255
611.4000244,0.8989292,0.1009981
611.5999756,0.9097173,9.02E-02
611.7999878,0.9191456,0.0807928
612,0.9273762,7.26E-02
612.2000122,0.9345596,6.54E-02
612.4000244,0.9408308,5.91E-02
612.5999756,0.9463077,5.36E-02
612.7999878,0.9510987,4.89E-02
613,0.9552934,4.47E-02
613.2000122,0.9589711,4.10E-02
613.4000244,0.9622002,3.78E-02
613.5999756,0.9650388,0.0349246
613.7999878,0.9675393,0.0324256
614,0.969744,3.02E-02
614.2000122,0.97169,2.83E-02
614.4000244,0.9734093,2.66E-02
614.5999756,0.9749286,2.50E-02
614.7999878,0.9762723,2.37E-02
615,0.9774598,0.0225109
615.2000122,0.9785084,2.15E-02
615.4000244,0.9794326,2.05E-02
615.5999756,0.9802449,1.97E-02
615.7999878,0.9809565,1.90E-02
616,0.9815761,0.0183969
616.2000122,0.9821117,1.79E-02
616.4000244,0.9825695,1.74E-02
616.5999756,0.982955,1.70E-02
616.7999878,0.9832729,1.67E-02
617,0.9835265,1.64E-02
617.2000122,0.9837185,1.63E-02
617.4000244,0.9838511,1.61E-02
617.5999756,0.9839253,1.60E-02
617.7999878,0.9839418,1.60E-02
618,0.9839004,1.61E-02
618.2000122,0.9838,0.0161732
618.4000244,0.9836391,0.0163338
618.5999756,0.9834152,1.66E-02
618.7999878,0.9831249,1.68E-02
619,0.9827638,1.72E-02
619.2000122,0.9823264,1.76E-02
619.4000244,0.981806,1.82E-02
619.5999756,0.9811946,1.88E-02
619.7999878,0.9804816,1.95E-02
620,0.9796552,2.03E-02
620.2000122,0.9787069,2.13E-02
620.4000244,0.9776143,2.24E-02
620.5999756,0.9763564,2.36E-02
620.7999878,0.9749064,2.51E-02
621,0.973232,2.67E-02
621.2000122,0.9712929,2.87E-02
621.4000244,0.969038,3.09E-02
621.5999756,0.9664027,3.36E-02
621.7999878,0.9632992,3.67E-02
622,0.9596123,4.03E-02
622.2000122,0.9551803,4.48E-02
622.4000244,0.9497674,5.02E-02
622.5999756,0.94301,5.69E-02
622.7999878,0.9342943,6.56E-02
623,0.9225072,7.74E-02
623.2000122,0.905386,9.45E-02
623.4000244,0.8778908,0.1220123
623.5999756,0.8291782,0.1706955
623.7999878,0.7529908,0.2468328
624,0.7215523,0.2782574
624.2000122,0.7603413,0.2395068
624.4000244,0.7821448,0.2177233
624.5999756,0.7790402,0.2208316
624.7999878,0.7611508,0.2387176
625,0.7340341,0.2658274
625.2000122,0.7007038,0.2991496
625.4000244,0.6635605,0.3362848
625.5999756,0.6252182,0.3746195
625.7999878,0.5885873,0.411244
626,0.5565946,0.4432318
626.2000122,0.5315226,0.4683006
626.4000244,0.5144835,0.4853376
626.5999756,0.5052588,0.4945601
626.7999878,0.5025618,0.4972535
627,0.5045694,0.4952397
627.2000122,0.5094119,0.4903874
627.4000244,0.5155149,0.4842691
627.5999756,0.5217572,0.478005
627.7999878,0.5275171,0.4722141
628,0.5326576,0.4670331
628.2000122,0.5375368,0.4621018
628.4000244,0.543048,0.4565312
628.5999756,0.5506369,0.448884
628.7999878,0.5621273,0.4373544
629,0.5790938,0.4203842
629.2000122,0.6021626,0.3973472
629.4000244,0.6309021,0.3686594
629.5999756,0.6641347,0.3354819
629.7999878,0.7002062,0.2994614
630,0.7371339,0.262577
630.2000122,0.773,0.2267484
630.4000244,0.8062841,0.1934957
630.5999756,0.8360358,0.1637706
630.7999878,0.8618927,0.1379367
631,0.8838897,0.1159595
631.2000122,0.9023346,9.75E-02
631.4000244,0.9176597,8.22E-02
631.5999756,0.9303252,6.96E-02
631.7999878,0.940778,5.91E-02
632,0.9494041,5.05E-02
632.2000122,0.9565359,4.34E-02
632.4000244,0.9624496,0.0374786
632.5999756,0.9673703,3.26E-02
632.7999878,0.9714841,2.85E-02
633,0.9749376,2.50E-02
633.2000122,0.9778501,2.21E-02
633.4000244,0.9803177,1.96E-02
633.5999756,0.9824169,1.75E-02
633.7999878,0.984212,1.57E-02
634,0.9857529,1.42E-02
634.2000122,0.9870812,1.29E-02
634.4000244,0.9882304,1.17E-02
634.5999756,0.9892281,1.07E-02
634.7999878,0.9900977,9.87E-03
635,0.9908577,9.11E-03
635.2000122,0.9915239,8.45E-03
635.4000244,0.9921092,7.86E-03
635.5999756,0.9926245,7.35E-03
635.7999878,0.9930792,6.90E-03
636,0.9934808,6.50E-03
636.2000122,0.9938359,6.14E-03
636.4000244,0.9941499,5.83E-03
636.5999756,0.9944274,5.55E-03
636.7999878,0.9946727,5.31E-03
637,0.9948888,5.09E-03
637.2000122,0.9950787,4.90E-03
637.4000244,0.9952448,4.74E-03
637.5999756,0.995389,4.59E-03
637.7999878,0.9955131,4.47E-03
638,0.9956185,4.36E-03
638.2000122,0.9957062,4.28E-03
638.4000244,0.9957772,4.21E-03
638.5999756,0.9958321,4.15E-03
638.7999878,0.9958714,4.11E-03
639,0.9958952,4.09E-03
639.2000122,0.9959036,4.08E-03
639.4000244,0.9958964,4.09E-03
639.5999756,0.995873,4.11E-03
639.7999878,0.9958329,4.15E-03
640,0.995775,4.21E-03
640.2000122,0.9956988,4.29E-03
640.4000244,0.9956018,4.38E-03
640.5999756,0.9954823,4.50E-03
640.7999878,0.9953372,4.65E-03
641,0.9951634,4.82E-03
641.2000122,0.9949566,5.03E-03
641.4000244,0.9947114,5.27E-03
641.5999756,0.9944212,5.56E-03
641.7999878,0.9940772,5.90E-03
642,0.9936686,6.31E-03
642.2000122,0.993181,6.80E-03
642.4000244,0.9925957,7.38E-03
642.5999756,0.9918877,8.09E-03
642.7999878,0.9910226,8.95E-03
643,0.9899538,1.00E-02
643.2000122,0.9886145,0.0113541
643.4000244,0.9869087,1.31E-02
643.5999756,0.9846936,1.53E-02
643.7999878,0.9817474,1.82E-02
644,0.9777176,2.22E-02
644.2000122,0.9720138,2.79E-02
644.4000244,0.9635974,0.0363105
644.5999756,0.9505385,4.93E-02
644.7999878,0.9290106,7.08E-02
645,0.891223,0.1085038
645.2000122,0.8228624,0.1766902
645.4000244,0.7179102,0.2813699
645.5999756,0.6651152,0.3340183
645.7999878,0.7533045,0.2460466
646,0.8534241,0.1461819
646.2000122,0.9119257,8.78E-02
646.4000244,0.94348,5.64E-02
646.5999756,0.9613243,3.86E-02
646.7999878,0.9720903,2.78E-02
647,0.9789582,2.10E-02
647.2000122,0.9835292,1.64E-02
647.4000244,0.986641,1.33E-02
647.5999756,0.9887153,1.12E-02
647.7999878,0.989842,1.01E-02
648,0.9893957,1.05E-02
648.2000122,0.9815771,1.80E-02
648.4000244,0.751956,0.2400346
648.5999756,0.9808652,1.87E-02
648.7999878,0.9922633,7.61E-03
649,0.9947274,5.21E-03
649.2000122,0.9958044,4.15E-03
649.4000244,0.9964448,3.52E-03
649.5999756,0.9968895,3.08E-03
649.7999878,0.9972258,2.75E-03
650,0.997493,2.49E-03
650.2000122,0.997712,2.27E-03
650.4000244,0.9978954,2.09E-03
650.5999756,0.9980511,1.93E-03
650.7999878,0.9981849,1.80E-03
651,0.9983009,1.69E-03
651.2000122,0.9984021,1.59E-03
651.4000244,0.9984908,1.50E-03
651.5999756,0.9985689,1.42E-03
651.7999878,0.9986379,1.35E-03
652,0.998699,1.29E-03
652.2000122,0.9987532,1.24E-03
652.4000244,0.9988013,1.19E-03
652.5999756,0.998844,1.15E-03
652.7999878,0.9988819,1.11E-03
653,0.9989155,1.07E-03
653.2000122,0.9989452,1.05E-03
653.4000244,0.9989713,1.02E-03
653.5999756,0.9989941,9.97E-04
653.7999878,0.9990139,9.77E-04
654,0.9990309,9.60E-04
654.2000122,0.9990453,9.46E-04
654.4000244,0.9990572,9.34E-04
654.5999756,0.9990667,9.25E-04
654.7999878,0.999074,9.17E-04
655,0.9990791,9.12E-04
655.2000122,0.999082,9.09E-04
655.4000244,0.9990829,9.09E-04
655.5999756,0.9990817,9.10E-04
655.7999878,0.9990785,9.13E-04
656,0.9990731,9.18E-04
656.2000122,0.9990656,9.26E-04
656.4000244,0.999056,9.35E-04
