Preliminary design data,,
1901,,
Wavelength (nm),%R,%T
600,0.9338067,6.61E-02
601,0.910232,8.97E-02
602,0.8438635,0.1559157
603,0.5962934,0.4026694
604,0.5953457,0.4043571
605,0.5369779,0.4628018
606,0.6099969,0.3898557
607,0.6342344,0.3656435
608,0.6815845,0.3182935
609,0.8497097,0.1502016
610,0.9519873,4.80E-02
611,0.9810315,1.89E-02
612,0.9905555,9.42E-03
613,0.9943372,5.64E-03
614,0.9960195,3.96E-03
615,0.9967592,3.22E-03
616,0.9969389,3.05E-03
617,0.9965819,3.40E-03
618,0.995256,4.73E-03
619,0.9906785,9.30E-03
620,0.9596965,4.03E-02
621,0.9021966,9.77E-02
622,0.9504108,4.94E-02
623,0.9963317,3.65E-03
624,0.9981359,1.85E-03
625,0.9987655,1.22E-03
626,0.9990215,9.68E-04
627,0.9990988,8.91E-04
628,0.9990392,9.51E-04
629,0.9987922,1.20E-03
630,0.9981082,1.88E-03
631,0.9957091,4.28E-03
632,0.9747567,2.52E-02
633,0.9515195,4.84E-02
634,0.9953907,4.60E-03
635,0.9983069,1.68E-03
636,0.999062,9.28E-04
637,0.9993501,6.40E-04
638,0.9994755,5.14E-04
639,0.9995227,4.67E-04
640,0.9995179,4.71E-04
641,0.9994629,5.26E-04
642,0.999338,6.51E-04
643,0.9990873,9.01E-04
644,0.9985602,1.43E-03
645,0.9972833,2.70E-03
646,0.9932749,6.71E-03
647,0.9727445,2.72E-02
648,0.8661085,0.1338224
649,0.9564398,4.35E-02
650,0.9789347,2.10E-02
651,0.9825968,0.017374
652,0.9784412,2.15E-02
653,0.9565049,4.34E-02
654,0.7973173,0.2021461
655,0.9044585,9.52E-02
656,0.9804111,1.95E-02
657,0.9921216,7.84E-03
658,0.9955691,4.40E-03
659,0.9967583,3.18E-03
660,0.9865392,1.20E-02
661,0.9977988,2.16E-03
662,0.9980298,1.95E-03
663,0.9980046,1.97E-03
664,0.9978098,2.17E-03
665,0.9974206,2.56E-03
666,0.9967549,3.22E-03
667,0.9956487,4.32E-03
668,0.9937915,6.18E-03
669,0.9905844,9.37E-03
670,0.9848309,1.51E-02
671,0.9740193,2.59E-02
672,0.9527127,4.72E-02
673,0.9107528,8.91E-02
674,0.8489713,0.1507714
675,0.8347813,0.1649584
676,0.8829259,0.1168948
677,0.923559,7.63E-02
678,0.9451241,5.48E-02
679,0.9535776,4.63E-02
680,0.9433859,5.63E-02
681,0.8649751,0.133992
682,0.9425232,5.73E-02
683,0.9496185,0.0502896
684,0.9391512,6.08E-02
685,0.9118826,8.81E-02
686,0.8502718,0.1496524
687,0.7166092,0.2832832
688,0.5479798,0.4518793
689,0.5749949,0.4248845
690,0.6657777,0.3341272
691,0.6411187,0.3587714
692,0.6637382,0.3361711
693,0.6822681,0.3176535
694,0.6195201,0.3803831
695,0.5115145,0.4883218
696,0.401609,0.5980034
697,0.8180025,0.1818949
698,0.9107373,8.92E-02
699,0.9465755,5.34E-02
700,0.9635237,3.64E-02
701,0.972323,0.027638
702,0.9770836,2.29E-02
703,0.9795198,2.04E-02
704,0.9803891,1.96E-02
705,0.9799766,2.00E-02
706,0.9782684,2.17E-02
707,0.9749826,2.50E-02
708,0.9695069,3.04E-02
709,0.9607512,3.92E-02
710,0.9469279,5.30E-02
711,0.9253867,7.45E-02
712,0.8929285,0.1069926
713,0.8472337,0.1526724
714,0.7885545,0.2113318
715,0.7183663,0.281493
716,0.6385643,0.3612564
717,0.567882,0.4318867
718,0.5659718,0.433737
719,0.6460074,0.3535781
720,0.7146286,0.2846589
721,0.8441226,0.1555018
722,0.9121906,0.0876209
723,0.9428297,5.70E-02
724,0.958916,4.10E-02
725,0.9680352,3.19E-02
726,0.9733218,2.66E-02
727,0.9762262,2.37E-02
728,0.9774147,2.25E-02
729,0.9770949,2.28E-02
730,0.9750867,2.48E-02
731,0.9706742,0.0292347
732,0.962057,0.0378422
733,0.9446406,5.52E-02
734,0.9053754,0.0944608
735,0.8074787,0.1922475
736,0.6681283,0.3314186
737,0.7481204,0.2513212
738,0.7844146,0.2146708
739,0.9278331,7.19E-02
740,0.9594399,0.0404374
741,0.9717491,2.82E-02
742,0.9776329,0.0222933
743,0.9804537,0.0194818
744,0.9813689,1.86E-02
745,0.9806722,1.93E-02
746,0.9780141,2.19E-02
747,0.9718318,0.0281184
748,0.955704,4.42E-02
749,0.9314198,6.85E-02
750,0.9310828,6.89E-02
751,0.9143973,8.56E-02
752,0.9177418,8.22E-02
753,0.9404725,5.95E-02
754,0.959524,4.04E-02
755,0.9707165,0.0292422
756,0.9767284,2.32E-02
757,0.9795972,2.04E-02
758,0.9802256,1.97E-02
759,0.9786364,0.0213023
760,0.9737127,2.62E-02
761,0.9609743,0.0388243
762,0.8958483,0.1018473
763,0.8588588,0.140688
764,0.861166,0.1384019
765,0.9499623,4.98E-02
766,0.9796517,2.03E-02
767,0.9896892,1.02E-02
768,0.993902,6.05E-03
769,0.9959766,3.98E-03
770,0.9971181,2.85E-03
771,0.9977965,2.17E-03
772,0.9982217,1.75E-03
773,0.9984965,1.48E-03
774,0.9986753,1.30E-03
775,0.9987882,1.18E-03
776,0.998852,1.12E-03
777,0.9988757,1.10E-03
778,0.9988626,1.11E-03
779,0.9988118,1.16E-03
780,0.9987175,1.25E-03
781,0.998569,1.40E-03
782,0.9983456,1.62E-03
783,0.9980125,1.95E-03
784,0.9975083,2.46E-03
785,0.9967201,3.24E-03
786,0.995425,4.53E-03
787,0.9931431,6.81E-03
788,0.9887043,1.12E-02
789,0.9787255,2.12E-02
790,0.9506647,4.92E-02
791,0.8410419,0.1587113
792,0.5800695,0.4194281
793,0.821411,0.1783745
794,0.9237137,7.62E-02
795,0.9553614,4.45E-02
796,0.9676306,3.23E-02
797,0.9470749,5.26E-02
798,0.9730568,2.68E-02
799,0.9797194,2.02E-02
800,0.9816742,0.0182115
801,0.9827682,1.71E-02
802,0.9835042,1.64E-02
803,0.9840289,1.58E-02
804,0.9843562,1.55E-02
805,0.9844198,1.54E-02
806,0.984094,1.57E-02
807,0.9831954,1.66E-02
808,0.981472,1.83E-02
809,0.9785566,0.0211941
810,0.9736708,2.61E-02
811,0.9646223,3.52E-02
812,0.944858,5.50E-02
813,0.8910294,0.1088117
814,0.7277744,0.2720315
815,0.7443658,0.2554437
816,0.6376271,0.3617178
817,0.9582055,4.17E-02
818,0.9812361,1.87E-02
819,0.989105,0.0108431
820,0.9927975,7.16E-03
821,0.9947937,5.17E-03
822,0.9959692,4.00E-03
823,0.9966954,3.27E-03
824,0.99715,2.82E-03
825,0.9974238,2.55E-03
826,0.9975619,2.41E-03
827,0.9975821,2.39E-03
828,0.9974783,2.50E-03
829,0.9972145,2.76E-03
830,0.996696,3.28E-03
831,0.9956548,4.31E-03
832,0.9923865,7.54E-03
833,0.9861812,1.37E-02
834,0.9761477,2.38E-02
835,0.8635291,0.1360631
836,0.8777112,0.1218961
837,0.9819394,1.80E-02
838,0.9936478,6.31E-03
839,0.9968766,3.10E-03
840,0.9981686,1.81E-03
841,0.9987992,1.18E-03
842,0.9991495,8.32E-04
843,0.9993615,6.21E-04
844,0.999498,4.85E-04
845,0.9995899,3.94E-04
846,0.9996541,3.30E-04
847,0.9996998,2.84E-04
848,0.9997329,2.51E-04
849,0.999757,2.27E-04
850,0.9997743,2.10E-04
851,0.9997863,1.98E-04
852,0.999794,1.90E-04
853,0.9997981,1.85E-04
854,0.9997987,1.84E-04
855,0.9997962,1.87E-04
856,0.9997903,1.92E-04
857,0.9997809,2.01E-04
858,0.9997674,2.14E-04
859,0.9997491,2.31E-04
860,0.9997248,2.54E-04
861,0.999693,2.85E-04
862,0.9996514,3.25E-04
863,0.9995967,3.78E-04
864,0.9995241,4.48E-04
865,0.9994262,5.43E-04
866,0.999292,6.73E-04
867,0.9991043,8.56E-04
868,0.9988357,1.12E-03
869,0.998441,1.50E-03
870,0.9978456,2.09E-03
871,0.9969246,2.99E-03
872,0.9954797,4.41E-03
873,0.9932446,6.62E-03
874,0.9900613,9.76E-03
875,0.9864386,1.34E-02
876,0.9839267,1.59E-02
877,0.9836677,1.61E-02
878,0.9849734,1.49E-02
879,0.986609,1.33E-02
880,0.9879407,1.20E-02
881,0.9888141,0.0111046
882,0.9892468,0.0106812
883,0.9892769,1.07E-02
884,0.9889205,1.10E-02
885,0.9881603,1.18E-02
886,0.9869413,1.30E-02
887,0.9851601,1.47E-02
888,0.9826208,1.71E-02
889,0.9790768,2.03E-02
890,0.9757706,2.37E-02
891,0.9726874,2.71E-02
892,0.9697329,3.01E-02
893,0.9679054,3.20E-02
894,0.9677715,3.22E-02
895,0.9691759,3.08E-02
896,0.9714752,2.85E-02
897,0.974002,2.60E-02
898,0.9763237,2.36E-02
899,0.9782445,2.17E-02
900,0.9797136,2.03E-02
901,0.980745,1.92E-02
902,0.9813737,1.86E-02
903,0.9816297,1.83E-02
904,0.9815305,1.84E-02
905,0.981077,1.89E-02
906,0.9802511,1.97E-02
907,0.9790124,2.10E-02
908,0.9772912,2.27E-02
909,0.9749782,2.50E-02
910,0.9719101,2.81E-02
911,0.9678813,3.21E-02
912,0.9627982,3.72E-02
913,0.9569615,4.30E-02
914,0.9505785,4.94E-02
915,0.9430341,5.69E-02
916,0.9335977,6.64E-02
917,0.9218223,7.81E-02
918,0.907388,9.26E-02
919,0.8900248,0.109927
920,0.8695331,0.130415
921,0.8458865,0.1540578
922,0.8191283,0.1808118
923,0.7895315,0.2104042
924,0.7575635,0.2423677
925,0.7238751,0.2760516
926,0.6892841,0.3106381
927,0.6547586,0.3451595
928,0.6213919,0.3785225
929,0.5903473,0.4095638
930,0.5627529,0.4371555
931,0.539546,0.4603604
932,0.5213016,0.4786034
933,0.5081025,0.4918016
934,0.4995006,0.500403
935,0.4945833,0.5053198
936,0.4921109,0.5077916
937,0.4906669,0.5092346
938,0.4887672,0.5111326
939,0.484903,0.5149942
940,0.4775172,0.5223762
941,0.4649581,0.5349301
942,0.4454227,0.5544586
943,0.4170895,0.582783
944,0.3785283,0.621334
945,0.3295588,0.6702919
946,0.2723843,0.7274551
947,0.2121944,0.7876353
948,0.1561184,0.8437049
949,0.110516,0.8893051
950,7.85E-02,0.9213462
951,5.94E-02,0.9404362
952,5.04E-02,0.9494697
953,0.0479301,0.9519076
954,4.91E-02,0.9507261
955,5.18E-02,0.9480748
956,5.45E-02,0.9453235
957,5.66E-02,0.9432326
958,5.77E-02,0.9421233
959,5.78E-02,0.9420174
960,5.71E-02,0.9427463
961,5.58E-02,0.9440399
962,5.43E-02,0.9455996
963,5.27E-02,0.9471595
964,5.13E-02,0.9485227
965,5.03E-02,0.9495803
966,4.96E-02,0.9503093
967,4.91E-02,0.9507549
968,4.89E-02,0.9510047
969,4.87E-02,0.9511606
970,4.86E-02,0.9513147
971,4.83E-02,0.9515322
972,4.80E-02,0.9518409
973,4.76E-02,0.952229
974,4.72E-02,0.95265
975,4.68E-02,0.953031
976,4.66E-02,0.9532897
977,4.65E-02,0.9533498
978,4.67E-02,0.9531572
979,4.72E-02,0.9526922
980,0.0478997,0.9519747
981,4.88E-02,0.9510641
982,0.0498295,0.9500462
983,5.09E-02,0.949024
984,5.18E-02,0.9481021
985,5.25E-02,0.9473719
986,5.30E-02,0.9469023
987,5.31E-02,0.9467303
988,5.30E-02,0.9468586
989,5.26E-02,0.9472548
990,5.20E-02,0.9478555
991,5.13E-02,0.9485723
992,5.06E-02,0.9493017
993,4.99E-02,0.9499371
994,4.95E-02,0.9503818
995,4.93E-02,0.9505612
996,4.94E-02,0.9504345
997,4.99E-02,0.95
998,5.06E-02,0.9492961
999,0.051486,0.9483963
