#Wavelength (nm)	~2% slope	~1% slope
800	30.8769	30.56131
801	23.73839	24.49364
802	17.44471	16.61053
803	13.24362	11.80898
804	10.70067	9.52528
805	9.27391	8.87582
806	8.62905	9.63379
807	8.62042	12.37862
808	9.25908	19.43442
809	10.73225	38.55536
810	13.511	79.68718
811	18.63062	68.7723
812	28.27656	34.48125
813	46.08191	20.67998
814	70.30312	15.68817
815	76.02724	14.53663
816	57.43066	16.07371
817	40.1037	20.77657
818	30.15011	29.32165
819	25.21616	36.05116
820	23.46634	29.98611
821	24.20257	19.97418
822	27.55994	13.85106
823	34.29135	10.92471
824	44.65927	9.93457
825	53.49455	10.43307
826	48.83341	12.74554
827	34.11825	18.44383
828	21.96425	32.4066
829	14.68476	66.40093
830	10.55747	99.92353
831	8.18411	69.08859
832	6.80657	42.10597
833	6.04074	31.3181
834	5.69829	28.92838
835	5.70117	32.71568
836	6.04799	44.31513
837	6.81337	63.69381
838	8.18006	65.44067
839	10.52597	41.00698
840	14.62757	23.61165
841	22.0874	15.44994
842	36.13934	11.76655
843	60.85625	10.33164
844	88.66297	10.37967
845	91.35746	11.93451
846	73.87009	15.83993
847	58.90859	24.5717
848	51.36426	43.80947
849	50.25323	73.41964
850	55.37009	73.32101
851	68.02547	50.00953
852	88.00006	35.98618
853	99.40947	31.01005
854	77.98604	32.50366
855	47.05888	41.6941
856	27.7029	64.42449
857	17.53662	95.65613
858	12.11699	76.09676
859	9.08181	39.56392
860	7.31987	22.25597
861	6.30013	14.92116
862	5.76205	11.75594
863	5.58438	10.69204
864	5.72879	11.12249
865	6.22218	13.2056
866	7.16263	17.85715
867	8.74533	26.75963
868	11.29878	39.12117
869	15.26084	43.09946
870	20.80962	34.64376
871	26.72615	26.46079
872	29.97766	22.70213
873	29.32434	23.10744
874	27.19661	28.68795
875	26.21323	44.43668
876	28.0156	77.9104
877	34.93868	80.54604
878	52.94658	40.91063
879	84.41444	21.42961
880	61.00429	13.94143
881	22.51504	11.07466
882	9.12424	10.42816
883	4.43311	11.1931
884	2.47728	12.44165
885	1.53709	11.8083
886	1.03468	8.58942
887	0.744	5.59739
888	0.56521	3.90139
889	0.44972	3.1567
890	0.37181	3.10982
891	0.31668	4.02348
892	0.27494	8.42383
893	0.24003	62.53298
894	0.20722	11.50883
895	0.1739	1.96023
896	0.14007	0.69578
897	0.10798	0.34228
898	0.08029	0.20516
899	0.05841	0.14083
900	0.04217	0.1055
901	0.03058	0.08117
902	0.02245	0.0591
903	0.01676	0.03807
904	0.01276	0.02188
905	0.00991	0.01198
906	0.00786	0.00664
907	0.00637	0.00384
908	0.00527	0.00234
909	0.00444	0.00151
910	0.00382	0.00103
911	0.00335	0.00074
912	0.003	0.00055
913	0.00273	0.00044
914	0.00253	0.00036
915	0.00239	0.00031
916	0.0023	0.00029
917	0.00225	0.00027
918	0.00223	0.00027
919	0.00223	0.00027
920	0.00226	0.00027
921	0.0023	0.00026
922	0.00233	0.00023
923	0.00233	0.00018
924	0.00227	0.00013
925	0.00215	0.00009
926	0.00195	0.00006
927	0.00171	0.00004
928	0.00145	0.00003
929	0.00121	0.00002
930	0.001	0.00002
931	0.00083	0.00001
932	0.00068	0.00001
933	0.00057	0.00001
934	0.00048	0.00001
935	0.00042	0.00001
936	0.00036	0.00001
937	0.00032	0.00001
938	0.00028	0.00001
939	0.00026	0.00001
940	0.00024	0.00001
941	0.00022	0.00001
942	0.00021	0.00002
943	0.0002	0.00002
944	0.0002	0.00002
945	0.0002	0.00002
946	0.0002	0.00001
947	0.0002	0.00001
948	0.0002	0.00001
949	0.00021	0.00001
950	0.00023	0
951	0.00024	0
952	0.00026	0
953	0.00029	0
954	0.00032	0
955	0.00035	0
956	0.00039	0
957	0.00042	0
958	0.00045	0
959	0.00047	0
960	0.00047	0
961	0.00045	0
962	0.00042	0
963	0.00038	0
964	0.00034	0
965	0.0003	0
966	0.00027	0
967	0.00024	0
968	0.00022	0
969	0.0002	0
970	0.00018	0
971	0.00017	0
972	0.00016	0
973	0.00016	0
974	0.00015	0
975	0.00015	0
