# wavelength(nm), strehl
9.800000000000000000e+02,5.782411062081690423e-01
9.800499999999999545e+02,5.782674284973259304e-01
9.800999999999999091e+02,5.782937482966649112e-01
9.801499999999998636e+02,5.783200656064547696e-01
9.801999999999998181e+02,5.783463804269642905e-01
9.802499999999997726e+02,5.783726927584620370e-01
9.802999999999997272e+02,5.783990026012169050e-01
9.803499999999996817e+02,5.784253099554975686e-01
9.803999999999996362e+02,5.784516148215725906e-01
9.804499999999995907e+02,5.784779171997106451e-01
9.804999999999995453e+02,5.785042170901804059e-01
9.805499999999994998e+02,5.785305144932504362e-01
9.805999999999994543e+02,5.785568094091894098e-01
9.806499999999994088e+02,5.785831018382657787e-01
9.806999999999993634e+02,5.786093917807483278e-01
9.807499999999993179e+02,5.786356792369051760e-01
9.807999999999992724e+02,5.786619642070051084e-01
9.808499999999992269e+02,5.786882466913165768e-01
9.808999999999991815e+02,5.787145266901082552e-01
9.809499999999991360e+02,5.787408042036482625e-01
9.809999999999990905e+02,5.787670792322050506e-01
9.810499999999990450e+02,5.787933517760472935e-01
9.810999999999989996e+02,5.788196218354431100e-01
9.811499999999989541e+02,5.788458894106609520e-01
9.811999999999989086e+02,5.788721545019692716e-01
9.812499999999988631e+02,5.788984171096362985e-01
9.812999999999988177e+02,5.789246772339303737e-01
9.813499999999987722e+02,5.789509348751196161e-01
9.813999999999987267e+02,5.789771900334728105e-01
9.814499999999986812e+02,5.790034427092575209e-01
9.814999999999986358e+02,5.790296929027425321e-01
9.815499999999985903e+02,5.790559406141957410e-01
9.815999999999985448e+02,5.790821858438854886e-01
9.816499999999984993e+02,5.791084285920796715e-01
9.816999999999984539e+02,5.791346688590470748e-01
9.817499999999984084e+02,5.791609066450549292e-01
9.817999999999983629e+02,5.791871419503722418e-01
9.818499999999983174e+02,5.792133747752662432e-01
9.818999999999982720e+02,5.792396051200058293e-01
9.819499999999982265e+02,5.792658329848583421e-01
9.819999999999981810e+02,5.792920583700923443e-01
9.820499999999981355e+02,5.793182812759755107e-01
9.820999999999980901e+02,5.793445017027760713e-01
9.821499999999980446e+02,5.793707196507618118e-01
9.821999999999979991e+02,5.793969351202007401e-01
9.822499999999979536e+02,5.794231481113606419e-01
9.822999999999979082e+02,5.794493586245097472e-01
9.823499999999978627e+02,5.794755666599157307e-01
9.823999999999978172e+02,5.795017722178464892e-01
9.824499999999977717e+02,5.795279752985698085e-01
9.824999999999977263e+02,5.795541759023536965e-01
9.825499999999976808e+02,5.795803740294659390e-01
9.825999999999976353e+02,5.796065696801737666e-01
9.826499999999975898e+02,5.796327628547458533e-01
9.826999999999975444e+02,5.796589535534494297e-01
9.827499999999974989e+02,5.796851417765521708e-01
9.827999999999974534e+02,5.797113275243219732e-01
9.828499999999974079e+02,5.797375107970266228e-01
9.828999999999973625e+02,5.797636915949332392e-01
9.829499999999973170e+02,5.797898699183102744e-01
9.829999999999972715e+02,5.798160457674247370e-01
9.830499999999972260e+02,5.798422191425441907e-01
9.830999999999971806e+02,5.798683900439367545e-01
9.831499999999971351e+02,5.798945584718696589e-01
9.831999999999970896e+02,5.799207244266103567e-01
9.832499999999970441e+02,5.799468879084266337e-01
9.832999999999969987e+02,5.799730489175858317e-01
9.833499999999969532e+02,5.799992074543555143e-01
9.833999999999969077e+02,5.800253635190029122e-01
9.834499999999968622e+02,5.800515171117959223e-01
9.834999999999968168e+02,5.800776682330014422e-01
9.835499999999967713e+02,5.801038168828872577e-01
9.835999999999967258e+02,5.801299630617207104e-01
9.836499999999966803e+02,5.801561067697689200e-01
9.836999999999966349e+02,5.801822480072995614e-01
9.837499999999965894e+02,5.802083867745797541e-01
9.837999999999965439e+02,5.802345230718767288e-01
9.838499999999964984e+02,5.802606568994578273e-01
9.838999999999964530e+02,5.802867882575903913e-01
9.839499999999964075e+02,5.803129171465417624e-01
9.839999999999963620e+02,5.803390435665789493e-01
9.840499999999963165e+02,5.803651675179691827e-01
9.840999999999962711e+02,5.803912890009795822e-01
9.841499999999962256e+02,5.804174080158776006e-01
9.841999999999961801e+02,5.804435245629300244e-01
9.842499999999961346e+02,5.804696386424043064e-01
9.842999999999960892e+02,5.804957502545672332e-01
9.843499999999960437e+02,5.805218593996861465e-01
9.843999999999959982e+02,5.805479660780279438e-01
9.844499999999959527e+02,5.805740702898596339e-01
9.844999999999959073e+02,5.806001720354484474e-01
9.845499999999958618e+02,5.806262713150610599e-01
9.845999999999958163e+02,5.806523681289649241e-01
9.846499999999957708e+02,5.806784624774264936e-01
9.846999999999957254e+02,5.807045543607127769e-01
9.847499999999956799e+02,5.807306437790910048e-01
9.847999999999956344e+02,5.807567307328278527e-01
9.848499999999955890e+02,5.807828152221903295e-01
9.848999999999955435e+02,5.808088972474449996e-01
9.849499999999954980e+02,5.808349768088590936e-01
9.849999999999954525e+02,5.808610539066991763e-01
9.850499999999954071e+02,5.808871285412319230e-01
9.850999999999953616e+02,5.809132007127244535e-01
9.851499999999953161e+02,5.809392704214433323e-01
9.851999999999952706e+02,5.809653376676552350e-01
9.852499999999952252e+02,5.809914024516269482e-01
9.852999999999951797e+02,5.810174647736252584e-01
9.853499999999951342e+02,5.810435246339165083e-01
9.853999999999950887e+02,5.810695820327678174e-01
9.854499999999950433e+02,5.810956369704451951e-01
9.854999999999949978e+02,5.811216894472160943e-01
9.855499999999949523e+02,5.811477394633464133e-01
9.855999999999949068e+02,5.811737870191029387e-01
9.856499999999948614e+02,5.811998321147521240e-01
9.856999999999948159e+02,5.812258747505607559e-01
9.857499999999947704e+02,5.812519149267951768e-01
9.857999999999947249e+02,5.812779526437217292e-01
9.858499999999946795e+02,5.813039879016071998e-01
9.858999999999946340e+02,5.813300207007178200e-01
9.859499999999945885e+02,5.813560510413200433e-01
9.859999999999945430e+02,5.813820789236803233e-01
9.860499999999944976e+02,5.814081043480650024e-01
9.860999999999944521e+02,5.814341273147404232e-01
9.861499999999944066e+02,5.814601478239728172e-01
9.861999999999943611e+02,5.814861658760289709e-01
9.862499999999943157e+02,5.815121814711747827e-01
9.862999999999942702e+02,5.815381946096763732e-01
9.863499999999942247e+02,5.815642052918003069e-01
9.863999999999941792e+02,5.815902135178130372e-01
9.864499999999941338e+02,5.816162192879803516e-01
9.864999999999940883e+02,5.816422226025685926e-01
9.865499999999940428e+02,5.816682234618439917e-01
9.865999999999939973e+02,5.816942218660726693e-01
9.866499999999939519e+02,5.817202178155206349e-01
9.866999999999939064e+02,5.817462113104543420e-01
9.867499999999938609e+02,5.817722023511395779e-01
9.867999999999938154e+02,5.817981909378426852e-01
9.868499999999937700e+02,5.818241770708293403e-01
9.868999999999937245e+02,5.818501607503657747e-01
9.869499999999936790e+02,5.818761419767182197e-01
9.869999999999936335e+02,5.819021207501524628e-01
9.870499999999935881e+02,5.819280970709345135e-01
9.870999999999935426e+02,5.819540709393300482e-01
9.871499999999934971e+02,5.819800423556055202e-01
9.871999999999934516e+02,5.820060113200263840e-01
9.872499999999934062e+02,5.820319778328588711e-01
9.872999999999933607e+02,5.820579418943686578e-01
9.873499999999933152e+02,5.820839035048216425e-01
9.873999999999932697e+02,5.821098626644836127e-01
9.874499999999932243e+02,5.821358193736204667e-01
9.874999999999931788e+02,5.821617736324979919e-01
9.875499999999931333e+02,5.821877254413818648e-01
9.875999999999930878e+02,5.822136748005376505e-01
9.876499999999930424e+02,5.822396217102315807e-01
9.876999999999929969e+02,5.822655661707289987e-01
9.877499999999929514e+02,5.822915081822955807e-01
9.877999999999929059e+02,5.823174477451972253e-01
9.878499999999928605e+02,5.823433848596992757e-01
9.878999999999928150e+02,5.823693195260676303e-01
9.879499999999927695e+02,5.823952517445677435e-01
9.879999999999927240e+02,5.824211815154651806e-01
9.880499999999926786e+02,5.824471088390256179e-01
9.880999999999926331e+02,5.824730337155145099e-01
9.881499999999925876e+02,5.824989561451971998e-01
9.881999999999925421e+02,5.825248761283395860e-01
9.882499999999924967e+02,5.825507936652067897e-01
9.882999999999924512e+02,5.825767087560645985e-01
9.883499999999924057e+02,5.826026214011780224e-01
9.883999999999923602e+02,5.826285316008128490e-01
9.884499999999923148e+02,5.826544393552344214e-01
9.884999999999922693e+02,5.826803446647078610e-01
9.885499999999922238e+02,5.827062475294987332e-01
9.885999999999921783e+02,5.827321479498724921e-01
9.886499999999921329e+02,5.827580459260941481e-01
9.886999999999920874e+02,5.827839414584291555e-01
9.887499999999920419e+02,5.828098345471426356e-01
9.887999999999919964e+02,5.828357251925002647e-01
9.888499999999919510e+02,5.828616133947668310e-01
9.888999999999919055e+02,5.828874991542075668e-01
9.889499999999918600e+02,5.829133824710877043e-01
9.889999999999918145e+02,5.829392633456728090e-01
9.890499999999917691e+02,5.829651417782274470e-01
9.890999999999917236e+02,5.829910177690171835e-01
9.891499999999916781e+02,5.830168913183066959e-01
9.891999999999916326e+02,5.830427624263614383e-01
9.892499999999915872e+02,5.830686310934464212e-01
9.892999999999915417e+02,5.830944973198265435e-01
9.893499999999914962e+02,5.831203611057669267e-01
9.893999999999914507e+02,5.831462224515324699e-01
9.894499999999914053e+02,5.831720813573882944e-01
9.894999999999913598e+02,5.831979378235991884e-01
9.895499999999913143e+02,5.832237918504302732e-01
9.895999999999912689e+02,5.832496434381463368e-01
9.896499999999912234e+02,5.832754925870123897e-01
9.896999999999911779e+02,5.833013392972931088e-01
9.897499999999911324e+02,5.833271835692535046e-01
9.897999999999910870e+02,5.833530254031584761e-01
9.898499999999910415e+02,5.833788647992727006e-01
9.898999999999909960e+02,5.834047017578609662e-01
9.899499999999909505e+02,5.834305362791880611e-01
9.899999999999909051e+02,5.834563683635186626e-01
9.900499999999908596e+02,5.834821980111178918e-01
9.900999999999908141e+02,5.835080252222500929e-01
