wavelength (nm), strehl
9.800000000000000000e+02,3.405700862501356285e-01
9.800499999999999545e+02,3.406020196380339926e-01
9.800999999999999091e+02,3.406339514332958895e-01
9.801499999999998636e+02,3.406658816358170694e-01
9.801999999999998181e+02,3.406978102454940038e-01
9.802499999999997726e+02,3.407297372622226095e-01
9.802999999999997272e+02,3.407616626858989139e-01
9.803499999999996817e+02,3.407935865164196110e-01
9.803999999999996362e+02,3.408255087536807837e-01
9.804499999999995907e+02,3.408574293975791814e-01
9.804999999999995453e+02,3.408893484480112757e-01
9.805499999999994998e+02,3.409212659048734828e-01
9.805999999999994543e+02,3.409531817680631072e-01
9.806499999999994088e+02,3.409850960374761208e-01
9.806999999999993634e+02,3.410170087130104943e-01
9.807499999999993179e+02,3.410489197945621442e-01
9.807999999999992724e+02,3.410808292820288190e-01
9.808499999999992269e+02,3.411127371753076010e-01
9.808999999999991815e+02,3.411446434742953504e-01
9.809499999999991360e+02,3.411765481788898158e-01
9.809999999999990905e+02,3.412084512889880794e-01
9.810499999999990450e+02,3.412403528044877787e-01
9.810999999999989996e+02,3.412722527252863847e-01
9.811499999999989541e+02,3.413041510512814791e-01
9.811999999999989086e+02,3.413360477823710881e-01
9.812499999999988631e+02,3.413679429184526826e-01
9.812999999999988177e+02,3.413998364594243440e-01
9.813499999999987722e+02,3.414317284051840429e-01
9.813999999999987267e+02,3.414636187556296942e-01
9.814499999999986812e+02,3.414955075106596571e-01
9.814999999999986358e+02,3.415273946701717911e-01
9.815499999999985903e+02,3.415592802340646217e-01
9.815999999999985448e+02,3.415911642022366745e-01
9.816499999999984993e+02,3.416230465745863087e-01
9.816999999999984539e+02,3.416549273510117724e-01
9.817499999999984084e+02,3.416868065314122571e-01
9.817999999999983629e+02,3.417186841156860666e-01
9.818499999999983174e+02,3.417505601037318930e-01
9.818999999999982720e+02,3.417824344954490945e-01
9.819499999999982265e+02,3.418143072907361413e-01
9.819999999999981810e+02,3.418461784894923916e-01
9.820499999999981355e+02,3.418780480916168152e-01
9.820999999999980901e+02,3.419099160970086593e-01
9.821499999999980446e+02,3.419417825055671156e-01
9.821999999999979991e+02,3.419736473171918756e-01
9.822499999999979536e+02,3.420055105317817978e-01
9.822999999999979082e+02,3.420373721492369623e-01
9.823499999999978627e+02,3.420692321694567828e-01
9.823999999999978172e+02,3.421010905923410617e-01
9.824499999999977717e+02,3.421329474177892682e-01
9.824999999999977263e+02,3.421648026457013714e-01
9.825499999999976808e+02,3.421966562759776176e-01
9.825999999999976353e+02,3.422285083085176982e-01
9.826499999999975898e+02,3.422603587432218042e-01
9.826999999999975444e+02,3.422922075799899599e-01
9.827499999999974989e+02,3.423240548187228560e-01
9.827999999999974534e+02,3.423559004593204613e-01
9.828499999999974079e+02,3.423877445016832999e-01
9.828999999999973625e+02,3.424195869457119512e-01
9.829499999999973170e+02,3.424514277913070504e-01
9.829999999999972715e+02,3.424832670383690103e-01
9.830499999999972260e+02,3.425151046867987437e-01
9.830999999999971806e+02,3.425469407364971075e-01
9.831499999999971351e+02,3.425787751873650144e-01
9.831999999999970896e+02,3.426106080393034881e-01
9.832499999999970441e+02,3.426424392922134410e-01
9.832999999999969987e+02,3.426742689459963409e-01
9.833499999999969532e+02,3.427060970005531559e-01
9.833999999999969077e+02,3.427379234557851317e-01
9.834499999999968622e+02,3.427697483115940691e-01
9.834999999999968168e+02,3.428015715678809361e-01
9.835499999999967713e+02,3.428333932245477556e-01
9.835999999999967258e+02,3.428652132814960507e-01
9.836499999999966803e+02,3.428970317386273448e-01
9.836999999999966349e+02,3.429288485958436050e-01
9.837499999999965894e+02,3.429606638530467988e-01
9.837999999999965439e+02,3.429924775101386714e-01
9.838499999999964984e+02,3.430242895670214676e-01
9.838999999999964530e+02,3.430561000235973212e-01
9.839499999999964075e+02,3.430879088797681442e-01
9.839999999999963620e+02,3.431197161354365144e-01
9.840499999999963165e+02,3.431515217905049542e-01
9.840999999999962711e+02,3.431833258448757085e-01
9.841499999999962256e+02,3.432151282984510221e-01
9.841999999999961801e+02,3.432469291511339726e-01
9.842499999999961346e+02,3.432787284028271935e-01
9.842999999999960892e+02,3.433105260534331515e-01
9.843499999999960437e+02,3.433423221028549799e-01
9.843999999999959982e+02,3.433741165509954230e-01
9.844499999999959527e+02,3.434059093977578914e-01
9.844999999999959073e+02,3.434377006430448520e-01
9.845499999999958618e+02,3.434694902867600486e-01
9.845999999999958163e+02,3.435012783288066140e-01
9.846499999999957708e+02,3.435330647690877925e-01
9.846999999999957254e+02,3.435648496075068836e-01
9.847499999999956799e+02,3.435966328439676309e-01
9.847999999999956344e+02,3.436284144783734451e-01
