# wavelength_um,throughput, length
9.000000000000000222e-01,9.956623928819735569e-01,1.000000000000000000e+01
9.010000000000000231e-01,9.956815344239465793e-01,1.000000000000000000e+01
9.020000000000000240e-01,9.957006740997362826e-01,1.000000000000000000e+01
9.030000000000000249e-01,9.957198115947220041e-01,1.000000000000000000e+01
9.040000000000000258e-01,9.957389470669221199e-01,1.000000000000000000e+01
9.050000000000000266e-01,9.957580806742888369e-01,1.000000000000000000e+01
9.060000000000000275e-01,9.957772121023006351e-01,1.000000000000000000e+01
9.070000000000000284e-01,9.957963415089258197e-01,1.000000000000000000e+01
9.080000000000000293e-01,9.958154688946302402e-01,1.000000000000000000e+01
9.090000000000000302e-01,9.958345944172986020e-01,1.000000000000000000e+01
9.100000000000000311e-01,9.958537177625420567e-01,1.000000000000000000e+01
9.110000000000000320e-01,9.958728390882616299e-01,1.000000000000000000e+01
9.120000000000000329e-01,9.958919585522915119e-01,1.000000000000000000e+01
9.130000000000000338e-01,9.959110758403421082e-01,1.000000000000000000e+01
9.140000000000000346e-01,9.959301911102641514e-01,1.000000000000000000e+01
9.150000000000000355e-01,9.959493045198415384e-01,1.000000000000000000e+01
9.160000000000000364e-01,9.959684157548838179e-01,1.000000000000000000e+01
9.170000000000000373e-01,9.959875249731912072e-01,1.000000000000000000e+01
9.180000000000000382e-01,9.960066321752280016e-01,1.000000000000000000e+01
9.190000000000000391e-01,9.960257375187112627e-01,1.000000000000000000e+01
9.200000000000000400e-01,9.960448406895825446e-01,1.000000000000000000e+01
9.210000000000000409e-01,9.960639418455751182e-01,1.000000000000000000e+01
9.220000000000000417e-01,9.960830411443557519e-01,1.000000000000000000e+01
9.230000000000000426e-01,9.961021382719649209e-01,1.000000000000000000e+01
9.240000000000000435e-01,9.961212333860858248e-01,1.000000000000000000e+01
9.250000000000000444e-01,9.961403266443348281e-01,1.000000000000000000e+01
9.260000000000000453e-01,9.961594177328515487e-01,1.000000000000000000e+01
9.270000000000000462e-01,9.961785068092687823e-01,1.000000000000000000e+01
9.280000000000000471e-01,9.961975938740491587e-01,1.000000000000000000e+01
9.290000000000000480e-01,9.962166790847423181e-01,1.000000000000000000e+01
9.300000000000000488e-01,9.962357621276196618e-01,1.000000000000000000e+01
9.310000000000000497e-01,9.962548431602469279e-01,1.000000000000000000e+01
9.320000000000000506e-01,9.962739223401237965e-01,1.000000000000000000e+01
9.330000000000000515e-01,9.962929993536204787e-01,1.000000000000000000e+01
9.340000000000000524e-01,9.963120743582526417e-01,1.000000000000000000e+01
9.350000000000000533e-01,9.963311475114695615e-01,1.000000000000000000e+01
9.360000000000000542e-01,9.963502184997403699e-01,1.000000000000000000e+01
9.370000000000000551e-01,9.963692874805306632e-01,1.000000000000000000e+01
9.379999999999999449e-01,9.963883544543012949e-01,1.000000000000000000e+01
9.389999999999999458e-01,9.964074195784351495e-01,1.000000000000000000e+01
9.399999999999999467e-01,9.964264825395324765e-01,1.000000000000000000e+01
9.409999999999999476e-01,9.964455434949922585e-01,1.000000000000000000e+01
9.419999999999999485e-01,9.964646026021470870e-01,1.000000000000000000e+01
9.429999999999999494e-01,9.964836595476960213e-01,1.000000000000000000e+01
9.439999999999999503e-01,9.965027144889879729e-01,1.000000000000000000e+01
9.449999999999999512e-01,9.965217675833055733e-01,1.000000000000000000e+01
9.459999999999999520e-01,9.965408185174463584e-01,1.000000000000000000e+01
9.469999999999999529e-01,9.965598674487091690e-01,1.000000000000000000e+01
9.479999999999999538e-01,9.965789143775534153e-01,1.000000000000000000e+01
9.489999999999999547e-01,9.965979594611951153e-01,1.000000000000000000e+01
9.499999999999999556e-01,9.966170023865631444e-01,1.000000000000000000e+01
9.509999999999999565e-01,9.966372464767506711e-01,1.000000000000000000e+01
9.519999999999999574e-01,9.966593596719683923e-01,1.000000000000000000e+01
9.529999999999999583e-01,9.966825395388119180e-01,1.000000000000000000e+01
9.539999999999999591e-01,9.967059835524528788e-01,1.000000000000000000e+01
9.549999999999999600e-01,9.967288900661146478e-01,1.000000000000000000e+01
9.559999999999999609e-01,9.967504576780845671e-01,1.000000000000000000e+01
9.569999999999999618e-01,9.967698853467876763e-01,1.000000000000000000e+01
9.579999999999999627e-01,9.967863724703740491e-01,1.000000000000000000e+01
9.589999999999999636e-01,9.967991181479941565e-01,1.000000000000000000e+01
9.599999999999999645e-01,9.968073221283240137e-01,1.000000000000000000e+01
9.609999999999999654e-01,9.968124052938621693e-01,1.000000000000000000e+01
9.619999999999999662e-01,9.968164776732312271e-01,1.000000000000000000e+01
9.629999999999999671e-01,9.968197721470933859e-01,1.000000000000000000e+01
9.639999999999999680e-01,9.968225215668660155e-01,1.000000000000000000e+01
9.649999999999999689e-01,9.968249587632210806e-01,1.000000000000000000e+01
9.659999999999999698e-01,9.968273165515926237e-01,1.000000000000000000e+01
9.669999999999999707e-01,9.968298274215798838e-01,1.000000000000000000e+01
9.679999999999999716e-01,9.968327244758212746e-01,1.000000000000000000e+01
9.689999999999999725e-01,9.968362403306235686e-01,1.000000000000000000e+01
9.699999999999999734e-01,9.968406075791953480e-01,1.000000000000000000e+01
