# wavelength_um,throughput,length
9.000000000000000222e-01,9.675022602592393550e-01,7.600000000000000000e+01
9.010000000000000231e-01,9.676436304843741842e-01,7.600000000000000000e+01
9.020000000000000240e-01,9.677850048626439605e-01,7.600000000000000000e+01
9.030000000000000249e-01,9.679263810663580880e-01,7.600000000000000000e+01
9.040000000000000258e-01,9.680677602588840802e-01,7.600000000000000000e+01
9.050000000000000266e-01,9.682091436036878163e-01,7.600000000000000000e+01
9.060000000000000275e-01,9.683505287729318178e-01,7.600000000000000000e+01
9.070000000000000284e-01,9.684919169300573172e-01,7.600000000000000000e+01
9.080000000000000293e-01,9.686333080747545621e-01,7.600000000000000000e+01
9.090000000000000302e-01,9.687747033705882416e-01,7.600000000000000000e+01
9.100000000000000311e-01,9.689161004895240348e-01,7.600000000000000000e+01
9.110000000000000320e-01,9.690575005951019838e-01,7.600000000000000000e+01
9.120000000000000329e-01,9.691989048509610516e-01,7.600000000000000000e+01
9.130000000000000338e-01,9.693403109289194797e-01,7.600000000000000000e+01
9.140000000000000346e-01,9.694817199925914730e-01,7.600000000000000000e+01
9.150000000000000355e-01,9.696231332056897134e-01,7.600000000000000000e+01
9.160000000000000364e-01,9.697645482398852268e-01,7.600000000000000000e+01
9.170000000000000373e-01,9.699059662588660480e-01,7.600000000000000000e+01
9.180000000000000382e-01,9.700473872623233129e-01,7.600000000000000000e+01
9.190000000000000391e-01,9.701888124140679581e-01,7.600000000000000000e+01
9.200000000000000400e-01,9.703302393855748331e-01,7.600000000000000000e+01
9.210000000000000409e-01,9.704716693406305605e-01,7.600000000000000000e+01
9.220000000000000417e-01,9.706131034431204618e-01,7.600000000000000000e+01
9.230000000000000426e-01,9.707545393643720599e-01,7.600000000000000000e+01
9.240000000000000435e-01,9.708959782682461404e-01,7.600000000000000000e+01
9.250000000000000444e-01,9.710374213187012993e-01,7.600000000000000000e+01
9.260000000000000453e-01,9.711788661869183992e-01,7.600000000000000000e+01
9.270000000000000462e-01,9.713203140368319444e-01,7.600000000000000000e+01
9.280000000000000471e-01,9.714617648681332929e-01,7.600000000000000000e+01
9.290000000000000480e-01,9.716032198448798507e-01,7.600000000000000000e+01
9.300000000000000488e-01,9.717446766380560819e-01,7.600000000000000000e+01
9.310000000000000497e-01,9.718861364116949675e-01,7.600000000000000000e+01
9.320000000000000506e-01,9.720276003299278544e-01,7.600000000000000000e+01
9.330000000000000515e-01,9.721690660635921022e-01,7.600000000000000000e+01
9.340000000000000524e-01,9.723105347767946327e-01,7.600000000000000000e+01
9.350000000000000533e-01,9.724520076337401786e-01,7.600000000000000000e+01
9.360000000000000542e-01,9.725934823051193279e-01,7.600000000000000000e+01
9.370000000000000551e-01,9.727349599551130543e-01,7.600000000000000000e+01
9.379999999999999449e-01,9.728764405834131601e-01,7.600000000000000000e+01
9.389999999999999458e-01,9.730179253543229656e-01,7.600000000000000000e+01
9.399999999999999467e-01,9.731594119383374375e-01,7.600000000000000000e+01
9.409999999999999476e-01,9.733009014997351382e-01,7.600000000000000000e+01
9.419999999999999485e-01,9.734423952028934401e-01,7.600000000000000000e+01
9.429999999999999494e-01,9.735838907181600943e-01,7.600000000000000000e+01
9.439999999999999503e-01,9.737253892098878261e-01,7.600000000000000000e+01
9.449999999999999512e-01,9.738668918425272825e-01,7.600000000000000000e+01
9.459999999999999520e-01,9.740083962862794431e-01,7.600000000000000000e+01
9.469999999999999529e-01,9.741499037055710852e-01,7.600000000000000000e+01
9.479999999999999538e-01,9.742914141000947881e-01,7.600000000000000000e+01
9.489999999999999547e-01,9.744329286343995644e-01,7.600000000000000000e+01
9.499999999999999556e-01,9.745744449784908836e-01,7.600000000000000000e+01
9.509999999999999565e-01,9.747249072779931023e-01,7.600000000000000000e+01
9.519999999999999574e-01,9.748892845775509741e-01,7.600000000000000000e+01
9.529999999999999583e-01,9.750616167681884772e-01,7.600000000000000000e+01
9.539999999999999591e-01,9.752359396832636085e-01,7.600000000000000000e+01
9.549999999999999600e-01,9.754062920443649087e-01,7.600000000000000000e+01
9.559999999999999609e-01,9.755667108105251506e-01,7.600000000000000000e+01
9.569999999999999618e-01,9.757112324048722307e-01,7.600000000000000000e+01
9.579999999999999627e-01,9.758338939941392232e-01,7.600000000000000000e+01
9.589999999999999636e-01,9.759287289953662015e-01,7.600000000000000000e+01
9.599999999999999645e-01,9.759897754512888435e-01,7.600000000000000000e+01
9.609999999999999654e-01,9.760276013453881294e-01,7.600000000000000000e+01
9.619999999999999662e-01,9.760579064886378831e-01,7.600000000000000000e+01
9.629999999999999671e-01,9.760824233443187170e-01,7.600000000000000000e+01
9.639999999999999680e-01,9.761028844192332077e-01,7.600000000000000000e+01
