# wavelength(nm), strehl
9.000000000000000000e+02,5.327478011645347955e-01
9.001000000000000227e+02,5.328091220319649546e-01
9.002000000000000455e+02,5.328704311400196403e-01
9.003000000000000682e+02,5.329317284910162211e-01
9.004000000000000909e+02,5.329930140872723987e-01
9.005000000000001137e+02,5.330542879311053195e-01
9.006000000000001364e+02,5.331155500248329071e-01
9.007000000000001592e+02,5.331768003707723080e-01
9.008000000000001819e+02,5.332380389712408908e-01
9.009000000000002046e+02,5.332992658285559129e-01
9.010000000000002274e+02,5.333604809450346318e-01
9.011000000000002501e+02,5.334216843229940830e-01
9.012000000000002728e+02,5.334828759647515239e-01
9.013000000000002956e+02,5.335440558726239901e-01
9.014000000000003183e+02,5.336052240489287390e-01
9.015000000000003411e+02,5.336663804959823620e-01
9.016000000000003638e+02,5.337275252161017836e-01
9.017000000000003865e+02,5.337886582116039280e-01
9.018000000000004093e+02,5.338497794848054978e-01
9.019000000000004320e+02,5.339108890380234174e-01
9.020000000000004547e+02,5.339719868735741670e-01
9.021000000000004775e+02,5.340330729937745602e-01
9.022000000000005002e+02,5.340941474009408552e-01
9.023000000000005230e+02,5.341552100973896433e-01
9.024000000000005457e+02,5.342162610854374050e-01
9.025000000000005684e+02,5.342773003674003984e-01
9.026000000000005912e+02,5.343383279455952151e-01
9.027000000000006139e+02,5.343993438223376691e-01
9.028000000000006366e+02,5.344603479999442408e-01
9.029000000000006594e+02,5.345213404807306334e-01
9.030000000000006821e+02,5.345823212670132163e-01
9.031000000000007049e+02,5.346432903611081366e-01
9.032000000000007276e+02,5.347042477653308756e-01
9.033000000000007503e+02,5.347651934819976915e-01
9.034000000000007731e+02,5.348261275134239545e-01
9.035000000000007958e+02,5.348870498619257008e-01
9.036000000000008185e+02,5.349479605298183005e-01
9.037000000000008413e+02,5.350088595194176788e-01
9.038000000000008640e+02,5.350697468330387618e-01
9.039000000000008868e+02,5.351306224729975858e-01
9.040000000000009095e+02,5.351914864416094098e-01
9.041000000000009322e+02,5.352523387411891598e-01
9.042000000000009550e+02,5.353131793740524280e-01
9.043000000000009777e+02,5.353740083425142515e-01
9.044000000000010004e+02,5.354348256488896673e-01
9.045000000000010232e+02,5.354956312954938236e-01
9.046000000000010459e+02,5.355564252846414242e-01
9.047000000000010687e+02,5.356172076186475062e-01
9.048000000000010914e+02,5.356779782998267736e-01
9.049000000000011141e+02,5.357387373304940414e-01
9.050000000000011369e+02,5.357994847129639027e-01
9.051000000000011596e+02,5.358602204495509502e-01
9.052000000000011823e+02,5.359209445425695550e-01
9.053000000000012051e+02,5.359816569943341991e-01
9.054000000000012278e+02,5.360423578071592532e-01
9.055000000000012506e+02,5.361030469833588663e-01
9.056000000000012733e+02,5.361637245252474093e-01
9.057000000000012960e+02,5.362243904351386981e-01
9.058000000000013188e+02,5.362850447153469924e-01
9.059000000000013415e+02,5.363456873681861081e-01
9.060000000000013642e+02,5.364063183959699721e-01
9.061000000000013870e+02,5.364669378010124001e-01
9.062000000000014097e+02,5.365275455856268749e-01
9.063000000000014325e+02,5.365881417521273233e-01
9.064000000000014552e+02,5.366487263028268950e-01
9.065000000000014779e+02,5.367092992400395168e-01
9.066000000000015007e+02,5.367698605660782274e-01
9.067000000000015234e+02,5.368304102832563984e-01
9.068000000000015461e+02,5.368909483938872906e-01
9.069000000000015689e+02,5.369514749002836096e-01
9.070000000000015916e+02,5.370119898047590601e-01
9.071000000000016144e+02,5.370724931096260146e-01
9.072000000000016371e+02,5.371329848171977339e-01
9.073000000000016598e+02,5.371934649297865905e-01
9.074000000000016826e+02,5.372539334497057339e-01
9.075000000000017053e+02,5.373143903792674259e-01
9.076000000000017280e+02,5.373748357207841497e-01
9.077000000000017508e+02,5.374352694765685001e-01
9.078000000000017735e+02,5.374956916489327385e-01
9.079000000000017963e+02,5.375561022401891265e-01
9.080000000000018190e+02,5.376165012526497033e-01
9.081000000000018417e+02,5.376768886886265086e-01
9.082000000000018645e+02,5.377372645504316928e-01
9.083000000000018872e+02,5.377976288403770733e-01
9.084000000000019099e+02,5.378579815607744674e-01
9.085000000000019327e+02,5.379183227139351375e-01
9.086000000000019554e+02,5.379786523021712341e-01
9.087000000000019782e+02,5.380389703277942415e-01
9.088000000000020009e+02,5.380992767931150889e-01
9.089000000000020236e+02,5.381595717004454826e-01
9.090000000000020464e+02,5.382198550520965741e-01
9.091000000000020691e+02,5.382801268503792924e-01
9.092000000000020918e+02,5.383403870976048999e-01
9.093000000000021146e+02,5.384006357960841038e-01
9.094000000000021373e+02,5.384608729481280553e-01
9.095000000000021600e+02,5.385210985560470176e-01
9.096000000000021828e+02,5.385813126221520308e-01
9.097000000000022055e+02,5.386415151487534692e-01
9.098000000000022283e+02,5.387017061381619287e-01
9.099000000000022510e+02,5.387618855926873396e-01
9.100000000000022737e+02,5.388220535146402979e-01
9.101000000000022965e+02,5.388822099063307336e-01
9.102000000000023192e+02,5.389423547700686878e-01
9.103000000000023419e+02,5.390024881081644237e-01
9.104000000000023647e+02,5.390626099229274271e-01
9.105000000000023874e+02,5.391227202166672949e-01
9.106000000000024102e+02,5.391828189916940683e-01
9.107000000000024329e+02,5.392429062503171222e-01
9.108000000000024556e+02,5.393029819948457204e-01
9.109000000000024784e+02,5.393630462275890158e-01
9.110000000000025011e+02,5.394230989508568275e-01
9.111000000000025238e+02,5.394831401669577531e-01
9.112000000000025466e+02,5.395431698782008345e-01
9.113000000000025693e+02,5.396031880868951136e-01
9.114000000000025921e+02,5.396631947953492991e-01
9.115000000000026148e+02,5.397231900058719889e-01
9.116000000000026375e+02,5.397831737207717806e-01
9.117000000000026603e+02,5.398431459423571610e-01
9.118000000000026830e+02,5.399031066729366168e-01
9.119000000000027057e+02,5.399630559148179687e-01
9.120000000000027285e+02,5.400229936703097033e-01
9.121000000000027512e+02,5.400829199417197524e-01
9.122000000000027740e+02,5.401428347313559364e-01
9.123000000000027967e+02,5.402027380415261870e-01
9.124000000000028194e+02,5.402626298745382138e-01
9.125000000000028422e+02,5.403225102326991713e-01
9.126000000000028649e+02,5.403823791183171021e-01
9.127000000000028876e+02,5.404422365336991607e-01
9.128000000000029104e+02,5.405020824811520574e-01
9.129000000000029331e+02,5.405619169629837240e-01
9.130000000000029559e+02,5.406217399815005376e-01
9.131000000000029786e+02,5.406815515390097637e-01
9.132000000000030013e+02,5.407413516378177798e-01
9.133000000000030241e+02,5.408011402802316292e-01
9.134000000000030468e+02,5.408609174685576892e-01
9.135000000000030695e+02,5.409206832051024483e-01
9.136000000000030923e+02,5.409804374921719505e-01
9.137000000000031150e+02,5.410401803320725733e-01
9.138000000000031378e+02,5.410999117271105829e-01
9.139000000000031605e+02,5.411596316795915795e-01
9.140000000000031832e+02,5.412193401918216074e-01
9.141000000000032060e+02,5.412790372661061555e-01
9.142000000000032287e+02,5.413387229047510463e-01
9.143000000000032514e+02,5.413983971100615467e-01
9.144000000000032742e+02,5.414580598843431458e-01
9.145000000000032969e+02,5.415177112299009998e-01
9.146000000000033197e+02,5.415773511490402647e-01
9.147000000000033424e+02,5.416369796440659856e-01
9.148000000000033651e+02,5.416965967172826524e-01
9.149000000000033879e+02,5.417562023709953101e-01
9.150000000000034106e+02,5.418157966075085596e-01
9.151000000000034333e+02,5.418753794291268910e-01
9.152000000000034561e+02,5.419349508381544611e-01
9.153000000000034788e+02,5.419945108368957598e-01
9.154000000000035016e+02,5.420540594276547219e-01
9.155000000000035243e+02,5.421135966127352823e-01
9.156000000000035470e+02,5.421731223944415978e-01
9.157000000000035698e+02,5.422326367750771592e-01
9.158000000000035925e+02,5.422921397569453461e-01
9.159000000000036152e+02,5.423516313423499824e-01
9.160000000000036380e+02,5.424111115335944477e-01
9.161000000000036607e+02,5.424705803329816778e-01
9.162000000000036835e+02,5.425300377428146081e-01
9.163000000000037062e+02,5.425894837653968406e-01
9.164000000000037289e+02,5.426489184030307555e-01
9.165000000000037517e+02,5.427083416580191777e-01
9.166000000000037744e+02,5.427677535326643765e-01
9.167000000000037971e+02,5.428271540292691766e-01
9.168000000000038199e+02,5.428865431501356253e-01
9.169000000000038426e+02,5.429459208975659923e-01
9.170000000000038654e+02,5.430052872738623249e-01
9.171000000000038881e+02,5.430646422813264484e-01
9.172000000000039108e+02,5.431239859222600774e-01
9.173000000000039336e+02,5.431833181989650372e-01
9.174000000000039563e+02,5.432426391137425981e-01
9.175000000000039790e+02,5.433019486688943633e-01
9.176000000000040018e+02,5.433612468667212703e-01
9.177000000000040245e+02,5.434205337095245891e-01
9.178000000000040473e+02,5.434798091996053682e-01
9.179000000000040700e+02,5.435390733392639895e-01
9.180000000000040927e+02,5.435983261308016123e-01
9.181000000000041155e+02,5.436575675765186189e-01
9.182000000000041382e+02,5.437167976787153911e-01
9.183000000000041609e+02,5.437760164396920892e-01
9.184000000000041837e+02,5.438352238617490952e-01
9.185000000000042064e+02,5.438944199471861252e-01
9.186000000000042292e+02,5.439536046983030060e-01
9.187000000000042519e+02,5.440127781173996757e-01
9.188000000000042746e+02,5.440719402067755173e-01
9.189000000000042974e+02,5.441310909687301356e-01
9.190000000000043201e+02,5.441902304055625805e-01
9.191000000000043428e+02,5.442493585195720129e-01
9.192000000000043656e+02,5.443084753130575937e-01
9.193000000000043883e+02,5.443675807883180395e-01
9.194000000000044110e+02,5.444266749476522893e-01
9.195000000000044338e+02,5.444857577933583936e-01
9.196000000000044565e+02,5.445448293277350693e-01
9.197000000000044793e+02,5.446038895530809221e-01
9.198000000000045020e+02,5.446629384716935585e-01
9.199000000000045247e+02,5.447219760858711401e-01
9.200000000000045475e+02,5.447810023979114957e-01
9.201000000000045702e+02,5.448400174101125648e-01
9.202000000000045929e+02,5.448990211247713988e-01
9.203000000000046157e+02,5.449580135441859374e-01
9.204000000000046384e+02,5.450169946706528989e-01
9.205000000000046612e+02,5.450759645064698899e-01
9.206000000000046839e+02,5.451349230539332957e-01
9.207000000000047066e+02,5.451938703153405008e-01
9.208000000000047294e+02,5.452528062929877795e-01
9.209000000000047521e+02,5.453117309891717390e-01
9.210000000000047748e+02,5.453706444061887648e-01
