# wavelength_um,throughput,length
1.489999999999999991e+00,9.717408853166158433e-01,1.000000000000000000e+01
1.490999999999999881e+00,9.718063709221476110e-01,1.000000000000000000e+01
1.491999999999999771e+00,9.718718322663987275e-01,1.000000000000000000e+01
1.492999999999999661e+00,9.719372693689714016e-01,1.000000000000000000e+01
1.493999999999999551e+00,9.720026822494439722e-01,1.000000000000000000e+01
1.494999999999999440e+00,9.720680709273700204e-01,1.000000000000000000e+01
1.495999999999999330e+00,9.721334354222788132e-01,1.000000000000000000e+01
1.496999999999999220e+00,9.721987757536753039e-01,1.000000000000000000e+01
1.497999999999999110e+00,9.722640919410405758e-01,1.000000000000000000e+01
1.498999999999999000e+00,9.723293840038310654e-01,1.000000000000000000e+01
1.499999999999998890e+00,9.723946519614791173e-01,1.000000000000000000e+01
1.500999999999998780e+00,9.724598958333933174e-01,1.000000000000000000e+01
1.501999999999998670e+00,9.725251156389578266e-01,1.000000000000000000e+01
1.502999999999998559e+00,9.725903113975327141e-01,1.000000000000000000e+01
1.503999999999998449e+00,9.726554831284542901e-01,1.000000000000000000e+01
1.504999999999998339e+00,9.727206308510348842e-01,1.000000000000000000e+01
1.505999999999998229e+00,9.727857545845627341e-01,1.000000000000000000e+01
1.506999999999998119e+00,9.728508543483022075e-01,1.000000000000000000e+01
1.507999999999998009e+00,9.729159301614940247e-01,1.000000000000000000e+01
1.508999999999997899e+00,9.729809820433550360e-01,1.000000000000000000e+01
1.509999999999997788e+00,9.730460100130781109e-01,1.000000000000000000e+01
1.510999999999997678e+00,9.731110140898326932e-01,1.000000000000000000e+01
1.511999999999997568e+00,9.731759942927645790e-01,1.000000000000000000e+01
1.512999999999997458e+00,9.732409506409954725e-01,1.000000000000000000e+01
1.513999999999997348e+00,9.733058831536239852e-01,1.000000000000000000e+01
1.514999999999997238e+00,9.733707918497248590e-01,1.000000000000000000e+01
1.515999999999997128e+00,9.734356767483494099e-01,1.000000000000000000e+01
1.516999999999997017e+00,9.735005378685256394e-01,1.000000000000000000e+01
1.517999999999996907e+00,9.735653752292576790e-01,1.000000000000000000e+01
1.518999999999996797e+00,9.736301888495267898e-01,1.000000000000000000e+01
1.519999999999996687e+00,9.736949787482903629e-01,1.000000000000000000e+01
1.520999999999996577e+00,9.737597449444826969e-01,1.000000000000000000e+01
1.521999999999996467e+00,9.738244874570148868e-01,1.000000000000000000e+01
1.522999999999996357e+00,9.738892063047747127e-01,1.000000000000000000e+01
1.523999999999996247e+00,9.739539015066266403e-01,1.000000000000000000e+01
1.524999999999996136e+00,9.740185730814119314e-01,1.000000000000000000e+01
1.525999999999996026e+00,9.740832210479489772e-01,1.000000000000000000e+01
1.526999999999995916e+00,9.741478454250328545e-01,1.000000000000000000e+01
1.527999999999995806e+00,9.742124462314356581e-01,1.000000000000000000e+01
1.528999999999995696e+00,9.742770234859063905e-01,1.000000000000000000e+01
1.529999999999995586e+00,9.743415772071711833e-01,1.000000000000000000e+01
1.530999999999995476e+00,9.744061074139330758e-01,1.000000000000000000e+01
1.531999999999995365e+00,9.744706141248723474e-01,1.000000000000000000e+01
1.532999999999995255e+00,9.745350973586462962e-01,1.000000000000000000e+01
1.533999999999995145e+00,9.745995571338894603e-01,1.000000000000000000e+01
1.534999999999995035e+00,9.746639934692136187e-01,1.000000000000000000e+01
1.535999999999994925e+00,9.747284063832076795e-01,1.000000000000000000e+01
1.536999999999994815e+00,9.747927958944380133e-01,1.000000000000000000e+01
1.537999999999994705e+00,9.748571620214480093e-01,1.000000000000000000e+01
1.538999999999994595e+00,9.749215047827588521e-01,1.000000000000000000e+01
1.539999999999994484e+00,9.749858241968685224e-01,1.000000000000000000e+01
1.540999999999994374e+00,9.750501202822531299e-01,1.000000000000000000e+01
1.541999999999994264e+00,9.751143930573656915e-01,1.000000000000000000e+01
1.542999999999994154e+00,9.751786425406370196e-01,1.000000000000000000e+01
1.543999999999994044e+00,9.752428687504753890e-01,1.000000000000000000e+01
1.544999999999993934e+00,9.753070717052666483e-01,1.000000000000000000e+01
1.545999999999993824e+00,9.753712514233742192e-01,1.000000000000000000e+01
1.546999999999993713e+00,9.754354079231393193e-01,1.000000000000000000e+01
1.547999999999993603e+00,9.754995412228807394e-01,1.000000000000000000e+01
1.548999999999993493e+00,9.755636513408950661e-01,1.000000000000000000e+01
1.549999999999993383e+00,9.756277382954565702e-01,1.000000000000000000e+01
1.550999999999993273e+00,9.756918021048173184e-01,1.000000000000000000e+01
1.551999999999993163e+00,9.757558427872073947e-01,1.000000000000000000e+01
1.552999999999993053e+00,9.758198603608345678e-01,1.000000000000000000e+01
1.553999999999992943e+00,9.758838548438844018e-01,1.000000000000000000e+01
1.554999999999992832e+00,9.759478262545208116e-01,1.000000000000000000e+01
1.555999999999992722e+00,9.760117746108853964e-01,1.000000000000000000e+01
1.556999999999992612e+00,9.760756999310977733e-01,1.000000000000000000e+01
1.557999999999992502e+00,9.761396022332556877e-01,1.000000000000000000e+01
1.558999999999992392e+00,9.762034815354350137e-01,1.000000000000000000e+01
1.559999999999992282e+00,9.762673378556897541e-01,1.000000000000000000e+01
1.560999999999992172e+00,9.763311712120519292e-01,1.000000000000000000e+01
1.561999999999992061e+00,9.763949816225317990e-01,1.000000000000000000e+01
1.562999999999991951e+00,9.764587691051179741e-01,1.000000000000000000e+01
1.563999999999991841e+00,9.765225336777773046e-01,1.000000000000000000e+01
1.564999999999991731e+00,9.765862753584547695e-01,1.000000000000000000e+01
1.565999999999991621e+00,9.766499941650739203e-01,1.000000000000000000e+01
1.566999999999991511e+00,9.767136901155366591e-01,1.000000000000000000e+01
1.567999999999991401e+00,9.767773632277231277e-01,1.000000000000000000e+01
1.568999999999991291e+00,9.768410135194919297e-01,1.000000000000000000e+01
1.569999999999991180e+00,9.769046410086803522e-01,1.000000000000000000e+01
1.570999999999991070e+00,9.769682457131040332e-01,1.000000000000000000e+01
1.571999999999990960e+00,9.770318276505571831e-01,1.000000000000000000e+01
1.572999999999990850e+00,9.770953868388126962e-01,1.000000000000000000e+01
1.573999999999990740e+00,9.771589232956219284e-01,1.000000000000000000e+01
1.574999999999990630e+00,9.772224370387149195e-01,1.000000000000000000e+01
1.575999999999990520e+00,9.772859280858005038e-01,1.000000000000000000e+01
1.576999999999990409e+00,9.773493964545661994e-01,1.000000000000000000e+01
1.577999999999990299e+00,9.774128421626782082e-01,1.000000000000000000e+01
1.578999999999990189e+00,9.774762652277816377e-01,1.000000000000000000e+01
1.579999999999990079e+00,9.775396656675003904e-01,1.000000000000000000e+01
1.580999999999989969e+00,9.776030434994370522e-01,1.000000000000000000e+01
1.581999999999989859e+00,9.776663987411734480e-01,1.000000000000000000e+01
1.582999999999989749e+00,9.777297314102699755e-01,1.000000000000000000e+01
1.583999999999989639e+00,9.777930415242662709e-01,1.000000000000000000e+01
1.584999999999989528e+00,9.778563291006808766e-01,1.000000000000000000e+01
1.585999999999989418e+00,9.779195941570112405e-01,1.000000000000000000e+01
1.586999999999989308e+00,9.779828367107339382e-01,1.000000000000000000e+01
1.587999999999989198e+00,9.780460567793048954e-01,1.000000000000000000e+01
1.588999999999989088e+00,9.781092543801589434e-01,1.000000000000000000e+01
1.589999999999988978e+00,9.781724295307099304e-01,1.000000000000000000e+01
1.590999999999988868e+00,9.782355822483511654e-01,1.000000000000000000e+01
1.591999999999988757e+00,9.782987125504551962e-01,1.000000000000000000e+01
1.592999999999988647e+00,9.783618204543735875e-01,1.000000000000000000e+01
1.593999999999988537e+00,9.784249059774375867e-01,1.000000000000000000e+01
1.594999999999988427e+00,9.784879691369573473e-01,1.000000000000000000e+01
1.595999999999988317e+00,9.785510099502227055e-01,1.000000000000000000e+01
1.596999999999988207e+00,9.786140284345027363e-01,1.000000000000000000e+01
1.597999999999988097e+00,9.786770246070459756e-01,1.000000000000000000e+01
1.598999999999987986e+00,9.787399984850806423e-01,1.000000000000000000e+01
1.599999999999987876e+00,9.788029500858139720e-01,1.000000000000000000e+01
1.600999999999987766e+00,9.788289111351398120e-01,1.000000000000000000e+01
1.601999999999987656e+00,9.788548683979733100e-01,1.000000000000000000e+01
1.602999999999987546e+00,9.788808218755195023e-01,1.000000000000000000e+01
1.603999999999987436e+00,9.789067715689826477e-01,1.000000000000000000e+01
1.604999999999987326e+00,9.789327174795662279e-01,1.000000000000000000e+01
1.605999999999987216e+00,9.789586596084733916e-01,1.000000000000000000e+01
1.606999999999987105e+00,9.789845979569063994e-01,1.000000000000000000e+01
1.607999999999986995e+00,9.790105325260670677e-01,1.000000000000000000e+01
1.608999999999986885e+00,9.790364633171565467e-01,1.000000000000000000e+01
1.609999999999986775e+00,9.790623903313755427e-01,1.000000000000000000e+01
1.610999999999986665e+00,9.790883135699240958e-01,1.000000000000000000e+01
1.611999999999986555e+00,9.791142330340015798e-01,1.000000000000000000e+01
