# wavelength_um,throughput
# 75m length zblan requirement
1.489999999999999991e+00,8.088603007360902764e-01
1.490999999999999881e+00,8.092637549614845049e-01
1.491999999999999771e+00,8.096672336513359713e-01
1.492999999999999661e+00,8.100707367964180561e-01
1.493999999999999551e+00,8.104742643875123553e-01
1.494999999999999440e+00,8.108778164154071266e-01
1.495999999999999330e+00,8.112813928708985101e-01
1.496999999999999220e+00,8.116849937447903063e-01
1.497999999999999110e+00,8.120886190278934214e-01
1.498999999999999000e+00,8.124922687110263109e-01
1.499999999999998890e+00,8.128959427850153130e-01
1.500999999999998780e+00,8.132996412406936493e-01
1.501999999999998670e+00,8.137033640689023128e-01
1.502999999999998559e+00,8.141071112604895132e-01
1.503999999999998449e+00,8.145108828063110096e-01
1.504999999999998339e+00,8.149146786972302214e-01
1.505999999999998229e+00,8.153184989241174518e-01
1.506999999999998119e+00,8.157223434778506643e-01
1.507999999999998009e+00,8.161262123493154830e-01
1.508999999999997899e+00,8.165301055294043042e-01
1.509999999999997788e+00,8.169340230090171850e-01
1.510999999999997678e+00,8.173379647790619540e-01
1.511999999999997568e+00,8.177419308304531009e-01
1.512999999999997458e+00,8.181459211541128873e-01
1.513999999999997348e+00,8.185499357409706800e-01
1.514999999999997238e+00,8.189539745819631733e-01
1.515999999999997128e+00,8.193580376680348332e-01
1.516999999999997017e+00,8.197621249901367868e-01
1.517999999999996907e+00,8.201662365392277110e-01
1.518999999999996797e+00,8.205703723062736099e-01
1.519999999999996687e+00,8.209745322822478153e-01
1.520999999999996577e+00,8.213787164581307643e-01
1.521999999999996467e+00,8.217829248249102214e-01
1.522999999999996357e+00,8.221871573735813898e-01
1.523999999999996247e+00,8.225914140951463560e-01
1.524999999999996136e+00,8.229956949806146449e-01
1.525999999999996026e+00,8.234000000210028869e-01
1.526999999999995916e+00,8.238043292073352619e-01
1.527999999999995806e+00,8.242086825306427222e-01
1.528999999999995696e+00,8.246130599819636586e-01
1.529999999999995586e+00,8.250174615523435673e-01
1.530999999999995476e+00,8.254218872328350498e-01
1.531999999999995365e+00,8.258263370144980353e-01
1.532999999999995255e+00,8.262308108883996693e-01
1.533999999999995145e+00,8.266353088456140918e-01
1.534999999999995035e+00,8.270398308772225482e-01
1.535999999999994925e+00,8.274443769743133892e-01
1.536999999999994815e+00,8.278489471279822931e-01
1.537999999999994705e+00,8.282535413293320437e-01
1.538999999999994595e+00,8.286581595694723079e-01
1.539999999999994484e+00,8.290628018395199694e-01
1.540999999999994374e+00,8.294674681305991282e-01
1.541999999999994264e+00,8.298721584338408785e-01
1.542999999999994154e+00,8.302768727403829763e-01
1.543999999999994044e+00,8.306816110413711707e-01
1.544999999999993934e+00,8.310863733279573173e-01
1.545999999999993824e+00,8.314911595913009323e-01
1.546999999999993713e+00,8.318959698225683042e-01
1.547999999999993603e+00,8.323008040129327156e-01
1.548999999999993493e+00,8.327056621535746661e-01
1.549999999999993383e+00,8.331105442356815383e-01
1.550999999999993273e+00,8.335154502504477092e-01
1.551999999999993163e+00,8.339203801890745504e-01
1.552999999999993053e+00,8.343253340427705389e-01
1.553999999999992943e+00,8.347303118027508129e-01
1.554999999999992832e+00,8.351353134602380601e-01
1.555999999999992722e+00,8.355403390064614078e-01
1.556999999999992612e+00,8.359453884326570883e-01
1.557999999999992502e+00,8.363504617300683286e-01
1.558999999999992392e+00,8.367555588899450170e-01
1.559999999999992282e+00,8.371606799035445912e-01
1.560999999999992172e+00,8.375658247621308172e-01
1.561999999999992061e+00,8.379709934569746776e-01
1.562999999999991951e+00,8.383761859793538163e-01
1.563999999999991841e+00,8.387814023205529823e-01
1.564999999999991731e+00,8.391866424718635864e-01
1.565999999999991621e+00,8.395919064245843666e-01
1.566999999999991511e+00,8.399971941700205003e-01
1.567999999999991401e+00,8.404025056994841592e-01
1.568999999999991291e+00,8.408078410042942874e-01
1.569999999999991180e+00,8.412132000757767125e-01
1.570999999999991070e+00,8.416185829052642564e-01
1.571999999999990960e+00,8.420239894840965134e-01
1.572999999999990850e+00,8.424294198036196279e-01
1.573999999999990740e+00,8.428348738551869612e-01
1.574999999999990630e+00,8.432403516301582025e-01
1.575999999999990520e+00,8.436458531199001465e-01
1.576999999999990409e+00,8.440513783157865824e-01
1.577999999999990299e+00,8.444569272091976275e-01
1.578999999999990189e+00,8.448624997915203938e-01
1.579999999999990079e+00,8.452680960541487654e-01
1.580999999999989969e+00,8.456737159884831767e-01
1.581999999999989859e+00,8.460793595859311678e-01
1.582999999999989749e+00,8.464850268379068288e-01
