#Wavelength (nm),"M1, M2, or M3, 
#1 year"
2500,0.968093141
2499,0.967525991
2498,0.968532855
2497,0.968206819
2496,0.968407427
2495,0.968676294
2494,0.968587666
2493,0.968917999
2492,0.968603045
2491,0.968222027
2490,0.968276634
2489,0.96855566
2488,0.968178202
2487,0.968595212
2486,0.969185066
2485,0.969418526
2484,0.968228302
2483,0.96785052
2482,0.968710537
2481,0.969127083
2480,0.968111464
2479,0.968332348
2478,0.968362026
2477,0.968162187
2476,0.967874673
2475,0.967800662
2474,0.96829656
2473,0.967973251
2472,0.968085308
2471,0.968344739
2470,0.968210284
2469,0.967856636
2468,0.968303299
2467,0.968297571
2466,0.968205071
2465,0.967642053
2464,0.968025373
2463,0.968214213
2462,0.968621229
2461,0.967776496
2460,0.968266614
2459,0.967800566
2458,0.968023516
2457,0.967984549
2456,0.968501066
2455,0.968791962
2454,0.968037294
2453,0.967753118
2452,0.968132483
2451,0.968128872
2450,0.967524242
2449,0.968393631
2448,0.967411664
2447,0.968045413
2446,0.967848759
2445,0.967567952
2444,0.96801527
2443,0.967569059
2442,0.967917029
2441,0.967531274
2440,0.967898375
2439,0.967994359
2438,0.96780084
2437,0.967935568
2436,0.968262412
2435,0.967618516
2434,0.967381026
2433,0.9683907
2432,0.968339392
2431,0.967739239
2430,0.967133713
2429,0.968019377
2428,0.968141244
2427,0.967785447
2426,0.967744573
2425,0.968236828
2424,0.967995192
2423,0.968036054
2422,0.967709478
2421,0.96785759
2420,0.968256467
2419,0.967922293
2418,0.967762744
2417,0.967689126
2416,0.967813409
2415,0.968121535
2414,0.967590682
2413,0.968240903
2412,0.967741407
2411,0.968000266
2410,0.9684559
2409,0.967596601
2408,0.968055846
2407,0.968026733
2406,0.967790095
2405,0.967512932
2404,0.967810624
2403,0.967879416
2402,0.966591377
2401,0.968324591
2400,0.967805188
2399,0.967300816
2398,0.967231057
2397,0.96787
2396,0.968017648
2395,0.967848759
2394,0.967283834
2393,0.967750689
2392,0.96772583
2391,0.967746684
2390,0.967824332
2389,0.967319864
2388,0.96732804
2387,0.968223146
2386,0.968491402
2385,0.966735433
2384,0.967207724
2383,0.967576618
2382,0.968477014
2381,0.967955494
2380,0.967781302
2379,0.968088563
2378,0.967898337
2377,0.967993234
2376,0.967722149
2375,0.967767849
2374,0.968421116
2373,0.96820893
2372,0.968391476
2371,0.968103199
2370,0.968213317
2369,0.968014119
2368,0.967881502
2367,0.968405145
2366,0.968089739
2365,0.967866828
2364,0.968336328
2363,0.968719533
2362,0.96879371
2361,0.968074837
2360,0.968284931
2359,0.968660952
2358,0.968261871
2357,0.968627078
2356,0.968507417
2355,0.968297399
2354,0.968552113
2353,0.968309422
2352,0.968318157
2351,0.96874925
2350,0.968469671
2349,0.968398863
2348,0.968657792
2347,0.968545348
2346,0.968378391
2345,0.967895972
2344,0.968669624
2343,0.968193766
2342,0.96822361
2341,0.968179404
2340,0.968434709
2339,0.968012625
2338,0.96766489
2337,0.968200048
2336,0.968070711
2335,0.967682368
2334,0.967820803
2333,0.968150088
2332,0.967144038
2331,0.967472738
2330,0.967258002
2329,0.967277807
2328,0.968029346
2327,0.967729034
2326,0.967604198
2325,0.967494138
2324,0.96742288
2323,0.966698939
2322,0.966997039
2321,0.967390671
2320,0.967293262
2319,0.966970704
2318,0.967425664
2317,0.967177404
2316,0.966908404
2315,0.967590872
2314,0.967917538
2313,0.967510827
2312,0.967253825
2311,0.967618618
2310,0.967699095
2309,0.96730093
2308,0.967265072
2307,0.967222303
2306,0.967095203
2305,0.967322553
2304,0.967179317
2303,0.966829052
2302,0.967538058
2301,0.967274005
2300,0.966590042
2299,0.967313417
2298,0.967363466
2297,0.966995004
2296,0.966906929
2295,0.967510548
2294,0.966769257
2293,0.967329718
2292,0.967541192
2291,0.967530632
2290,0.967807547
2289,0.967243627
2288,0.967269319
2287,0.966743825
2286,0.966997897
2285,0.966956819
2284,0.966724803
2283,0.966813908
2282,0.96695392
2281,0.96671367
2280,0.967089895
2279,0.966870448
2278,0.966781966
2277,0.966720378
2276,0.966518377
2275,0.96671943
2274,0.966698195
2273,0.96680446
2272,0.967047818
2271,0.9668411
2270,0.966848729
2269,0.96715655
2268,0.966759027
2267,0.966770713
2266,0.967008705
2265,0.966337776
2264,0.967131042
2263,0.966530177
2262,0.966541195
2261,0.966574313
2260,0.96656374
2259,0.966727422
2258,0.96662639
2257,0.965890592
2256,0.966840591
2255,0.966645285
2254,0.965891081
