#Wavelength (nm),"M1, M2,or M3, 
#3 years"
2500,0.938093141
2499,0.937525991
2498,0.938532855
2497,0.938206819
2496,0.938407427
2495,0.938676294
2494,0.938587666
2493,0.938917999
2492,0.938603045
2491,0.938222027
2490,0.938276634
2489,0.93855566
2488,0.938178202
2487,0.938595212
2486,0.939185066
2485,0.939418526
2484,0.938228302
2483,0.93785052
2482,0.938710537
2481,0.939127083
2480,0.938111464
2479,0.938332348
2478,0.938362026
2477,0.938162187
2476,0.937874673
2475,0.937800662
2474,0.93829656
2473,0.937973251
2472,0.938085308
2471,0.938344739
2470,0.938210284
2469,0.937856636
2468,0.938303299
2467,0.938297571
2466,0.938205071
2465,0.937642053
2464,0.938025373
2463,0.938214213
2462,0.938621229
2461,0.937776496
2460,0.938266614
2459,0.937800566
2458,0.938023516
2457,0.937984549
2456,0.938501066
2455,0.938791962
2454,0.938037294
2453,0.937753118
2452,0.938132483
2451,0.938128872
2450,0.937524242
2449,0.938393631
2448,0.937411664
2447,0.938045413
2446,0.937848759
2445,0.937567952
2444,0.93801527
2443,0.937569059
2442,0.937917029
2441,0.937531274
2440,0.937898375
2439,0.937994359
2438,0.93780084
2437,0.937935568
2436,0.938262412
2435,0.937618516
2434,0.937381026
2433,0.9383907
2432,0.938339392
2431,0.937739239
2430,0.937133713
2429,0.938019377
2428,0.938141244
2427,0.937785447
2426,0.937744573
2425,0.938236828
2424,0.937995192
2423,0.938036054
2422,0.937709478
2421,0.93785759
2420,0.938256467
2419,0.937922293
2418,0.937762744
2417,0.937689126
2416,0.937813409
2415,0.938121535
2414,0.937590682
2413,0.938240903
2412,0.937741407
2411,0.938000266
2410,0.9384559
2409,0.937596601
2408,0.938055846
2407,0.938026733
2406,0.937790095
2405,0.937512932
2404,0.937810624
2403,0.937879416
2402,0.936591377
2401,0.938324591
2400,0.937805188
2399,0.937300816
2398,0.937231057
2397,0.93787
2396,0.938017648
2395,0.937848759
2394,0.937283834
2393,0.937750689
2392,0.93772583
2391,0.937746684
2390,0.937824332
2389,0.937319864
2388,0.93732804
2387,0.938223146
2386,0.938491402
2385,0.936735433
2384,0.937207724
2383,0.937576618
2382,0.938477014
2381,0.937955494
2380,0.937781302
2379,0.938088563
2378,0.937898337
2377,0.937993234
2376,0.937722149
2375,0.937767849
2374,0.938421116
2373,0.93820893
2372,0.938391476
2371,0.938103199
2370,0.938213317
2369,0.938014119
2368,0.937881502
2367,0.938405145
2366,0.938089739
2365,0.937866828
2364,0.938336328
2363,0.938719533
2362,0.93879371
2361,0.938074837
2360,0.938284931
2359,0.938660952
2358,0.938261871
2357,0.938627078
2356,0.938507417
2355,0.938297399
2354,0.938552113
2353,0.938309422
2352,0.938318157
2351,0.93874925
2350,0.938469671
2349,0.938398863
2348,0.938657792
2347,0.938545348
2346,0.938378391
2345,0.937895972
2344,0.938669624
2343,0.938193766
2342,0.93822361
2341,0.938179404
2340,0.938434709
2339,0.938012625
2338,0.93766489
2337,0.938200048
2336,0.938070711
2335,0.937682368
2334,0.937820803
2333,0.938150088
2332,0.937144038
2331,0.937472738
2330,0.937258002
2329,0.937277807
2328,0.938029346
2327,0.937729034
2326,0.937604198
2325,0.937494138
2324,0.93742288
2323,0.936698939
2322,0.936997039
2321,0.937390671
2320,0.937293262
2319,0.936970704
2318,0.937425664
2317,0.937177404
2316,0.936908404
2315,0.937590872
2314,0.937917538
2313,0.937510827
2312,0.937253825
2311,0.937618618
2310,0.937699095
2309,0.93730093
2308,0.937265072
2307,0.937222303
2306,0.937095203
2305,0.937322553
2304,0.937179317
2303,0.936829052
2302,0.937538058
2301,0.937274005
2300,0.936590042
2299,0.937313417
2298,0.937363466
2297,0.936995004
2296,0.936906929
2295,0.937510548
2294,0.936769257
2293,0.937329718
2292,0.937541192
2291,0.937530632
2290,0.937807547
2289,0.937243627
2288,0.937269319
2287,0.936743825
2286,0.936997897
2285,0.936956819
2284,0.936724803
2283,0.936813908
2282,0.93695392
2281,0.93671367
2280,0.937089895
2279,0.936870448
2278,0.936781966
2277,0.936720378
2276,0.936518377
2275,0.93671943
2274,0.936698195
2273,0.93680446
2272,0.937047818
2271,0.9368411
2270,0.936848729
2269,0.93715655
2268,0.936759027
2267,0.936770713
2266,0.937008705
2265,0.936337776
2264,0.937131042
2263,0.936530177
2262,0.936541195
2261,0.936574313
2260,0.93656374
2259,0.936727422
2258,0.93662639
2257,0.935890592
2256,0.936840591
2255,0.936645285
2254,0.935891081
2253,0.936375866
2252,0.936351871
2251,0.936470375
2250,0.936426951
2249,0.936212292
2248,0.936404235
2247,0.936756013
2246,0.935953592
2245,0.93653422
2244,0.936868248
2243,0.936486963
2242,0.936808974
2241,0.936828613
2240,0.93678079
2239,0.936915779
2238,0.936916555
2237,0.93695343
2236,0.936513379
2235,0.93635568
2234,0.936093553
2233,0.936581421
2232,0.93662686
2231,0.936512337
2230,0.936921387
2229,0.936540839
2228,0.935956128
2227,0.936304061
2226,0.936420517
2225,0.936455847
2224,0.935771707
2223,0.936257127
2222,0.93637249
2221,0.936295033
2220,0.935848084
2219,0.936051451
2218,0.936488215
2217,0.936325556
2216,0.936409391
2215,0.935757408
2214,0.936051242
2213,0.936174901
2212,0.93603775
2211,0.936401113
2210,0.935918948
2209,0.935387834
2208,0.935925153
2207,0.935300833
2206,0.936723588
2205,0.936110274
2204,0.93542553
2203,0.936055069
2202,0.936019859
2201,0.936035862
2200,0.935877501
2199,0.936232065
2198,0.93590449
2197,0.936096052
2196,0.935626456
2195,0.93573541
2194,0.93613203
2193,0.935613378
2192,0.935742486
2191,0.935921904
2190,0.935209471
2189,0.935948003
2188,0.935874157
2187,0.935582282
2186,0.935477632
2185,0.935658811
2184,0.935952581
2183,0.935792363
2182,0.935392386
2181,0.935811755
2180,0.935762552
2179,0.935716178
2178,0.935729987
2177,0.935210355
2176,0.936009534
2175,0.936187038
2174,0.935508035
2173,0.93525987
2172,0.935973085
2171,0.935097281
2170,0.935657164
2169,0.936083069
2168,0.935787938
2167,0.936064618
2166,0.935283381
2165,0.935498568
2164,0.935511837
2163,0.935226491
2162,0.935699221
2161,0.93551033
2160,0.9358708
2159,0.935076097
2158,0.93496102
2157,0.935930061
2156,0.935742938
2155,0.935561752
2154,0.93494168
2153,0.935391318
2152,0.935255191
2151,0.935036888
2150,0.935587495
2149,0.935371888
2148,0.935165183
2147,0.935304228
2146,0.935472387
2145,0.935314255
2144,0.935318871
2143,0.93511886
2142,0.934747588
2141,0.935600033
2140,0.935059675
2139,0.935059872
2138,0.934888846
2137,0.9350962
2136,0.935571251
2135,0.934748141
2134,0.935218881
2133,0.935101528
2132,0.935046902
2131,0.935116342
2130,0.935591278
2129,0.935051238
2128,0.935305939
2127,0.934866549
2126,0.93502135
2125,0.934730485
2124,0.934989821
2123,0.934585876
2122,0.935441863
2121,0.934490058
2120,0.935126349
2119,0.934737625
2118,0.934954777
2117,0.934661783
2116,0.934479402
2115,0.934967117
2114,0.935091419
2113,0.934684957
2112,0.934634291
2111,0.934988117
2110,0.935021782
2109,0.935094001
2108,0.934793205
2107,0.935448443
2106,0.934941025
2105,0.934280097
2104,0.934491151
2103,0.935202306
2102,0.935136941
2101,0.934506524
2100,0.934671777
2099,0.934694805
2098,0.934510911
2097,0.934409637
2096,0.934668121
2095,0.934517523
2094,0.934761779
2093,0.934191017
2092,0.935357304
2091,0.934725545
2090,0.934177659
2089,0.934649309
2088,0.934308345
2087,0.93468441
2086,0.933996213
2085,0.934378459
2084,0.934253222
2083,0.934928926
2082,0.934542185
2081,0.934454238
2080,0.934784641
2079,0.934934559
2078,0.933931986
2077,0.934275411
2076,0.93419316
2075,0.934282112
2074,0.934300296
2073,0.933993867
2072,0.934441662
2071,0.934028034
2070,0.933559227
2069,0.934465726
2068,0.934332002
2067,0.934167385
2066,0.933838234
2065,0.934203065
2064,0.934382769
2063,0.933942719
2062,0.93373614
2061,0.934705455
