#Wavelength (nm),"M1, M2, or M3
#2 years"
2500,0.953093141
2499,0.952525991
2498,0.953532855
2497,0.953206819
2496,0.953407427
2495,0.953676294
2494,0.953587666
2493,0.953917999
2492,0.953603045
2491,0.953222027
2490,0.953276634
2489,0.95355566
2488,0.953178202
2487,0.953595212
2486,0.954185066
2485,0.954418526
2484,0.953228302
2483,0.95285052
2482,0.953710537
2481,0.954127083
2480,0.953111464
2479,0.953332348
2478,0.953362026
2477,0.953162187
2476,0.952874673
2475,0.952800662
2474,0.95329656
2473,0.952973251
2472,0.953085308
2471,0.953344739
2470,0.953210284
2469,0.952856636
2468,0.953303299
2467,0.953297571
2466,0.953205071
2465,0.952642053
2464,0.953025373
2463,0.953214213
2462,0.953621229
2461,0.952776496
2460,0.953266614
2459,0.952800566
2458,0.953023516
2457,0.952984549
2456,0.953501066
2455,0.953791962
2454,0.953037294
2453,0.952753118
2452,0.953132483
2451,0.953128872
2450,0.952524242
2449,0.953393631
2448,0.952411664
2447,0.953045413
2446,0.952848759
2445,0.952567952
2444,0.95301527
2443,0.952569059
2442,0.952917029
2441,0.952531274
2440,0.952898375
2439,0.952994359
2438,0.95280084
2437,0.952935568
2436,0.953262412
2435,0.952618516
2434,0.952381026
2433,0.9533907
2432,0.953339392
2431,0.952739239
2430,0.952133713
2429,0.953019377
2428,0.953141244
2427,0.952785447
2426,0.952744573
2425,0.953236828
2424,0.952995192
2423,0.953036054
2422,0.952709478
2421,0.95285759
2420,0.953256467
2419,0.952922293
2418,0.952762744
2417,0.952689126
2416,0.952813409
2415,0.953121535
2414,0.952590682
2413,0.953240903
2412,0.952741407
2411,0.953000266
2410,0.9534559
2409,0.952596601
2408,0.953055846
2407,0.953026733
2406,0.952790095
2405,0.952512932
2404,0.952810624
2403,0.952879416
2402,0.951591377
2401,0.953324591
2400,0.952805188
2399,0.952300816
2398,0.952231057
2397,0.95287
2396,0.953017648
2395,0.952848759
2394,0.952283834
2393,0.952750689
2392,0.95272583
2391,0.952746684
2390,0.952824332
2389,0.952319864
2388,0.95232804
2387,0.953223146
2386,0.953491402
2385,0.951735433
2384,0.952207724
2383,0.952576618
2382,0.953477014
2381,0.952955494
2380,0.952781302
2379,0.953088563
2378,0.952898337
2377,0.952993234
2376,0.952722149
2375,0.952767849
2374,0.953421116
2373,0.95320893
2372,0.953391476
2371,0.953103199
2370,0.953213317
2369,0.953014119
2368,0.952881502
2367,0.953405145
2366,0.953089739
2365,0.952866828
2364,0.953336328
2363,0.953719533
