# wavelength (nm),transmission (I/F) 
8.000000000000000444e-01,0.000000000000000000e+00
8.000499999999999279e-01,0.000000000000000000e+00
8.000999999999999224e-01,0.000000000000000000e+00
8.001499999999999169e-01,0.000000000000000000e+00
8.001999999999998003e-01,0.000000000000000000e+00
8.002499999999997948e-01,0.000000000000000000e+00
8.002999999999996783e-01,0.000000000000000000e+00
8.003499999999996728e-01,0.000000000000000000e+00
8.003999999999996673e-01,0.000000000000000000e+00
8.004499999999995508e-01,0.000000000000000000e+00
8.004999999999995453e-01,0.000000000000000000e+00
8.005499999999995397e-01,0.000000000000000000e+00
8.005999999999994232e-01,0.000000000000000000e+00
8.006499999999994177e-01,0.000000000000000000e+00
8.006999999999994122e-01,0.000000000000000000e+00
8.007499999999992957e-01,0.000000000000000000e+00
8.007999999999992902e-01,0.000000000000000000e+00
8.008499999999991736e-01,0.000000000000000000e+00
8.008999999999991681e-01,0.000000000000000000e+00
8.009499999999991626e-01,0.000000000000000000e+00
8.009999999999990461e-01,0.000000000000000000e+00
8.010499999999990406e-01,0.000000000000000000e+00
8.010999999999990351e-01,0.000000000000000000e+00
8.011499999999989186e-01,0.000000000000000000e+00
8.011999999999989130e-01,0.000000000000000000e+00
8.012499999999989075e-01,0.000000000000000000e+00
8.012999999999987910e-01,0.000000000000000000e+00
8.013499999999987855e-01,0.000000000000000000e+00
8.013999999999987800e-01,0.000000000000000000e+00
8.014499999999986635e-01,0.000000000000000000e+00
8.014999999999986580e-01,0.000000000000000000e+00
8.015499999999985414e-01,0.000000000000000000e+00
8.015999999999985359e-01,0.000000000000000000e+00
8.016499999999985304e-01,0.000000000000000000e+00
8.016999999999984139e-01,0.000000000000000000e+00
8.017499999999984084e-01,0.000000000000000000e+00
8.017999999999984029e-01,0.000000000000000000e+00
8.018499999999982863e-01,0.000000000000000000e+00
8.018999999999982808e-01,0.000000000000000000e+00
8.019499999999982753e-01,0.000000000000000000e+00
8.019999999999981588e-01,0.000000000000000000e+00
8.020499999999981533e-01,0.000000000000000000e+00
