# wavelength (nm),transmission (I/F) 
8.000000000000000444e-01,8.173363280346067627e-01
8.000499999999999279e-01,8.173414997361967416e-01
8.000999999999999224e-01,8.173466714377867204e-01
8.001499999999999169e-01,8.173518431393768102e-01
8.001999999999998003e-01,8.173570148409667890e-01
8.002499999999997948e-01,8.173621865425567679e-01
8.002999999999996783e-01,8.173673582441467467e-01
8.003499999999996728e-01,8.173725299457367255e-01
8.003999999999996673e-01,8.173777016473267043e-01
8.004499999999995508e-01,8.173828733489167941e-01
8.004999999999995453e-01,8.173880450505067730e-01
8.005499999999995397e-01,8.173932167520966408e-01
8.005999999999994232e-01,8.173983884536866196e-01
8.006499999999994177e-01,8.174035601552765984e-01
8.006999999999994122e-01,8.174087318568666882e-01
8.007499999999992957e-01,8.174139035584566670e-01
8.007999999999992902e-01,8.174190752600466459e-01
8.008499999999991736e-01,8.174242469616366247e-01
8.008999999999991681e-01,8.174294186632266035e-01
8.009499999999991626e-01,8.174345903648165823e-01
8.009999999999990461e-01,8.174397620664066721e-01
8.010499999999990406e-01,8.174449337679966510e-01
8.010999999999990351e-01,8.174501054695866298e-01
8.011499999999989186e-01,8.174552771711766086e-01
8.011999999999989130e-01,8.174604488727665874e-01
8.012499999999989075e-01,8.174656205743566773e-01
8.012999999999987910e-01,8.174707922759466561e-01
8.013499999999987855e-01,8.174759639775366349e-01
8.013999999999987800e-01,8.174811356791266137e-01
8.014499999999986635e-01,8.174863073807165925e-01
8.014999999999986580e-01,8.174914790823064603e-01
8.015499999999985414e-01,8.174966507838965502e-01
8.015999999999985359e-01,8.175018224854865290e-01
8.016499999999985304e-01,8.175069941870765078e-01
8.016999999999984139e-01,8.175121658886664866e-01
8.017499999999984084e-01,8.175173375902564654e-01
8.017999999999984029e-01,8.175225092918465553e-01
8.018499999999982863e-01,8.175276809934365341e-01
8.018999999999982808e-01,8.175328526950265129e-01
8.019499999999982753e-01,8.175380243966164917e-01
8.019999999999981588e-01,8.175431960982064705e-01
8.020499999999981533e-01,8.175483677997964493e-01
8.020999999999980368e-01,8.175535395013865392e-01
