# wavelength (nm),transmission (I/F) 
8.000000000000000000e+02,2.067908094579584699e-04
8.000499999999999545e+02,2.063418042755590974e-04
8.000999999999999091e+02,2.059013625910721093e-04
8.001499999999998636e+02,2.054627161384963829e-04
8.001999999999998181e+02,2.050247032720736002e-04
8.002499999999997726e+02,2.045873235091352500e-04
8.002999999999997272e+02,2.041505763669719737e-04
8.003499999999996817e+02,2.037144613628347851e-04
8.003999999999996362e+02,2.032789780139366155e-04
8.004499999999995907e+02,2.028441258374498468e-04
8.004999999999995453e+02,2.024099043505103777e-04
8.005499999999994998e+02,2.019763130702140728e-04
8.005999999999994543e+02,2.015433515136192289e-04
8.006499999999994088e+02,2.011106777224496431e-04
8.006999999999993634e+02,2.006765102521642253e-04
8.007499999999993179e+02,2.002429812814995500e-04
8.007999999999992724e+02,1.998100903064932942e-04
8.008499999999992269e+02,1.993778368231653264e-04
8.008999999999991815e+02,1.989462203275163793e-04
8.009499999999991360e+02,1.985152403155290520e-04
8.009999999999990905e+02,1.980848962831693828e-04
8.010499999999990450e+02,1.976551877263840024e-04
8.010999999999989996e+02,1.972261141411044442e-04
8.011499999999989541e+02,1.967976750232447859e-04
8.011999999999989086e+02,1.963725640147856368e-04
8.012499999999988631e+02,1.959540225562064698e-04
8.012999999999988177e+02,1.955360786569268440e-04
8.013499999999987722e+02,1.951187318829028180e-04
8.013999999999987267e+02,1.947019818000214142e-04
8.014499999999986812e+02,1.942853901089558683e-04
8.014999999999986358e+02,1.938626806822309797e-04
8.015499999999985903e+02,1.934405962658209972e-04
8.015999999999985448e+02,1.930191363656861886e-04
8.016499999999984993e+02,1.925983004877662762e-04
8.016999999999984539e+02,1.921780881379821714e-04
8.017499999999984084e+02,1.917584988222371402e-04
8.017999999999983629e+02,1.913395320464147161e-04
8.018499999999983174e+02,1.909211891941969678e-04
8.018999999999982720e+02,1.905037901623792278e-04
8.019499999999982265e+02,1.900870107673701206e-04
8.019999999999981810e+02,1.896708505181592293e-04
8.020499999999981355e+02,1.897810181151514733e-04
8.020999999999980901e+02,1.898894987457101205e-04
8.021499999999980446e+02,1.899962970660182705e-04
8.021999999999979991e+02,1.901014177268032634e-04
8.022499999999979536e+02,1.902048653733158902e-04
8.022999999999979082e+02,1.903066446453320463e-04
8.023499999999978627e+02,1.904109689439726250e-04
8.023999999999978172e+02,1.905150379189529588e-04
8.024499999999977717e+02,1.906174592832727578e-04
8.024999999999977263e+02,1.907182375113478416e-04
8.025499999999976808e+02,1.908173770726016578e-04
8.025999999999976353e+02,1.909148824314617593e-04
8.026499999999975898e+02,1.910107580473623242e-04
8.026999999999975444e+02,1.911050083747417713e-04
8.027499999999974989e+02,1.911976378630433015e-04
8.027999999999974534e+02,1.912886509567134888e-04
8.028499999999974079e+02,1.913780520952029307e-04
8.028999999999973625e+02,1.914658457129653809e-04
8.029499999999973170e+02,1.915520362394568276e-04
8.029999999999972715e+02,1.916366280991362253e-04
8.030499999999972260e+02,1.917197243344460455e-04
8.030999999999971806e+02,1.917947951294382710e-04
8.031499999999971351e+02,1.918676120029228383e-04
8.031999999999970896e+02,1.919388410214350072e-04
8.032499999999970441e+02,1.920084867552223056e-04
8.032999999999969987e+02,1.920765537689461265e-04
8.033499999999969532e+02,1.921430466216857938e-04
8.033999999999969077e+02,1.922079698669353911e-04
8.034499999999968622e+02,1.922697108393155358e-04
8.034999999999968168e+02,1.923229961407246281e-04
8.035499999999967713e+02,1.923747188865149442e-04
8.035999999999967258e+02,1.924248838123738582e-04
8.036499999999966803e+02,1.924734956476642945e-04
8.036999999999966349e+02,1.925205614551470025e-04
8.037499999999965894e+02,1.925662837054578885e-04
8.037999999999965439e+02,1.926104671066392981e-04
8.038499999999964984e+02,1.926531163579375675e-04
8.038999999999964530e+02,1.926981866153308989e-04
8.039499999999964075e+02,1.927425464270098737e-04
8.039999999999963620e+02,1.927853890991576839e-04
8.040499999999963165e+02,1.928266200082578421e-04
8.040999999999962711e+02,1.928663428571784455e-04
8.041499999999962256e+02,1.929045621992722518e-04
8.041999999999961801e+02,1.929412825820032019e-04
8.042499999999961346e+02,1.929765085469458503e-04
8.042999999999960892e+02,1.930102446297883741e-04
8.043499999999960437e+02,1.930424953603306754e-04
8.043999999999959982e+02,1.930732652624880677e-04
8.044499999999959527e+02,1.931025588542895955e-04
8.044999999999959073e+02,1.931303806478803652e-04
8.045499999999958618e+02,1.931567351495226020e-04
8.045999999999958163e+02,1.931870206241218413e-04
8.046499999999957708e+02,1.932190265087870625e-04
8.046999999999957254e+02,1.932549809943915036e-04
8.047499999999956799e+02,1.932912696159583602e-04
8.047999999999956344e+02,1.933261205589900222e-04
8.048499999999955890e+02,1.933595379456622078e-04
8.048999999999955435e+02,1.933915258935410683e-04
8.049499999999954980e+02,1.934220885155795019e-04
8.049999999999954525e+02,1.934512299201197015e-04
8.050499999999954071e+02,1.934789542108894414e-04
8.050999999999953616e+02,1.935052654870021856e-04
8.051499999999953161e+02,1.935301678429589582e-04
8.051999999999952706e+02,1.935536653686439250e-04
8.052499999999952252e+02,1.935757621493257763e-04
8.052999999999951797e+02,1.935964622656580517e-04
8.053499999999951342e+02,1.936157697936755355e-04
8.053999999999950887e+02,1.936336888047966145e-04
8.054499999999950433e+02,1.936502233658210829e-04
8.054999999999949978e+02,1.936702394338351522e-04
8.055499999999949523e+02,1.936912142235337818e-04
8.055999999999949068e+02,1.937105163027820357e-04
8.056499999999948614e+02,1.937284522621662473e-04
8.056999999999948159e+02,1.937448284986410102e-04
8.057499999999947704e+02,1.937571731590113759e-04
8.057999999999947249e+02,1.937681624923668982e-04
8.058499999999946795e+02,1.937778004450710226e-04
8.058999999999946340e+02,1.937860909591669471e-04
8.059499999999945885e+02,1.937930379723772426e-04
8.059999999999945430e+02,1.937986454181027417e-04
8.060499999999944976e+02,1.938029172254227559e-04
8.060999999999944521e+02,1.938058573190923372e-04
8.061499999999944066e+02,1.938074696195429022e-04
8.061999999999943611e+02,1.938077580428809038e-04
8.062499999999943157e+02,1.938067265008860691e-04
8.062999999999942702e+02,1.938058170383225693e-04
8.063499999999942247e+02,1.938045621405537543e-04
8.063999999999941792e+02,1.938019992318283397e-04
8.064499999999941338e+02,1.937981321581363668e-04
8.064999999999940883e+02,1.937929647613164394e-04
8.065499999999940428e+02,1.937865008790527971e-04
8.065999999999939973e+02,1.937787443448753418e-04
8.066499999999939519e+02,1.937696989881578218e-04
8.066999999999939064e+02,1.937593686341170462e-04
8.067499999999938609e+02,1.937477571038123962e-04
8.067999999999938154e+02,1.937348682141442539e-04
8.068499999999937700e+02,1.937221673537292493e-04
8.068999999999937245e+02,1.937096113719891381e-04
8.069499999999936790e+02,1.936957895206185820e-04
8.069999999999936335e+02,1.936807055436864109e-04
8.070499999999935881e+02,1.936644627831615858e-04
8.070999999999935426e+02,1.936457124002765402e-04
8.071499999999934971e+02,1.936245587828524151e-04
8.071999999999934516e+02,1.936021581402140796e-04
8.072499999999934062e+02,1.935785142410590732e-04
8.072999999999933607e+02,1.935536308499534474e-04
8.073499999999933152e+02,1.935275117273298684e-04
8.073999999999932697e+02,1.935001606294868039e-04
8.074499999999932243e+02,1.934715813085881168e-04
8.074999999999931788e+02,1.934417775126620620e-04
8.075499999999931333e+02,1.934107529855986845e-04
8.075999999999930878e+02,1.933785114671510933e-04
8.076499999999930424e+02,1.933450566929328322e-04
8.076999999999929969e+02,1.933103923944171478e-04
8.077499999999929514e+02,1.932745222989371253e-04
8.077999999999929059e+02,1.932374501296824901e-04
8.078499999999928605e+02,1.931991796057009084e-04
8.078999999999928150e+02,1.931597144418957925e-04
8.079499999999927695e+02,1.931190583490246463e-04
8.079999999999927240e+02,1.930826585990623500e-04
8.080499999999926786e+02,1.926439344781211507e-04
8.080999999999926331e+02,1.922058543843915303e-04
8.081499999999925876e+02,1.917684178860763397e-04
8.081999999999925421e+02,1.913316245511611829e-04
8.082499999999924967e+02,1.908954739474719067e-04
8.082999999999924512e+02,1.904599656426746006e-04
8.083499999999924057e+02,1.900250992042776569e-04
8.083999999999923602e+02,1.895908741996287351e-04
8.084499999999923148e+02,1.891572901959191527e-04
8.084999999999922693e+02,1.887243467601810933e-04
8.085499999999922238e+02,1.882920434592883115e-04
8.085999999999921783e+02,1.878603798599587078e-04
8.086499999999921329e+02,1.874293555287511847e-04
8.086999999999920874e+02,1.870006769939339402e-04
8.087499999999920419e+02,1.865755725123216437e-04
8.087999999999919964e+02,1.861510853990767944e-04
8.088499999999919510e+02,1.857272152626367960e-04
8.088999999999919055e+02,1.853039617112537351e-04
8.089499999999918600e+02,1.848813243529960886e-04
8.089999999999918145e+02,1.844593027957467724e-04
8.090499999999917691e+02,1.840378966472053094e-04
8.090999999999917236e+02,1.836181642853402715e-04
8.091499999999916781e+02,1.832007158548466807e-04
8.091999999999916326e+02,1.827838696118750240e-04
8.092499999999915872e+02,1.823676328401736401e-04
8.092999999999915417e+02,1.819522540171428595e-04
8.093499999999914962e+02,1.815374750686458603e-04
8.093999999999914507e+02,1.811232956280763202e-04
8.094499999999914053e+02,1.807097153286272857e-04
8.094999999999913598e+02,1.802967338032933668e-04
8.095499999999913143e+02,1.798843506848695720e-04
8.095999999999912689e+02,1.794725656059518505e-04
8.096499999999912234e+02,1.790613781989377964e-04
8.096999999999911779e+02,1.786507880960268389e-04
8.097499999999911324e+02,1.782407949292194019e-04
8.097999999999910870e+02,1.778313983303184218e-04
8.098499999999910415e+02,1.774225979309289412e-04
8.098999999999909960e+02,1.770143933624583523e-04
8.099499999999909505e+02,1.766067842561171023e-04
8.099999999999909051e+02,1.761997702429182863e-04
8.100499999999908596e+02,1.765258232491850442e-04
8.100999999999908141e+02,1.768490887357083974e-04
8.101499999999907686e+02,1.771695737575908604e-04
8.101999999999907232e+02,1.774872853637095131e-04
8.102499999999906777e+02,1.778000373832135887e-04
8.102999999999906322e+02,1.781095601172023196e-04
8.103499999999905867e+02,1.784163209666884834e-04
8.103999999999905413e+02,1.787203270759598727e-04
8.104499999999904958e+02,1.790215855825419216e-04
8.104999999999904503e+02,1.793201036171923385e-04
8.105499999999904048e+02,1.796158883038983416e-04
8.105999999999903594e+02,1.799089467598735421e-04
8.106499999999903139e+02,1.801992860955538235e-04
8.106999999999902684e+02,1.804869134145944422e-04
8.107499999999902229e+02,1.807718358138659883e-04
8.107999999999901775e+02,1.810540603834523529e-04
8.108499999999901320e+02,1.813335942066447650e-04
8.108999999999900865e+02,1.816104443599414660e-04
8.109499999999900410e+02,1.818846179130417199e-04
8.109999999999899956e+02,1.821561219288426688e-04
8.110499999999899501e+02,1.824249634634389809e-04
8.110999999999899046e+02,1.826911556980613939e-04
8.111499999999898591e+02,1.829548704790205811e-04
8.111999999999898137e+02,1.832159444098796182e-04
8.112499999999897682e+02,1.834743845118248177e-04
8.112999999999897227e+02,1.837301977992491250e-04
8.113499999999896772e+02,1.839833912797467252e-04
8.113999999999896318e+02,1.842339719541120392e-04
8.114499999999895863e+02,1.844819468163327316e-04
8.114999999999895408e+02,1.847273228535899268e-04
8.115499999999894953e+02,1.849701070462533847e-04
8.115999999999894499e+02,1.852103063678769469e-04
8.116499999999894044e+02,1.854479277851982656e-04
8.116999999999893589e+02,1.856829782581314583e-04
8.117499999999893134e+02,1.859154647397667824e-04
8.117999999999892680e+02,1.861453941763668678e-04
8.118499999999892225e+02,1.863727735073617562e-04
8.118999999999891770e+02,1.865978797535238984e-04
8.119499999999891315e+02,1.868248524397556770e-04
8.119999999999890861e+02,1.870493074891568352e-04
8.120499999999890406e+02,1.869380287595599646e-04
8.120999999999889951e+02,1.868258309646074543e-04
8.121499999999889496e+02,1.867127172514239548e-04
8.121999999999889042e+02,1.865986907638309325e-04
8.122499999999888587e+02,1.864837546424241352e-04
8.122999999999888132e+02,1.863679120245668433e-04
8.123499999999887677e+02,1.862511660443894360e-04
8.123999999999887223e+02,1.861335198327887682e-04
8.124499999999886768e+02,1.860149765174239685e-04
8.124999999999886313e+02,1.858935756549827108e-04
8.125499999999885858e+02,1.857704650958911944e-04
8.125999999999885404e+02,1.856464700217372744e-04
8.126499999999884949e+02,1.855215935876794583e-04
8.126999999999884494e+02,1.853958389454568969e-04
8.127499999999884039e+02,1.852692092433881642e-04
8.127999999999883585e+02,1.851417076263675175e-04
8.128499999999883130e+02,1.850133372358659268e-04
8.128999999999882675e+02,1.848841012099276598e-04
8.129499999999882220e+02,1.847539954495544762e-04
8.129999999999881766e+02,1.846228589121886416e-04
8.130499999999881311e+02,1.844908663896283518e-04
8.130999999999880856e+02,1.843580210086707136e-04
8.131499999999880401e+02,1.842243258926661009e-04
8.131999999999879947e+02,1.840897841615175314e-04
8.132499999999879492e+02,1.839543989316786874e-04
8.132999999999879037e+02,1.838181733161521549e-04
8.133499999999878582e+02,1.836811104244879048e-04
8.133999999999878128e+02,1.835432133627820737e-04
8.134499999999877673e+02,1.834044852336752290e-04
8.134999999999877218e+02,1.832649291363506073e-04
8.135499999999876763e+02,1.831390591243994912e-04
8.135999999999876309e+02,1.830154822503921215e-04
8.136499999999875854e+02,1.829004590198043175e-04
8.136999999999875399e+02,1.827845848625069393e-04
8.137499999999874944e+02,1.826678624865443875e-04
8.137999999999874490e+02,1.825502945981205484e-04
8.138499999999874035e+02,1.824318839015941587e-04
8.138999999999873580e+02,1.823126330994775317e-04
8.139499999999873125e+02,1.821925448924321120e-04
8.139999999999872671e+02,1.820716219792666327e-04
8.140499999999872216e+02,1.819499605993728209e-04
8.140999999999871761e+02,1.818274697788795264e-04
8.141499999999871306e+02,1.817041522097438667e-04
8.141999999999870852e+02,1.815800105820623053e-04
8.142499999999870397e+02,1.814550475840698122e-04
8.142999999999869942e+02,1.813292659021339276e-04
8.143499999999869488e+02,1.812026682207544905e-04
8.143999999999869033e+02,1.810752572225594382e-04
8.144499999999868578e+02,1.809470355883012547e-04
8.144999999999868123e+02,1.808180059968551823e-04
8.145499999999867669e+02,1.806881711252148305e-04
8.145999999999867214e+02,1.805575336484908477e-04
