# wavelength (nm),transmission (I/F) 
8.000000000000000000e+02,-2.004491041867401647e-09
8.000499999999999545e+02,-2.001833123349335101e-09
8.000999999999999091e+02,-1.999254220645053101e-09
8.001499999999998636e+02,-1.996688758630077977e-09
8.001999999999998181e+02,-1.994125471323857388e-09
8.002499999999997726e+02,-1.991564357815410709e-09
8.002999999999997272e+02,-1.989005417193611730e-09
8.003499999999996817e+02,-1.986448648547182039e-09
8.003999999999996362e+02,-1.983894050964695987e-09
8.004499999999995907e+02,-1.981341623534574484e-09
8.004999999999995453e+02,-1.978791365345096576e-09
8.005499999999994998e+02,-1.976243275484391592e-09
8.005999999999994543e+02,-1.973697353040432520e-09
8.006499999999994088e+02,-1.971150250192150167e-09
8.006999999999993634e+02,-1.968584486631425019e-09
8.007499999999993179e+02,-1.966020946563934018e-09
8.007999999999992724e+02,-1.963459629010339987e-09
8.008499999999992269e+02,-1.960900532991187463e-09
8.008999999999991815e+02,-1.958343657526906003e-09
8.009499999999991360e+02,-1.955789001637791574e-09
8.009999999999990905e+02,-1.953236564344038402e-09
8.010499999999990450e+02,-1.950752315301956269e-09
8.010999999999989996e+02,-1.948270105120595371e-09
8.011499999999989541e+02,-1.945789933066509136e-09
8.011999999999989086e+02,-1.943338460163561108e-09
8.012499999999988631e+02,-1.940947869762194079e-09
8.012999999999988177e+02,-1.938559118984811763e-09
8.013499999999987722e+02,-1.936172207290880578e-09
8.013999999999987267e+02,-1.933787134139546828e-09
8.014499999999986812e+02,-1.931399546153101467e-09
8.014999999999986358e+02,-1.928946987356200145e-09
8.015499999999985903e+02,-1.926496431142245783e-09
8.015999999999985448e+02,-1.924047876800521903e-09
8.016499999999984993e+02,-1.921601323620018793e-09
8.016999999999984539e+02,-1.919156770889450462e-09
8.017499999999984084e+02,-1.916714217897239336e-09
8.017999999999983629e+02,-1.914273663931525775e-09
8.018499999999983174e+02,-1.911835127084122896e-09
8.018999999999982720e+02,-1.909401817942989467e-09
8.019499999999982265e+02,-1.906970497393729083e-09
8.019999999999981810e+02,-1.904541164733576540e-09
8.020499999999981355e+02,-1.906704720701073596e-09
8.020999999999980901e+02,-1.908854978846447352e-09
8.021499999999980446e+02,-1.910991968552569298e-09
8.021999999999979991e+02,-1.913115719161582208e-09
8.022499999999979536e+02,-1.915226259974773989e-09
8.022999999999979082e+02,-1.917323620252624835e-09
8.023499999999978627e+02,-1.919450255964697345e-09
8.023999999999978172e+02,-1.921577976119887646e-09
8.024499999999977717e+02,-1.923692736437480140e-09
8.024999999999977263e+02,-1.925794564904488549e-09
8.025499999999976808e+02,-1.927883489470255546e-09
8.025999999999976353e+02,-1.929959538046466408e-09
8.026499999999975898e+02,-1.932022738507207330e-09
8.026999999999975444e+02,-1.934073118688983211e-09
8.027499999999974989e+02,-1.936110706390758600e-09
8.027999999999974534e+02,-1.938135529373992019e-09
8.028499999999974079e+02,-1.940147615362657891e-09
8.028999999999973625e+02,-1.942146992043309398e-09
8.029499999999973170e+02,-1.944133687065075178e-09
8.029999999999972715e+02,-1.946107728039723431e-09
8.030499999999972260e+02,-1.948458677780623983e-09
8.030999999999971806e+02,-1.950732447779440573e-09
8.031499999999971351e+02,-1.952987608352672082e-09
8.031999999999970896e+02,-1.955230903777672188e-09
8.032499999999970441e+02,-1.957462355541956150e-09
8.032999999999969987e+02,-1.959681985111570174e-09
8.033499999999969532e+02,-1.961889813931145169e-09
8.033999999999969077e+02,-1.964085863423873592e-09
8.034499999999968622e+02,-1.966253616497414439e-09
8.034999999999968168e+02,-1.968339038333263028e-09
8.035499999999967713e+02,-1.970412540956862851e-09
8.035999999999967258e+02,-1.972474147213343901e-09
8.036499999999966803e+02,-1.974523879923119185e-09
8.036999999999966349e+02,-1.976561785903243631e-09
8.037499999999965894e+02,-1.978589919873652240e-09
8.037999999999965439e+02,-1.980606252833222940e-09
8.038499999999964984e+02,-1.982610807466543616e-09
8.038999999999964530e+02,-1.984644293188649912e-09
8.039499999999964075e+02,-1.986674503943518547e-09
8.039999999999963620e+02,-1.988693112735129444e-09
8.040499999999963165e+02,-1.990458658426358778e-09
8.040999999999962711e+02,-1.992212185496903734e-09
8.041499999999962256e+02,-1.993953719927297186e-09
8.041999999999961801e+02,-1.995683287664098047e-09
8.042499999999961346e+02,-1.997400914619916083e-09
8.042999999999960892e+02,-1.999106626673473953e-09
8.043499999999960437e+02,-2.000800449669601416e-09
8.043999999999959982e+02,-2.002482409419294476e-09
8.044499999999959527e+02,-2.004152531699716625e-09
8.044999999999959073e+02,-2.005810842254248883e-09
8.045499999999958618e+02,-2.007457366792513789e-09
8.045999999999958163e+02,-2.009148226231149245e-09
8.046499999999957708e+02,-2.010860509285847228e-09
8.046999999999957254e+02,-2.012617468383965904e-09
8.047499999999956799e+02,-2.014381530940920240e-09
8.047999999999956344e+02,-2.016134237273995285e-09
8.048499999999955890e+02,-2.017875610171337799e-09
8.048999999999955435e+02,-2.019605672394374540e-09
8.049499999999954980e+02,-2.021324446677805649e-09
8.049999999999954525e+02,-2.023031955729656758e-09
8.050499999999954071e+02,-2.025494459366066788e-09
8.050999999999953616e+02,-2.027947259926241967e-09
8.051499999999953161e+02,-2.030390367989280527e-09
8.051999999999952706e+02,-2.032823794134188881e-09
8.052499999999952252e+02,-2.035247548939802218e-09
8.052999999999951797e+02,-2.037661642984786568e-09
8.053499999999951342e+02,-2.040066086847622257e-09
8.053999999999950887e+02,-2.042460891106603083e-09
8.054499999999950433e+02,-2.044846066339825562e-09
8.054999999999949978e+02,-2.047273017837577323e-09
8.055499999999949523e+02,-2.049715183358872203e-09
8.055999999999949068e+02,-2.052144734306668386e-09
8.056499999999948614e+02,-2.054564879977472368e-09
8.056999999999948159e+02,-2.056973533119273677e-09
8.057499999999947704e+02,-2.059344383054436081e-09
8.057999999999947249e+02,-2.061705780546898451e-09
8.058499999999946795e+02,-2.064057735606768357e-09
8.058999999999946340e+02,-2.066400258244557861e-09
8.059499999999945885e+02,-2.068733358471189723e-09
8.059999999999945430e+02,-2.071057046297982504e-09
8.060499999999944976e+02,-2.072613154935073801e-09
8.060999999999944521e+02,-2.074158514213251875e-09
8.061499999999944066e+02,-2.075693145359648353e-09
8.061999999999943611e+02,-2.077217069577493064e-09
8.062499999999943157e+02,-2.078730308046204203e-09
8.062999999999942702e+02,-2.080248318417432768e-09
8.063499999999942247e+02,-2.081766092142173303e-09
8.063999999999941792e+02,-2.083273284261187130e-09
8.064499999999941338e+02,-2.084769915473904762e-09
