# wavelength (nm),transmission (I/F) 
8.000000000000000000e+02,2.631164243036517192e+00
8.000499999999999545e+02,2.626845162439038539e+00
8.000999999999999091e+02,2.622529489552197113e+00
8.001499999999998636e+02,2.618217226236909667e+00
8.001999999999998181e+02,2.613908373723702550e+00
8.002499999999997726e+02,2.609602933240698253e+00
8.002999999999997272e+02,2.605300906013583440e+00
8.003499999999996817e+02,2.601002293265617382e+00
8.003999999999996362e+02,2.596707096217644839e+00
8.004499999999995907e+02,2.592415316088056532e+00
8.004999999999995453e+02,2.588126954092835330e+00
8.005499999999994998e+02,2.583842011445502962e+00
8.005999999999994543e+02,2.579560489357149766e+00
8.006499999999994088e+02,2.575282389036432029e+00
8.006999999999993634e+02,2.571007711689548891e+00
8.007499999999993179e+02,2.566736458520260999e+00
8.007999999999992724e+02,2.562468630729865193e+00
8.008499999999992269e+02,2.558204229517223816e+00
8.008999999999991815e+02,2.553943256078728741e+00
8.009499999999991360e+02,2.549685711608318694e+00
8.009999999999990905e+02,2.545431597297477921e+00
8.010499999999990450e+02,2.541180914335209984e+00
8.010999999999989996e+02,2.536933663908070624e+00
8.011499999999989541e+02,2.532689847200138455e+00
8.011999999999989086e+02,2.528449465393014517e+00
8.012499999999988631e+02,2.524212519665835153e+00
8.012999999999988177e+02,2.519979011195254692e+00
8.013499999999987722e+02,2.515748941155453888e+00
8.013999999999987267e+02,2.511522310718122153e+00
8.014499999999986812e+02,2.507299121052464663e+00
8.014999999999986358e+02,2.503079373325213464e+00
8.015499999999985903e+02,2.498863068700584833e+00
8.015999999999985448e+02,2.494650208340329911e+00
8.016499999999984993e+02,2.490440793403684960e+00
8.016999999999984539e+02,2.486234825047390018e+00
8.017499999999984084e+02,2.482032304425696001e+00
8.017999999999983629e+02,2.477833232690333620e+00
8.018499999999983174e+02,2.473637635320135253e+00
8.018999999999982720e+02,2.469449666640032959e+00
8.019499999999982265e+02,2.465265136015936331e+00
8.019999999999981810e+02,2.461084044607249055e+00
8.020499999999981355e+02,2.456906393570867930e+00
8.020999999999980901e+02,2.452732184061177989e+00
8.021499999999980446e+02,2.448561417230050274e+00
8.021999999999979991e+02,2.444394094226840064e+00
8.022499999999979536e+02,2.440230216198377544e+00
8.022999999999979082e+02,2.436069784288972695e+00
8.023499999999978627e+02,2.431912799640409073e+00
8.023999999999978172e+02,2.427759263391941591e+00
8.024499999999977717e+02,2.423609176680296962e+00
8.024999999999977263e+02,2.419462540639659487e+00
8.025499999999976808e+02,2.415319356401690598e+00
8.025999999999976353e+02,2.411179625095495549e+00
8.026499999999975898e+02,2.407043347847653614e+00
8.026999999999975444e+02,2.402910525782188778e+00
8.027499999999974989e+02,2.398781160020582615e+00
8.027999999999974534e+02,2.394655251681763186e+00
8.028499999999974079e+02,2.390532801882106373e+00
8.028999999999973625e+02,2.386413811735436319e+00
8.029499999999973170e+02,2.382298282353010777e+00
8.029999999999972715e+02,2.378186214843537538e+00
8.030499999999972260e+02,2.374078831568473102e+00
8.030999999999971806e+02,2.369974908146320391e+00
8.031499999999971351e+02,2.365874445683466387e+00
8.031999999999970896e+02,2.361777445283716581e+00
8.032499999999970441e+02,2.357683908048315846e+00
8.032999999999969987e+02,2.353593835075922236e+00
8.033499999999969532e+02,2.349507227462628745e+00
8.033999999999969077e+02,2.345424086301932665e+00
8.034499999999968622e+02,2.341344412684756904e+00
8.034999999999968168e+02,2.337268207699439770e+00
8.035499999999967713e+02,2.333195472431723427e+00
8.035999999999967258e+02,2.329126207964769879e+00
8.036499999999966803e+02,2.325060415379120560e+00
8.036999999999966349e+02,2.320998123960024362e+00
8.037499999999965894e+02,2.316941713973743600e+00
8.037999999999965439e+02,2.312888770554423434e+00
8.038499999999964984e+02,2.308839294783257223e+00
8.038999999999964530e+02,2.304793287738826191e+00
8.039499999999964075e+02,2.300750750497118524e+00
8.039999999999963620e+02,2.296711684131495179e+00
8.040499999999963165e+02,2.292674910404770117e+00
8.040999999999962711e+02,2.288641613848386491e+00
8.041499999999962256e+02,2.284611795522470512e+00
8.041999999999961801e+02,2.280585456484533147e+00
8.042499999999961346e+02,2.276562597789445253e+00
8.042999999999960892e+02,2.272543220489460225e+00
8.043499999999960437e+02,2.268527325634190905e+00
8.043999999999959982e+02,2.264514914270625123e+00
8.044499999999959527e+02,2.260505987443104381e+00
8.044999999999959073e+02,2.256500546193335843e+00
8.045499999999958618e+02,2.252498591560392338e+00
8.045999999999958163e+02,2.248500124580683490e+00
8.046499999999957708e+02,2.244505146287993469e+00
8.046999999999957254e+02,2.240513657713436135e+00
8.047499999999956799e+02,2.236525659885473694e+00
8.047999999999956344e+02,2.232541153829931790e+00
8.048499999999955890e+02,2.228560140569953330e+00
8.048999999999955435e+02,2.224582621126034443e+00
8.049499999999954980e+02,2.220608596515995625e+00
8.049999999999954525e+02,2.216638067755003938e+00
8.050499999999954071e+02,2.212671035855545476e+00
8.050999999999953616e+02,2.208707501827428032e+00
8.051499999999953161e+02,2.204747466677805523e+00
8.051999999999952706e+02,2.200790931411128692e+00
8.052499999999952252e+02,2.196837897029181530e+00
8.052999999999951797e+02,2.192888364531061729e+00
8.053499999999951342e+02,2.188942334913174470e+00
8.053999999999950887e+02,2.184999809169239970e+00
8.054499999999950433e+02,2.181060788290287711e+00
8.054999999999949978e+02,2.177125273264647110e+00
8.055499999999949523e+02,2.173193205140168782e+00
8.055999999999949068e+02,2.169261254734272004e+00
8.056499999999948614e+02,2.165332825643764725e+00
8.056999999999948159e+02,2.161407918829261643e+00
8.057499999999947704e+02,2.157486535248674286e+00
8.057999999999947249e+02,2.153568675857183923e+00
8.058499999999946795e+02,2.149654341607264652e+00
8.058999999999946340e+02,2.145743533448655871e+00
8.059499999999945885e+02,2.141836252328373380e+00
8.059999999999945430e+02,2.137932499190702718e+00
8.060499999999944976e+02,2.134032274977198718e+00
8.060999999999944521e+02,2.130135580626683733e+00
8.061499999999944066e+02,2.126242417075236091e+00
8.061999999999943611e+02,2.122352785256200747e+00
8.062499999999943157e+02,2.118466686100171081e+00
8.062999999999942702e+02,2.114584120535002221e+00
8.063499999999942247e+02,2.110705089485794606e+00
8.063999999999941792e+02,2.106829593874902873e+00
8.064499999999941338e+02,2.102957634621916316e+00
8.064999999999940883e+02,2.099089212643680202e+00
8.065499999999940428e+02,2.095224328854266904e+00
8.065999999999939973e+02,2.091362984164997663e+00
8.066499999999939519e+02,2.087505179484419493e+00
8.066999999999939064e+02,2.083650915718310959e+00
8.067499999999938609e+02,2.079800193769682615e+00
8.067999999999938154e+02,2.075953014538772567e+00
8.068499999999937700e+02,2.072109378923032708e+00
8.068999999999937245e+02,2.068269287817144697e+00
8.069499999999936790e+02,2.064432742113004871e+00
8.069999999999936335e+02,2.060599742699714021e+00
8.070499999999935881e+02,2.056771348263516597e+00
8.070999999999935426e+02,2.052946497947258475e+00
8.071499999999934971e+02,2.049125192637183179e+00
8.071999999999934516e+02,2.045307433216731585e+00
8.072499999999934062e+02,2.041493220566552580e+00
8.072999999999933607e+02,2.037682555564495956e+00
8.073499999999933152e+02,2.033875439085605752e+00
8.073999999999932697e+02,2.030071872002115363e+00
8.074499999999932243e+02,2.026271855183452875e+00
8.074999999999931788e+02,2.022475389496237952e+00
8.075499999999931333e+02,2.018682475804263632e+00
8.075999999999930878e+02,2.014893114968516308e+00
8.076499999999930424e+02,2.011107307847158410e+00
8.076999999999929969e+02,2.007325055295522631e+00
8.077499999999929514e+02,2.003546358166127472e+00
8.077999999999929059e+02,1.999771217308645710e+00
8.078499999999928605e+02,1.995999633569933929e+00
8.078999999999928150e+02,1.992231607794006765e+00
8.079499999999927695e+02,1.988467140822032464e+00
8.079999999999927240e+02,1.984706233492356864e+00
8.080499999999926786e+02,1.980947867899002457e+00
8.080999999999926331e+02,1.977193067483273614e+00
8.081499999999925876e+02,1.973441833069426554e+00
8.081999999999925421e+02,1.969694165478876435e+00
8.082499999999924967e+02,1.965950065530180924e+00
8.082999999999924512e+02,1.962209534039024650e+00
8.083499999999924057e+02,1.958472571818254071e+00
8.083999999999923602e+02,1.954739179677820182e+00
8.084499999999923148e+02,1.951009358424834694e+00
8.084999999999922693e+02,1.947283108863519852e+00
8.085499999999922238e+02,1.943560431795224863e+00
8.085999999999921783e+02,1.939841328018435229e+00
8.086499999999921329e+02,1.936125798328740100e+00
8.086999999999920874e+02,1.932413843518860697e+00
8.087499999999920419e+02,1.928705464378623002e+00
8.087999999999919964e+02,1.925000661694969750e+00
8.088499999999919510e+02,1.921299436251951764e+00
8.088999999999919055e+02,1.917601788830719300e+00
8.089499999999918600e+02,1.913907720209539143e+00
8.089999999999918145e+02,1.910217231163765739e+00
8.090499999999917691e+02,1.906530322465857408e+00
8.090999999999917236e+02,1.902846994885364795e+00
8.091499999999916781e+02,1.899167249188931539e+00
8.091999999999916326e+02,1.895491086140290271e+00
8.092499999999915872e+02,1.891818585883467296e+00
8.092999999999915417e+02,1.888152331581075094e+00
8.093499999999914962e+02,1.884489651543105770e+00
8.093999999999914507e+02,1.880830546537320291e+00
8.094499999999914053e+02,1.877175017328549300e+00
8.094999999999913598e+02,1.873523064678705552e+00
8.095499999999913143e+02,1.869874689346771923e+00
8.095999999999912689e+02,1.866229892088799636e+00
8.096499999999912234e+02,1.862588673657909144e+00
8.096999999999911779e+02,1.858951034804288138e+00
8.097499999999911324e+02,1.855316976275176666e+00
8.097999999999910870e+02,1.851686498814879123e+00
8.098499999999910415e+02,1.848059603164754039e+00
8.098999999999909960e+02,1.844436290063210082e+00
8.099499999999909505e+02,1.840816560245706279e+00
8.099999999999909051e+02,1.837200414444750241e+00
8.100499999999908596e+02,1.833587853389892386e+00
8.100999999999908141e+02,1.829978877807720838e+00
8.101499999999907686e+02,1.826373488421861424e+00
