# wavelength (nm),transmission (I/F) 
8.000000000000000000e+02,-1.602483034445855678e-05
8.000499999999999545e+02,-1.601088676238766870e-05
8.000999999999999091e+02,-1.599694739344801136e-05
8.001499999999998636e+02,-1.598301224001507512e-05
8.001999999999998181e+02,-1.596908130446437742e-05
8.002499999999997726e+02,-1.595515458917156108e-05
8.002999999999997272e+02,-1.594123209651245865e-05
8.003499999999996817e+02,-1.592731382886300432e-05
8.003999999999996362e+02,-1.591339978859931863e-05
8.004499999999995907e+02,-1.589948997809760683e-05
8.004999999999995453e+02,-1.588558439973429101e-05
8.005499999999994998e+02,-1.587168305588587794e-05
8.005999999999994543e+02,-1.585778594892904382e-05
8.006499999999994088e+02,-1.584389308124061393e-05
8.006999999999993634e+02,-1.583000445519751857e-05
8.007499999999993179e+02,-1.581612007317691505e-05
8.007999999999992724e+02,-1.580223993755599455e-05
8.008499999999992269e+02,-1.578836405071215834e-05
8.008999999999991815e+02,-1.577449241502296352e-05
8.009499999999991360e+02,-1.576062503286604512e-05
8.009999999999990905e+02,-1.574676190661927197e-05
8.010499999999990450e+02,-1.573290303866054676e-05
8.010999999999989996e+02,-1.571904843136802968e-05
8.011499999999989541e+02,-1.570519808711994531e-05
8.011999999999989086e+02,-1.569135200829466391e-05
8.012499999999988631e+02,-1.567751019727072853e-05
8.012999999999988177e+02,-1.566367265642681437e-05
8.013499999999987722e+02,-1.564983938814173891e-05
8.013999999999987267e+02,-1.563601039479445856e-05
8.014499999999986812e+02,-1.562218567876406188e-05
8.014999999999986358e+02,-1.560836524242981697e-05
8.015499999999985903e+02,-1.559454908817106648e-05
8.015999999999985448e+02,-1.558073721836737330e-05
8.016499999999984993e+02,-1.556692963539838502e-05
8.016999999999984539e+02,-1.555312634164391863e-05
8.017499999999984084e+02,-1.553932733948390970e-05
8.017999999999983629e+02,-1.552553263129846322e-05
8.018499999999983174e+02,-1.551174237203438111e-05
8.018999999999982720e+02,-1.549798262931123641e-05
8.019499999999982265e+02,-1.548422714070297774e-05
8.019999999999981810e+02,-1.547047590861244442e-05
8.020499999999981355e+02,-1.545672893544270622e-05
8.020999999999980901e+02,-1.544298622359695144e-05
8.021499999999980446e+02,-1.542924777547856832e-05
8.021999999999979991e+02,-1.541551359349105011e-05
8.022499999999979536e+02,-1.540178368003806625e-05
8.022999999999979082e+02,-1.538805803752348270e-05
8.023499999999978627e+02,-1.537433666835123994e-05
8.023999999999978172e+02,-1.536061957492550548e-05
8.024499999999977717e+02,-1.534690675965057216e-05
8.024999999999977263e+02,-1.533319822493087853e-05
8.025499999999976808e+02,-1.531949397317106644e-05
8.025999999999976353e+02,-1.530579400677586918e-05
8.026499999999975898e+02,-1.529209832815023353e-05
8.026999999999975444e+02,-1.527840693969921467e-05
8.027499999999974989e+02,-1.526471984382805753e-05
8.027999999999974534e+02,-1.525103704294217304e-05
8.028499999999974079e+02,-1.523735853944702805e-05
8.028999999999973625e+02,-1.522368433574840280e-05
8.029499999999973170e+02,-1.521001443425210804e-05
8.029999999999972715e+02,-1.519634883736416795e-05
8.030499999999972260e+02,-1.518269535765581898e-05
8.030999999999971806e+02,-1.516904617327748169e-05
8.031499999999971351e+02,-1.515540128664245627e-05
8.031999999999970896e+02,-1.514176070016407343e-05
8.032499999999970441e+02,-1.512812441625593831e-05
8.032999999999969987e+02,-1.511449243733172041e-05
