# wavelength (nm),transmission (I/F) 
8.000000000000000000e+02,1.313889600542545644e+01
8.000499999999999545e+02,1.311557248789348584e+01
8.000999999999999091e+02,1.309227214865542344e+01
8.001499999999998636e+02,1.306899498810368243e+01
8.001999999999998181e+02,1.304574100348346555e+01
8.002499999999997726e+02,1.302251019202861926e+01
8.002999999999997272e+02,1.299930255096155918e+01
8.003499999999996817e+02,1.297611807749326829e+01
8.003999999999996362e+02,1.295295676882332359e+01
8.004499999999995907e+02,1.292981862213984456e+01
8.004999999999995453e+02,1.290670363461956605e+01
8.005499999999994998e+02,1.288361180342770140e+01
8.005999999999994543e+02,1.286054312571807934e+01
8.006499999999994088e+02,1.283749759863305862e+01
8.006999999999993634e+02,1.281447521930352806e+01
8.007499999999993179e+02,1.279147598484892079e+01
8.007999999999992724e+02,1.276849989237718574e+01
8.008499999999992269e+02,1.274554693898481794e+01
8.008999999999991815e+02,1.272261712175682291e+01
8.009499999999991360e+02,1.269971043776670960e+01
8.009999999999990905e+02,1.267682688407653302e+01
8.010499999999990450e+02,1.265396645773678586e+01
8.010999999999989996e+02,1.263112915578652284e+01
8.011499999999989541e+02,1.260831497525325418e+01
8.011999999999989086e+02,1.258552391315298458e+01
8.012499999999988631e+02,1.256275596649020443e+01
8.012999999999988177e+02,1.254001113225786490e+01
8.013499999999987722e+02,1.251728940743742768e+01
8.013999999999987267e+02,1.249459078899877440e+01
8.014499999999986812e+02,1.247191527390025456e+01
8.014999999999986358e+02,1.244926285908870689e+01
8.015499999999985903e+02,1.242663354149935806e+01
8.015999999999985448e+02,1.240402731805594172e+01
8.016499999999984993e+02,1.238144418567058658e+01
8.016999999999984539e+02,1.235888414124386436e+01
8.017499999999984084e+02,1.233634718166479516e+01
8.017999999999983629e+02,1.231383330381077101e+01
8.018499999999983174e+02,1.229134262543981215e+01
8.018999999999982720e+02,1.226889577747365756e+01
8.019499999999982265e+02,1.224647192533514151e+01
8.019999999999981810e+02,1.222407106597349191e+01
8.020499999999981355e+02,1.220169319632633353e+01
