# wavelength (nm),transmission (I/F) 
8.000000000000000000e+02,4.602387068836729656e-01
8.000499999999999545e+02,4.587426264571556334e-01
8.000999999999999091e+02,4.572494284321492186e-01
8.001499999999998636e+02,4.557591105530480191e-01
8.001999999999998181e+02,4.542716705625723939e-01
8.002499999999997726e+02,4.527871062017761461e-01
8.002999999999997272e+02,4.513054152100485217e-01
8.003499999999996817e+02,4.498265953251165405e-01
8.003999999999996362e+02,4.483506442830463290e-01
8.004499999999995907e+02,4.468775598182448960e-01
8.004999999999995453e+02,4.454073396634652959e-01
8.005499999999994998e+02,4.439399815498031310e-01
8.005999999999994543e+02,4.424754832067054888e-01
8.006499999999994088e+02,4.410138423619662795e-01
8.006999999999993634e+02,4.395550567417333410e-01
8.007499999999993179e+02,4.380991240705092160e-01
8.007999999999992724e+02,4.366460420711515411e-01
8.008499999999992269e+02,4.351958084648769320e-01
8.008999999999991815e+02,4.337484209712632044e-01
8.009499999999991360e+02,4.323038773082508168e-01
8.009999999999990905e+02,4.308621751921448695e-01
8.010499999999990450e+02,4.294233123376174355e-01
8.010999999999989996e+02,4.279872864577105585e-01
8.011499999999989541e+02,4.265540952638369188e-01
8.011999999999989086e+02,4.251237364657830531e-01
8.012499999999988631e+02,4.236962077717108532e-01
8.012999999999988177e+02,4.222715068881605083e-01
8.013499999999987722e+02,4.208496315200519478e-01
8.013999999999987267e+02,4.194305793706872842e-01
8.014499999999986812e+02,4.180143481417527007e-01
8.014999999999986358e+02,4.166009355333217812e-01
8.015499999999985903e+02,4.151903392438552332e-01
8.015999999999985448e+02,4.137825569702070494e-01
8.016499999999984993e+02,4.123775864076211772e-01
8.016999999999984539e+02,4.109754252497391236e-01
8.017499999999984084e+02,4.095760711885985672e-01
8.017999999999983629e+02,4.081795219146374110e-01
8.018499999999983174e+02,4.067857791176585636e-01
8.018999999999982720e+02,4.053955222678409243e-01
8.019499999999982265e+02,4.040080585403507674e-01
8.019999999999981810e+02,4.026233856335419414e-01
8.020499999999981355e+02,4.012415012441646889e-01
8.020999999999980901e+02,3.998624030673645358e-01
8.021499999999980446e+02,3.984860887966886200e-01
8.021999999999979991e+02,3.971125561240831381e-01
8.022499999999979536e+02,3.957418027398980076e-01
8.022999999999979082e+02,3.943738263328906979e-01
8.023499999999978627e+02,3.930086245902232878e-01
8.023999999999978172e+02,3.916461951974716804e-01
8.024499999999977717e+02,3.902865358386215511e-01
8.024999999999977263e+02,3.889296441960736761e-01
8.025499999999976808e+02,3.875755179506465420e-01
8.025999999999976353e+02,3.862241547815764009e-01
8.026499999999975898e+02,3.848755523665220446e-01
8.026999999999975444e+02,3.835297083815643049e-01
8.027499999999974989e+02,3.821866205012110496e-01
8.027999999999974534e+02,3.808462863983982927e-01
8.028499999999974079e+02,3.795087037444893618e-01
8.028999999999973625e+02,3.781738702092841686e-01
8.029499999999973170e+02,3.768417834610143236e-01
8.029999999999972715e+02,3.755124411663503525e-01
8.030499999999972260e+02,3.741860334762945883e-01
8.030999999999971806e+02,3.728623642054952891e-01
8.031499999999971351e+02,3.715414310201828885e-01
8.031999999999970896e+02,3.702232315850262911e-01
8.032499999999970441e+02,3.689077635631401453e-01
8.032999999999969987e+02,3.675950246160830659e-01
8.033499999999969532e+02,3.662850124038635746e-01
