# wavelength (nm),transmission (I/F) 
9.200000000000000000e+02,2.315748377791318134e-08
9.201000000000000227e+02,2.232718377600846447e-08
9.202000000000000455e+02,2.145215394098046667e-08
9.203000000000000682e+02,2.053201377846564572e-08
9.204000000000000909e+02,1.956635880240518963e-08
9.205000000000001137e+02,1.855513545408961475e-08
9.206000000000001364e+02,1.749762768877021025e-08
9.207000000000001592e+02,1.639335123188605840e-08
9.208000000000001819e+02,1.524172737196843149e-08
9.209000000000002046e+02,1.404234913105904684e-08
9.210000000000002274e+02,1.279504856761488511e-08
9.211000000000002501e+02,1.211925106832904751e-08
9.212000000000002728e+02,1.145770476469594234e-08
9.213000000000002956e+02,1.081058195942945523e-08
9.214000000000003183e+02,1.017805567712789170e-08
9.215000000000003411e+02,9.560299666168576474e-09
9.216000000000003638e+02,8.957488400606009637e-09
9.217000000000003865e+02,8.369797082073672319e-09
9.218000000000004093e+02,7.797401641689374378e-09
9.219000000000004320e+02,7.240478741964149850e-09
9.220000000000004547e+02,6.699205778717425739e-09
9.221000000000004775e+02,6.739314133650377365e-09
9.222000000000005002e+02,6.772410382472140746e-09
9.223000000000005230e+02,6.798427071759322215e-09
9.224000000000005457e+02,6.817280760745289660e-09
9.225000000000005684e+02,6.828887640630900799e-09
9.226000000000005912e+02,6.833163533553255460e-09
9.227000000000006139e+02,6.830023891552479989e-09
9.228000000000006366e+02,6.819383795536284899e-09
9.229000000000006594e+02,6.801267758911273952e-09
9.230000000000006821e+02,6.775525394270463024e-09
9.231000000000007049e+02,6.863867345138925251e-09
9.232000000000007276e+02,6.948787513242064744e-09
9.233000000000007503e+02,7.030264089844607401e-09
9.234000000000007731e+02,7.108254447655210874e-09
9.235000000000007958e+02,7.182715779908070048e-09
9.236000000000008185e+02,7.253605099892177655e-09
9.237000000000008413e+02,7.320990829316321723e-09
9.238000000000008640e+02,7.384776483088423414e-09
9.239000000000008868e+02,7.444862720301756720e-09
9.240000000000009095e+02,7.501205570750623708e-09
9.241000000000009322e+02,7.555656585356131788e-09
9.242000000000009550e+02,7.609792069462710169e-09
9.243000000000009777e+02,7.663721527878271878e-09
9.244000000000010004e+02,7.717674384257820341e-09
9.245000000000010232e+02,7.771425092783886857e-09
9.246000000000010459e+02,7.825057387938873556e-09
9.247000000000010687e+02,7.878700308102587502e-09
9.248000000000010914e+02,7.932351175357424924e-09
9.249000000000011141e+02,7.986007298484434904e-09
9.250000000000011369e+02,8.039665972925411347e-09
9.251000000000011596e+02,8.060254522952080664e-09
9.252000000000011823e+02,8.080120011353732620e-09
9.253000000000012051e+02,8.098750979016779002e-09
9.254000000000012278e+02,8.116191615104530947e-09
9.255000000000012506e+02,8.132877440417328245e-09
9.256000000000012733e+02,8.148799314650094509e-09
9.257000000000012960e+02,8.163948066033511803e-09
9.258000000000013188e+02,8.178316034591811762e-09
9.259000000000013415e+02,8.191898767115696800e-09
9.260000000000013642e+02,8.204680696328648660e-09
9.261000000000013870e+02,8.197751258004480513e-09
9.262000000000014097e+02,8.187397091402939822e-09
9.263000000000014325e+02,8.173656627952382389e-09
9.264000000000014552e+02,8.156475318654399842e-09
9.265000000000014779e+02,8.135615689927806267e-09
9.266000000000015007e+02,8.111232311328792936e-09
9.267000000000015234e+02,8.083278847965477188e-09
9.268000000000015461e+02,8.051708789728593655e-09
9.269000000000015689e+02,8.016101504079869559e-09
9.270000000000015916e+02,7.976432104339885985e-09
9.271000000000016144e+02,7.934265479609262077e-09
9.272000000000016371e+02,7.886509520530239550e-09
9.273000000000016598e+02,7.833091791361811636e-09
9.274000000000016826e+02,7.773939601517651033e-09
9.275000000000017053e+02,7.708980005024144481e-09
9.276000000000017280e+02,7.638139799977497576e-09
9.277000000000017508e+02,7.561410942523812731e-09
9.278000000000017735e+02,7.478638189392797460e-09
9.279000000000017963e+02,7.389762415700269220e-09
9.280000000000018190e+02,7.294709266710440621e-09
9.281000000000018417e+02,7.230672564632357884e-09
9.282000000000018645e+02,7.160871432155341784e-09
9.283000000000018872e+02,7.085241787952132146e-09
9.284000000000019099e+02,7.003719348431696252e-09
9.285000000000019327e+02,6.916239627356029978e-09
9.286000000000019554e+02,6.822737935456457658e-09
9.287000000000019782e+02,6.722984651391267451e-09
9.288000000000020009e+02,6.616908991830706105e-09
9.289000000000020236e+02,6.504627742370673133e-09
9.290000000000020464e+02,6.386076356382945412e-09
9.291000000000020691e+02,6.340173836770769793e-09
9.292000000000020918e+02,6.289991178069295510e-09
9.293000000000021146e+02,6.235426720583957369e-09
9.294000000000021373e+02,6.176407041107278260e-09
9.295000000000021600e+02,6.112973262360788647e-09
9.296000000000021828e+02,6.045079791976451780e-09
9.297000000000022055e+02,5.972680910464528727e-09
9.298000000000022283e+02,5.895790795544800892e-09
9.299000000000022510e+02,5.814539036488375033e-09
9.300000000000022737e+02,5.728635057037277787e-09
9.301000000000022965e+02,5.735013169261154302e-09
9.302000000000023192e+02,5.738882789059593414e-09
9.303000000000023419e+02,5.740208442586841982e-09
9.304000000000023647e+02,5.738954539895878514e-09
9.305000000000023874e+02,5.735085374714328282e-09
9.306000000000024102e+02,5.728565124220116227e-09
9.307000000000024329e+02,5.719357848816737701e-09
9.308000000000024556e+02,5.707427491908357986e-09
9.309000000000024784e+02,5.692614223124270306e-09
9.310000000000025011e+02,5.675007874850914730e-09
9.311000000000025238e+02,5.729503578000767262e-09
9.312000000000025466e+02,5.782804824299123058e-09
9.313000000000025693e+02,5.834890967313279608e-09
9.314000000000025921e+02,5.885741298751824146e-09
9.315000000000026148e+02,5.935335048360601617e-09
9.316000000000026375e+02,5.983651383818662813e-09
9.317000000000026603e+02,6.030707770178990660e-09
9.318000000000026830e+02,6.076544979003247820e-09
9.319000000000027057e+02,6.121043901331423908e-09
9.320000000000027285e+02,6.164183362319579236e-09
9.321000000000027512e+02,6.275537677989317934e-09
9.322000000000027740e+02,6.386454092866758429e-09
9.323000000000027967e+02,6.496905235532106290e-09
9.324000000000028194e+02,6.606863614133619450e-09
9.325000000000028422e+02,6.716301616088838020e-09
9.326000000000028649e+02,6.825191507785268152e-09
9.327000000000028876e+02,6.933505434280571252e-09
9.328000000000029104e+02,7.041215419002244486e-09
9.329000000000029331e+02,7.148293363446747885e-09
9.330000000000029559e+02,7.254711046879790344e-09
9.331000000000029786e+02,7.414230571339243258e-09
9.332000000000030013e+02,7.572630647234539934e-09
9.333000000000030241e+02,7.730047593630089579e-09
9.334000000000030468e+02,7.887330282062959810e-09
9.335000000000030695e+02,8.043473510897424645e-09
9.336000000000030923e+02,8.198432247988213703e-09
9.337000000000031150e+02,8.352161302610147986e-09
9.338000000000031378e+02,8.504615325149268982e-09
9.339000000000031605e+02,8.655751310807309936e-09
9.340000000000031832e+02,8.805668920264505476e-09
9.341000000000032060e+02,9.057563330707439647e-09
9.342000000000032287e+02,9.307490459977975555e-09
9.343000000000032514e+02,9.555551663544615856e-09
9.344000000000032742e+02,9.801872742317686447e-09
9.345000000000032969e+02,1.004615058515415722e-08
9.346000000000033197e+02,1.028829915081436703e-08
9.347000000000033424e+02,1.052823201418945412e-08
9.348000000000033651e+02,1.076586236531329215e-08
9.349000000000033879e+02,1.100107171842559710e-08
9.350000000000034106e+02,1.123357964248269084e-08
9.351000000000034333e+02,1.165540917242349299e-08
9.352000000000034561e+02,1.207545674668950055e-08
9.353000000000034788e+02,1.249362190877922467e-08
9.354000000000035016e+02,1.290979761924127931e-08
9.355000000000035243e+02,1.332414558644739590e-08
9.356000000000035470e+02,1.373637571075161787e-08
9.357000000000035698e+02,1.414631373436986117e-08
9.358000000000035925e+02,1.455385100998765795e-08
9.359000000000036152e+02,1.495887852428472688e-08
9.360000000000036380e+02,1.536128689728687225e-08
9.361000000000036607e+02,1.617185435369473444e-08
9.362000000000036835e+02,1.698852276113936340e-08
9.363000000000037062e+02,1.781121835617370462e-08
9.364000000000037289e+02,1.863986705675508606e-08
9.365000000000037517e+02,1.947437318850048489e-08
9.366000000000037744e+02,2.031504088548700537e-08
9.367000000000037971e+02,2.116223884281747035e-08
9.368000000000038199e+02,2.201518061653427861e-08
9.369000000000038426e+02,2.287380075397646770e-08
9.370000000000038654e+02,2.373805120681118746e-08
9.371000000000038881e+02,2.537401633542290098e-08
9.372000000000039108e+02,2.703807454982796306e-08
9.373000000000039336e+02,2.873042780300299705e-08
9.374000000000039563e+02,3.045060809978905072e-08
9.375000000000039790e+02,3.219942937216764604e-08
9.376000000000040018e+02,3.397710018488948407e-08
9.377000000000040245e+02,3.578554417355599924e-08
9.378000000000040473e+02,3.762921989767928319e-08
9.379000000000040700e+02,3.950312780377315207e-08
9.380000000000040927e+02,4.140748925542346867e-08
9.381000000000041155e+02,4.497882288407024187e-08
9.382000000000041382e+02,4.864095798326776917e-08
9.383000000000041609e+02,5.239497725079929191e-08
9.384000000000041837e+02,5.624196813770149576e-08
9.385000000000042064e+02,6.018302286112052532e-08
9.386000000000042292e+02,6.421923841719271486e-08
9.387000000000042519e+02,6.835171659394956544e-08
9.388000000000042746e+02,7.258151407390699123e-08
9.389000000000042974e+02,7.690421179153392850e-08
9.390000000000043201e+02,8.132388427957781926e-08
9.391000000000043428e+02,8.933997439104378767e-08
9.392000000000043656e+02,9.755193436158250756e-08
9.393000000000043883e+02,1.059619274389357218e-07
9.394000000000044110e+02,1.145721243415690155e-07
9.395000000000044338e+02,1.233847032735292236e-07
9.396000000000044565e+02,1.324018499393214268e-07
9.397000000000044793e+02,1.416257575588036949e-07
9.398000000000045020e+02,1.510555762848349687e-07
9.399000000000045247e+02,1.606957907689039560e-07
9.400000000000045475e+02,1.705402534396360483e-07
9.401000000000045702e+02,1.894657885098226815e-07
9.402000000000045929e+02,2.088101746333710015e-07
9.403000000000046157e+02,2.285770269282891464e-07
9.404000000000046384e+02,2.487699722299204508e-07
9.405000000000046612e+02,2.693926491139828211e-07
9.406000000000046839e+02,2.904096863227599891e-07
9.407000000000047066e+02,3.118518020414569178e-07
9.408000000000047294e+02,3.337278239016322167e-07
9.409000000000047521e+02,3.560412339111134016e-07
9.410000000000047748e+02,3.787955237443126689e-07
9.411000000000047976e+02,4.245390287618550325e-07
9.412000000000048203e+02,4.709669829104351621e-07
9.413000000000048431e+02,5.180921041186808681e-07
9.414000000000048658e+02,5.659052233120328019e-07
9.415000000000048885e+02,6.144137133412564220e-07
9.416000000000049113e+02,6.636209400684410342e-07
9.417000000000049340e+02,7.135281256640030888e-07
9.418000000000049567e+02,7.641364928295443031e-07
9.419000000000049795e+02,8.154472647962425101e-07
9.420000000000050022e+02,8.674616653262844149e-07
9.421000000000050250e+02,9.813726650427746194e-07
9.422000000000050477e+02,1.096595741330709954e-06
9.423000000000050704e+02,1.213126368060080488e-06
9.424000000000050932e+02,1.330955701208594963e-06
9.425000000000051159e+02,1.450066915201632216e-06
9.426000000000051386e+02,1.570447409516920870e-06
9.427000000000051614e+02,1.692084324611059902e-06
9.428000000000051841e+02,1.814963688149945139e-06
9.429000000000052069e+02,1.939071477509930321e-06
9.430000000000052296e+02,2.064462575547900478e-06
9.431000000000052523e+02,2.349844815324924353e-06
9.432000000000052751e+02,2.637628966662773420e-06
9.433000000000052978e+02,2.927767405159525925e-06
9.434000000000053205e+02,3.220212338091971015e-06
9.435000000000053433e+02,3.514915804124530523e-06
9.436000000000053660e+02,3.811829673017845752e-06
9.437000000000053888e+02,4.110905645337075002e-06
9.438000000000054115e+02,4.412165089645066168e-06
9.439000000000054342e+02,4.715530970781339088e-06
9.440000000000054570e+02,5.020926857660776314e-06
9.441000000000054797e+02,5.747433461612460259e-06
9.442000000000055024e+02,6.483122174818753898e-06
9.443000000000055252e+02,7.227901854256352853e-06
9.444000000000055479e+02,7.981684181013283449e-06
9.445000000000055707e+02,8.744250087445765664e-06
9.446000000000055934e+02,9.515927280053907385e-06
9.447000000000056161e+02,1.029658807544623883e-05
9.448000000000056389e+02,1.108593941627979856e-05
9.449000000000056616e+02,1.188388789206274944e-05
9.450000000000056843e+02,1.269033976783938955e-05
9.451000000000057071e+02,1.455997463574036178e-05
9.452000000000057298e+02,1.646265957436492217e-05
9.453000000000057526e+02,1.839849326294056955e-05
9.454000000000057753e+02,2.036872166159237082e-05
9.455000000000057980e+02,2.237328205665561014e-05
9.456000000000058208e+02,2.441165777817769431e-05
9.457000000000058435e+02,2.648395730251799151e-05
9.458000000000058662e+02,2.859028932081432466e-05
9.459000000000058890e+02,3.073076273929023776e-05
9.460000000000059117e+02,3.290548667971571737e-05
9.461000000000059345e+02,3.774148944900935419e-05
9.462000000000059572e+02,4.270114070145051427e-05
9.463000000000059799e+02,4.778562099292271731e-05
9.464000000000060027e+02,5.299574951080180145e-05
9.465000000000060254e+02,5.833267250619712292e-05
9.466000000000060481e+02,6.379753962389630713e-05
9.467000000000060709e+02,6.939150390824970851e-05
9.468000000000060936e+02,7.511386769921607801e-05
9.469000000000061164e+02,8.096734635979686736e-05
9.470000000000061391e+02,8.695310218879271193e-05
9.471000000000061618e+02,9.804552665086036011e-05
9.472000000000061846e+02,1.094432129022854033e-04
9.473000000000062073e+02,1.211497776811223275e-04
9.474000000000062300e+02,1.331688510785110477e-04
9.475000000000062528e+02,1.455040765687817459e-04
9.476000000000062755e+02,1.581591110396083635e-04
9.477000000000062983e+02,1.711376248222094864e-04
9.478000000000063210e+02,1.844433017215975855e-04
9.479000000000063437e+02,1.980447805011981263e-04
9.480000000000063665e+02,2.119610579544537756e-04
9.481000000000063892e+02,2.295958342497542658e-04
9.482000000000064119e+02,2.477029598864461334e-04
9.483000000000064347e+02,2.662875006164405344e-04
9.484000000000064574e+02,2.853545330659145764e-04
9.485000000000064801e+02,3.049091447479865638e-04
9.486000000000065029e+02,3.249564340753969887e-04
9.487000000000065256e+02,3.455015103732007983e-04
9.488000000000065484e+02,3.665494938914662750e-04
9.489000000000065711e+02,3.881055158179851387e-04
9.490000000000065938e+02,4.101747182905058709e-04
9.491000000000066166e+02,4.253288949918150250e-04
9.492000000000066393e+02,4.407649894479152126e-04
