# wavelength (nm),transmission (I/F) 
8.000000000000000000e+02,-2.092664903344951306e-09
8.000499999999999545e+02,-2.089891967009944739e-09
8.000999999999999091e+02,-2.087201517356200210e-09
8.001499999999998636e+02,-2.084525094768786274e-09
8.001999999999998181e+02,-2.081850937692957963e-09
8.002499999999997726e+02,-2.079179045183843823e-09
8.002999999999997272e+02,-2.076509416296418127e-09
8.003499999999996817e+02,-2.073842050085490541e-09
8.003999999999996362e+02,-2.071176945605717288e-09
8.004499999999995907e+02,-2.068514101911586673e-09
8.004999999999995453e+02,-2.065853518057438938e-09
8.005499999999994998e+02,-2.063195193097450127e-09
8.005999999999994543e+02,-2.060539126085638707e-09
8.006499999999994088e+02,-2.057881821901336027e-09
8.006999999999993634e+02,-2.055205031074404184e-09
8.007499999999993179e+02,-2.052530556712257494e-09
8.007999999999992724e+02,-2.049858397798791842e-09
8.008499999999992269e+02,-2.047188553317773246e-09
8.008999999999991815e+02,-2.044521022252846129e-09
8.009499999999991360e+02,-2.041855803587508501e-09
8.009999999999990905e+02,-2.039192896305149599e-09
8.010499999999990450e+02,-2.036601173266103023e-09
8.010999999999989996e+02,-2.034011574103242099e-09
8.011499999999989541e+02,-2.031424098056640548e-09
8.011999999999989086e+02,-2.028866579532229685e-09
8.012499999999988631e+02,-2.026372618411620895e-09
8.012999999999988177e+02,-2.023880573346924236e-09
8.013499999999987722e+02,-2.021390443779046264e-09
8.013999999999987267e+02,-2.018902229148560594e-09
8.014499999999986812e+02,-2.016411384466167345e-09
8.014999999999986358e+02,-2.013852704648723673e-09
8.015499999999985903e+02,-2.011296110910345469e-09
8.015999999999985448e+02,-2.008741602514725353e-09
8.016499999999984993e+02,-2.006189178725250718e-09
8.016999999999984539e+02,-2.003638838805016964e-09
8.017499999999984084e+02,-2.001090582016810948e-09
8.017999999999983629e+02,-1.998544407623127536e-09
8.018499999999983174e+02,-1.996000334517922941e-09
8.018999999999982720e+02,-1.993461714638477972e-09
8.019499999999982265e+02,-1.990925166282762473e-09
8.019999999999981810e+02,-1.988390688722728464e-09
8.020499999999981355e+02,-1.990651306523144188e-09
8.020999999999980901e+02,-1.992898045130838354e-09
8.021499999999980446e+02,-1.995130935184536182e-09
8.021999999999979991e+02,-1.997350007280549621e-09
8.022499999999979536e+02,-1.999555291972651617e-09
8.022999999999979082e+02,-2.001746819772117055e-09
8.023499999999978627e+02,-2.003968916063804606e-09
8.023999999999978172e+02,-2.006192148586514120e-09
8.024499999999977717e+02,-2.008401854627770693e-09
8.024999999999977263e+02,-2.010598063370125418e-09
8.025499999999976808e+02,-2.012780803956912344e-09
8.025999999999976353e+02,-2.014950105492254260e-09
8.026499999999975898e+02,-2.017105997041124329e-09
8.026999999999975444e+02,-2.019248507629364276e-09
8.027499999999974989e+02,-2.021377666243727824e-09
8.027999999999974534e+02,-2.023493501831918737e-09
8.028499999999974079e+02,-2.025596043302609848e-09
8.028999999999973625e+02,-2.027685319525507582e-09
8.029499999999973170e+02,-2.029761359331353193e-09
8.029999999999972715e+02,-2.031824191511987283e-09
8.030499999999972260e+02,-2.034280537538207158e-09
8.030999999999971806e+02,-2.036656308749791962e-09
8.031499999999971351e+02,-2.039012655144345821e-09
8.031999999999970896e+02,-2.041356618024059396e-09
8.032499999999970441e+02,-2.043688219789206186e-09
8.032999999999969987e+02,-2.046007482817717544e-09
8.033499999999969532e+02,-2.048314429465256704e-09
8.033999999999969077e+02,-2.050609082065177841e-09
8.034499999999968622e+02,-2.052874195853995676e-09
8.034999999999968168e+02,-2.055053355452330076e-09
8.035499999999967713e+02,-2.057220074689145193e-09
8.035999999999967258e+02,-2.059374377382127386e-09
8.036499999999966803e+02,-2.061516287323238934e-09
8.036999999999966349e+02,-2.063645853358427654e-09
8.037499999999965894e+02,-2.065765220703506563e-09
8.037999999999965439e+02,-2.067872270931235585e-09
8.038499999999964984e+02,-2.069967027692125809e-09
8.038999999999964530e+02,-2.072091994112178696e-09
8.039499999999964075e+02,-2.074213545118981234e-09
8.039999999999963620e+02,-2.076322986786024889e-09
8.040499999999963165e+02,-2.078168217958309800e-09
8.040999999999962711e+02,-2.080000904248807148e-09
8.041499999999962256e+02,-2.081821072748727548e-09
8.041999999999961801e+02,-2.083628750513908067e-09
8.042499999999961346e+02,-2.085423964564838275e-09
8.042999999999960892e+02,-2.087206741886725593e-09
8.043499999999960437e+02,-2.088977109429491574e-09
8.043999999999959982e+02,-2.090735094107826904e-09
8.044499999999959527e+02,-2.092480722801199269e-09
8.044999999999959073e+02,-2.094214022353902977e-09
8.045499999999958618e+02,-2.095935019575082538e-09
8.045999999999958163e+02,-2.097702308901662610e-09
8.046499999999957708e+02,-2.099491969328956389e-09
8.046999999999957254e+02,-2.101328278250277683e-09
8.047499999999956799e+02,-2.103172007073241377e-09
8.047999999999956344e+02,-2.105003882446746471e-09
8.048499999999955890e+02,-2.106823928131125925e-09
8.048999999999955435e+02,-2.108632167858901648e-09
8.049499999999954980e+02,-2.110428625334775397e-09
8.049999999999954525e+02,-2.112213324235687506e-09
8.050499999999954071e+02,-2.114786304123403075e-09
8.050999999999953616e+02,-2.117349157848819949e-09
8.051499999999953161e+02,-2.119901896429813074e-09
8.051999999999952706e+02,-2.122444530884198669e-09
8.052499999999952252e+02,-2.124977072229655636e-09
8.052999999999951797e+02,-2.127499531483726810e-09
8.053499999999951342e+02,-2.130011919663799927e-09
8.053999999999950887e+02,-2.132514247787109697e-09
8.054499999999950433e+02,-2.135006526870723737e-09
8.054999999999949978e+02,-2.137542428765924604e-09
8.055499999999949523e+02,-2.140094220129495105e-09
8.055999999999949068e+02,-2.142632845322132906e-09
8.056499999999948614e+02,-2.145161655119521905e-09
8.056999999999948159e+02,-2.147678470202783513e-09
8.057499999999947704e+02,-2.150155819632880637e-09
8.057999999999947249e+02,-2.152623304283959473e-09
8.058499999999946795e+02,-2.155080934580659232e-09
8.058999999999946340e+02,-2.157528720948086892e-09
8.059499999999945885e+02,-2.159966673811812655e-09
8.059999999999945430e+02,-2.162394803597860430e-09
8.060499999999944976e+02,-2.164021506098715183e-09
8.060999999999944521e+02,-2.165636988105539688e-09
8.061499999999944066e+02,-2.167241271751089374e-09
8.061999999999943611e+02,-2.168834379143247594e-09
8.062499999999943157e+02,-2.170416332365114539e-09
8.062999999999942702e+02,-2.172003270839270927e-09
8.063499999999942247e+02,-2.173589965110004565e-09
8.063999999999941792e+02,-2.175165613905498245e-09
8.064499999999941338e+02,-2.176730238808130782e-09
8.064999999999940883e+02,-2.178283861376544220e-09
8.065499999999940428e+02,-2.179826503145683114e-09
8.065999999999939973e+02,-2.181358185626785855e-09
8.066499999999939519e+02,-2.182878930307407410e-09
8.066999999999939064e+02,-2.184388758651453651e-09
8.067499999999938609e+02,-2.185887692099164814e-09
8.067999999999938154e+02,-2.187375752067160580e-09
8.068499999999937700e+02,-2.188869474314679982e-09
8.068999999999937245e+02,-2.190368386361224854e-09
8.069499999999936790e+02,-2.191856538625661551e-09
8.069999999999936335e+02,-2.193333951964475715e-09
8.070499999999935881e+02,-2.194207568007305511e-09
8.070999999999935426e+02,-2.195055571415706778e-09
8.071499999999934971e+02,-2.195879112691996061e-09
8.071999999999934516e+02,-2.196691278844810950e-09
8.072499999999934062e+02,-2.197492099793186520e-09
8.072999999999933607e+02,-2.198281605407884411e-09
8.073499999999933152e+02,-2.199059825511439982e-09
8.073999999999932697e+02,-2.199826789878218140e-09
8.074499999999932243e+02,-2.200582528234467111e-09
8.074999999999931788e+02,-2.201327070258377582e-09
8.075499999999931333e+02,-2.202060445580126952e-09
8.075999999999930878e+02,-2.202782683781934760e-09
8.076499999999930424e+02,-2.203493814398128853e-09
8.076999999999929969e+02,-2.204193866915177235e-09
8.077499999999929514e+02,-2.204882870771764170e-09
8.077999999999929059e+02,-2.205560855358825331e-09
8.078499999999928605e+02,-2.206227850019609431e-09
8.078999999999928150e+02,-2.206883884049734469e-09
8.079499999999927695e+02,-2.207528986697234052e-09
8.079999999999927240e+02,-2.208225443502066704e-09
8.080499999999926786e+02,-2.204912315451654741e-09
8.080999999999926331e+02,-2.201602790604071542e-09
8.081499999999925876e+02,-2.198296866273109691e-09
8.081999999999925421e+02,-2.194994539773273977e-09
8.082499999999924967e+02,-2.191695808420362486e-09
8.082999999999924512e+02,-2.188400669531467425e-09
8.083499999999924057e+02,-2.185109120424973887e-09
8.083999999999923602e+02,-2.181821158420558608e-09
8.084499999999923148e+02,-2.178536780839190379e-09
8.084999999999922693e+02,-2.175255985003134596e-09
8.085499999999922238e+02,-2.171978768235942095e-09
8.085999999999921783e+02,-2.168705127862467761e-09
8.086499999999921329e+02,-2.165435061208838683e-09
8.086999999999920874e+02,-2.162188302284928277e-09
8.087499999999920419e+02,-2.158979113169146361e-09
8.087999999999919964e+02,-2.155773336356357787e-09
8.088499999999919510e+02,-2.152570969405861934e-09
8.088999999999919055e+02,-2.149372009878059570e-09
8.089499999999918600e+02,-2.146176455334456991e-09
8.089999999999918145e+02,-2.142984303337656921e-09
8.090499999999917691e+02,-2.140797726181385957e-09
8.090999999999917236e+02,-2.138624263900185702e-09
8.091499999999916781e+02,-2.136471084288140711e-09
